league,club,club_id,roster_source_status,arrivals_status,departures_status,loans_in_status,loans_out_status,missing_players_status,contracts_status,shirt_numbers_status,creation_status,confirmed_players,proposed_creations,unresolved_creations,rating_deferred_creations,sprint_eligible_creations,ready_creations,confirmed_arrivals,confirmed_departures,confirmed_loans_in,confirmed_loans_out,confirmed_loans,blocking_holds,ambiguous_records,unmatched_records,overall_status
ENG1,AFC Bournemouth,917553,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,27,0,0,0,0,0,4,1,0,2,2,0,0,0,GOOD_ENOUGH
ENG1,AFC Sunderland,917524,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,PARTIAL,PROPOSED_READY,28,1,0,0,1,1,1,0,0,0,0,0,0,0,GOOD_ENOUGH
ENG1,Aston Villa,917506,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,27,0,0,0,0,0,1,1,0,1,1,0,0,0,GOOD_ENOUGH
ENG1,Brighton & Hove Albion,917529,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,29,0,0,0,0,0,3,1,0,0,0,0,0,0,GOOD_ENOUGH
ENG1,Coventry City,917530,COMPLETE,PARTIAL,GOOD_ENOUGH,PARTIAL,PARTIAL,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,28,0,0,0,0,0,0,0,0,0,0,1,0,0,PARTIAL
ENG1,Crystal Palace,917535,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,28,0,0,0,0,0,2,0,0,0,0,0,0,0,GOOD_ENOUGH
ENG1,FC Arsenal,917505,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,23,0,0,0,0,0,0,0,0,0,0,0,0,0,GOOD_ENOUGH
ENG1,FC Brentford,917569,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,PARTIAL,GOOD_ENOUGH,GOOD_ENOUGH,NONE,28,0,0,0,0,0,1,0,0,0,0,1,0,1,PARTIAL
ENG1,FC Chelsea,917513,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,PARTIAL,GOOD_ENOUGH,GOOD_ENOUGH,NONE,25,0,0,0,0,0,2,1,0,1,1,1,0,1,PARTIAL
ENG1,FC Everton,917517,COMPLETE,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,GOOD_ENOUGH,NONE,21,0,0,0,0,0,1,0,0,0,0,0,0,0,GOOD_ENOUGH
