player_tm_id,player,full_name,dob,club_tm_id,club,shirt_number,joined,contract_until,position,foot,height,nationality_text,loan_owner_tm_id,loan_owner,owner_contract_until,profile_notes,source_status,source,source_sha256,retrieved_at,snapshot_date,imported_at
28396,Edin Dzeko,Edin Džeko,1986-03-17,33,FC Schalke 04,10,2026-01-22,2027-06-30,Sturm - Mittelstürmer,rechts,"1,92 m",Bosnien-Herzegowina,,,,"Name im Heimatland: Edin Džeko Geb./Alter: 17.03.1986 (40) Geburtsort: Sarajevo Größe: 1,92 m Staatsbürgerschaft: Bosnien-Herzegowina Position: Sturm - Mittelstürmer Fuß: rechts Spielerberater: World Soccer Agency Aktueller Verein: FC Schalke 04 Im Team seit: 22.01.2026 Vertrag bis: 30.06.2027 Letzte Verlängerung: 03.08.2026 Ausrüster: adidas Social Media:",CONFIRMED,https://www.transfermarkt.de/edin-dzeko/profil/spieler/28396,d3a6ffb86c6e6d9071d9f31e26be173fad5493479bc6fc1b39979fc59189e2b3,2026-09-12T20:29:18.756414+00:00,2026-09-12,2026-09-12T20:29:18.803171+00:00
40792,Manuel Riemann,Manuel Riemann-Lorenzen,1988-09-09,8,Alemannia Aachen,1,2026-01-27,2027-06-30,Torwart,rechts,"1,86 m",Deutschland,,,,"Name im Heimatland: Manuel Riemann-Lorenzen Geb./Alter: 09.09.1988 (38) Geburtsort: Mühldorf am Inn Größe: 1,86 m Staatsbürgerschaft: Deutschland Position: Torwart Fuß: rechts Aktueller Verein: Alemannia Aachen Im Team seit: 27.01.2026 Vertrag bis: 30.06.2027 Letzte Verlängerung: 10.06.2026",CONFIRMED,https://www.transfermarkt.de/manuel-riemann/profil/spieler/40792,64ec8ae87cddee1bd401d26b3e91f9940c7e58cd00c4d553049bdf5bf99402d6,2026-09-12T20:29:19.066712+00:00,2026-09-12,2026-09-12T20:29:19.101060+00:00
52570,Fraser Forster,Fraser Gerard Forster,1988-03-17,989,AFC Bournemouth,17,2026-01-02,2027-06-30,Torwart,rechts,"2,01 m",England,,,,"Name im Heimatland: Fraser Gerard Forster Geb./Alter: 17.03.1988 (38) Geburtsort: Hexham Größe: 2,01 m Staatsbürgerschaft: England Position: Torwart Fuß: rechts Spielerberater: CAA Stellar Aktueller Verein: AFC Bournemouth Im Team seit: 02.01.2026 Vertrag bis: 30.06.2027 Letzte Verlängerung: 25.06.2026 Ausrüster: Under Armour Social Media:",CONFIRMED,https://www.transfermarkt.de/fraser-forster/profil/spieler/52570,016fa6ad546f5992bd91ed2886f48a53b01e240f60eb4c259e35d358936d4672,2026-09-12T20:29:20.100563+00:00,2026-09-12,2026-09-12T20:29:20.127613+00:00
55619,Nordin Amrabat,نور الدين المرابط,1987-03-31,200,FC Utrecht,39,2026-09-01,,Sturm - Rechtsaußen,rechts,"1,78 m",Marokko Niederlande,,,,"Name im Heimatland: نور الدين المرابط Geb./Alter: 31.03.1987 (39) Geburtsort: Naarden Größe: 1,78 m Staatsbürgerschaft: Marokko Niederlande Position: Sturm - Rechtsaußen Fuß: rechts Spielerberater: 11MANGMT Aktueller Verein: FC Utrecht Im Team seit: 01.09.2026 Vertrag bis: - Vertragsoption: Amateurvertrag Ausrüster: Puma Social Media:",CONFIRMED,https://www.transfermarkt.de/nordin-amrabat/profil/spieler/55619,11d3edd8c710ba7290802b0e76ec3abec6fce83f7afcaa2291a948a619c958bb,2026-09-12T20:29:21.231360+00:00,2026-09-12,2026-09-12T20:29:21.253386+00:00
60543,Mathieu Gorgelin,,1990-08-05,826,RC Lens,16,2026-01-19,2027-06-30,Torwart,links,"1,87 m",Frankreich,,,,"Geb./Alter: 05.08.1990 (36) Geburtsort: Ambérieu-en-Bugey Größe: 1,87 m Staatsbürgerschaft: Frankreich Position: Torwart Fuß: links Spielerberater: Frederic Guerra ... Aktueller Verein: RC Lens Im Team seit: 19.01.2026 Vertrag bis: 30.06.2027 Letzte Verlängerung: 13.07.2026 Social Media:",CONFIRMED,https://www.transfermarkt.de/mathieu-gorgelin/profil/spieler/60543,56cf73c6c7bd4bc85f2745cf86b256413636eb1f6aa9c790dd0d6231f33e55d9,2026-09-12T20:29:22.170916+00:00,2026-09-12,2026-09-12T20:29:22.195465+00:00
79573,Sergio Padt,Sergio Vincenzo Roberto Padt,1990-06-06,200,FC Utrecht,22,2026-09-11,2028-06-30,Torwart,rechts,"1,92 m",Niederlande Italien,,,,"Name im Heimatland: Sergio Vincenzo Roberto Padt Geb./Alter: 06.06.1990 (36) Geburtsort: Amsterdam Größe: 1,92 m Staatsbürgerschaft: Niederlande Italien Position: Torwart Fuß: rechts Spielerberater: Muy Manero Aktueller Verein: FC Utrecht Im Team seit: 11.09.2026 Vertrag bis: 30.06.2028 Ausrüster: adidas Social Media:",CONFIRMED,https://www.transfermarkt.de/sergio-padt/profil/spieler/79573,069b287429c39b2e82aa96c3e32f4067dd0c59d02be14f90124bb40de453a984,2026-09-12T20:07:52.646514+00:00,2026-09-12,2026-09-12T20:29:22.237514+00:00
87854,Fredy,,1990-03-27,37951,Corum FK,16,2026-01-20,2027-06-30,Mittelfeld - Zentrales Mittelfeld,rechts,"1,70 m",Angola Portugal,,,,"Vollständiger Name: Alfredo Kulembe Ribeiro Geb./Alter: 27.03.1990 (36) Geburtsort: Luanda Größe: 1,70 m Staatsbürgerschaft: Angola Portugal Position: Mittelfeld - Zentrales Mittelfeld Fuß: rechts Spielerberater: Proeleven S.A. Aktueller Verein: Corum FK Im Team seit: 20.01.2026 Vertrag bis: 30.06.2027 Social Media:",CONFIRMED,https://www.transfermarkt.de/fredy/profil/spieler/87854,c602998220b474b59c5bb6a22627c4e63a697451b0c267aaf6cc420b2da5aef0,2026-09-12T20:29:23.135919+00:00,2026-09-12,2026-09-12T20:29:23.162545+00:00
91945,Ertuğrul Taşkıran,Mahmut Ertuğrul Taşkıran,1989-11-05,39722,Erzurumspor FK,1,2026-07-17,,Torwart,rechts,"1,91 m",Türkei,,,,"Name im Heimatland: Mahmut Ertuğrul Taşkıran Geb./Alter: 05.11.1989 (36) Geburtsort: İstanbul Größe: 1,91 m Staatsbürgerschaft: Türkei Position: Torwart Fuß: rechts Spielerberater: ME10 FOTTBALL ... Aktueller Verein: Erzurumspor FK Im Team seit: 17.07.2026 Vertrag bis: - Social Media:",CONFIRMED,https://www.transfermarkt.de/ertugrul-taskiran/profil/spieler/91945,7eea61fbc5d7f0e6c0d4d5fc28c73b8e2e5c9c6c6719745ee429207d114e1452,2026-09-12T20:29:24.206407+00:00,2026-09-12,2026-09-12T20:29:24.227779+00:00
93844,Leonardo Bittencourt,Leonardo Jesus Loureiro Bittencourt,1993-12-19,25,FC Energie Cottbus,32,2026-07-01,,Mittelfeld - Zentrales Mittelfeld,rechts,"1,71 m",Deutschland Brasilien,,,,"Name im Heimatland: Leonardo Jesus Loureiro Bittencourt Geb./Alter: 19.12.1993 (32) Geburtsort: Leipzig Größe: 1,71 m Staatsbürgerschaft: Deutschland Brasilien Position: Mittelfeld - Zentrales Mittelfeld Fuß: rechts Spielerberater: feel soccer GmbH Aktueller Verein: FC Energie Cottbus Im Team seit: 01.07.2026 Vertrag bis: - Ausrüster: adidas Social Media:",CONFIRMED,https://www.transfermarkt.de/leonardo-bittencourt/profil/spieler/93844,8fc07958a220cf26ccfd701c22ebfef07e4c1e3dd914293a7a070c7924ac9b81,2026-09-12T20:29:25.244868+00:00,2026-09-12,2026-09-12T20:29:25.276939+00:00
95802,Jan Navratil,Jan Navrátil,1990-04-13,24325,SK Artis Brünn,30,2026-01-18,2027-06-30,Mittelfeld - Rechtes Mittelfeld,,"1,70 m",Tschechien,,,,"Name im Heimatland: Jan Navrátil Geb./Alter: 13.04.1990 (36) Geburtsort: Troubky Größe: 1,70 m Staatsbürgerschaft: Tschechien Position: Mittelfeld - Rechtes Mittelfeld Spielerberater: ohne Berater Aktueller Verein: SK Artis Brünn Im Team seit: 18.01.2026 Vertrag bis: 30.06.2027",CONFIRMED,https://www.transfermarkt.de/jan-navratil/profil/spieler/95802,8f290157c9270f4ec3d307eda0b60fcde36c0f01f89bd9d2035802e577c201d9,2026-09-12T20:29:26.172516+00:00,2026-09-12,2026-09-12T20:29:26.195639+00:00
