league,club,club_tm_id,direction,player,player_tm_id,profile_url,age,position,old_club,old_club_tm_id,new_club,new_club_tm_id,transfer_type,event_id,explicit_event_date,fee_text,source_status,database_action,source,source_sha256,snapshot_date
ENG1,FC Arsenal,11,Zugang,Bruno Guimarães,520624,https://www.transfermarkt.de/bruno-guimaraes/profil/spieler/520624,28,ZM,Newcastle United,762,FC Arsenal,11,PERMANENT,6489341,,"87,50 Mio. €",CONFIRMED,REVIEW_REQUIRED,https://www.transfermarkt.de/premier-league/transfers/wettbewerb/GB1/saison_id/2026,dea85796083e3a3c441b9d8a4a6bb63799d6b5db6581c82fc0743e65e1042ee3,2026-09-12
ENG1,FC Arsenal,11,Zugang,Ezri Konsa,413403,https://www.transfermarkt.de/ezri-konsa/profil/spieler/413403,28,IV,Aston Villa,405,FC Arsenal,11,PERMANENT,6524539,,"59,60 Mio. €",CONFIRMED,REVIEW_REQUIRED,https://www.transfermarkt.de/premier-league/transfers/wettbewerb/GB1/saison_id/2026,dea85796083e3a3c441b9d8a4a6bb63799d6b5db6581c82fc0743e65e1042ee3,2026-09-12
ENG1,FC Arsenal,11,Zugang,Piero Hincapié,659813,https://www.transfermarkt.de/piero-hincapie/profil/spieler/659813,24,IV,Bayer 04 Leverkusen,15,FC Arsenal,11,PERMANENT,5911394,,"40,00 Mio. €",CONFIRMED,REVIEW_REQUIRED,https://www.transfermarkt.de/premier-league/transfers/wettbewerb/GB1/saison_id/2026,dea85796083e3a3c441b9d8a4a6bb63799d6b5db6581c82fc0743e65e1042ee3,2026-09-12
ENG1,FC Arsenal,11,Zugang,Christos Tzolis,451677,https://www.transfermarkt.de/christos-tzolis/profil/spieler/451677,24,LA,Club Brügge,2282,FC Arsenal,11,PERMANENT,6450186,,"40,00 Mio. €",CONFIRMED,REVIEW_REQUIRED,https://www.transfermarkt.de/premier-league/transfers/wettbewerb/GB1/saison_id/2026,dea85796083e3a3c441b9d8a4a6bb63799d6b5db6581c82fc0743e65e1042ee3,2026-09-12
ENG1,FC Arsenal,11,Zugang,Illan Meslier,542586,https://www.transfermarkt.de/illan-meslier/profil/spieler/542586,26,TW,Leeds United,399,FC Arsenal,11,PERMANENT,6414278,,ablösefrei,CONFIRMED,REVIEW_REQUIRED,https://www.transfermarkt.de/premier-league/transfers/wettbewerb/GB1/saison_id/2026,dea85796083e3a3c441b9d8a4a6bb63799d6b5db6581c82fc0743e65e1042ee3,2026-09-12
ENG1,FC Arsenal,11,Zugang,Tommy Setford,848753,https://www.transfermarkt.de/tommy-setford/profil/spieler/848753,20,TW,FC Arsenal U21,9249,FC Arsenal,11,PERMANENT,6414501,,-,CONFIRMED,REVIEW_REQUIRED,https://www.transfermarkt.de/premier-league/transfers/wettbewerb/GB1/saison_id/2026,dea85796083e3a3c441b9d8a4a6bb63799d6b5db6581c82fc0743e65e1042ee3,2026-09-12
ENG1,FC Arsenal,11,Zugang,Fábio Vieira,537598,https://www.transfermarkt.de/fabio-vieira/profil/spieler/537598,26,OM,Hamburger SV,41,FC Arsenal,11,LOAN_RETURN,5911291,2026-06-30,Leih-Ende 30.06.2026,CONFIRMED,REVIEW_REQUIRED,https://www.transfermarkt.de/premier-league/transfers/wettbewerb/GB1/saison_id/2026,dea85796083e3a3c441b9d8a4a6bb63799d6b5db6581c82fc0743e65e1042ee3,2026-09-12
ENG1,FC Arsenal,11,Zugang,Ethan Nwaneri,890719,https://www.transfermarkt.de/ethan-nwaneri/profil/spieler/890719,19,OM,Olympique Marseille,244,FC Arsenal,11,LOAN_RETURN,6139048,2026-06-30,Leih-Ende 30.06.2026,CONFIRMED,REVIEW_REQUIRED,https://www.transfermarkt.de/premier-league/transfers/wettbewerb/GB1/saison_id/2026,dea85796083e3a3c441b9d8a4a6bb63799d6b5db6581c82fc0743e65e1042ee3,2026-09-12
ENG1,FC Arsenal,11,Zugang,Tommy Setford,848753,https://www.transfermarkt.de/tommy-setford/profil/spieler/848753,21,TW,FC Stevenage,3684,FC Arsenal,11,LOAN_RETURN,6558331,2027-05-31,Leih-Ende 31.05.2027,CONFIRMED,REVIEW_REQUIRED,https://www.transfermarkt.de/premier-league/transfers/wettbewerb/GB1/saison_id/2026,dea85796083e3a3c441b9d8a4a6bb63799d6b5db6581c82fc0743e65e1042ee3,2026-09-12
ENG1,FC Arsenal,11,Zugang,Jakub Kiwior,425918,https://www.transfermarkt.de/jakub-kiwior/profil/spieler/425918,26,IV,FC Porto,720,FC Arsenal,11,LOAN_RETURN,5911456,2026-06-30,Leih-Ende 30.06.2026,CONFIRMED,REVIEW_REQUIRED,https://www.transfermarkt.de/premier-league/transfers/wettbewerb/GB1/saison_id/2026,dea85796083e3a3c441b9d8a4a6bb63799d6b5db6581c82fc0743e65e1042ee3,2026-09-12
