fm_id,player_tm_id,fifa_id,first_name,last_name,pseudonym,dob,nationality1,nationality2,club_id,joined,contract_until,shirt_number,team_type,position,rating_seed,status,source,source_sha256,snapshot_date
1000024821,107665,0,Filip,Novak,,1990-06-26,12,0,786437,2025-02-21,2027-06-30,57,FIRST,LB,45,CONFIRMED,https://www.transfermarkt.de/fk-jablonec/kader/verein/1322/saison_id/2026/plus/1,fa6bc207fa67c20e0cd9ca574d81e19d3d8b6b77840b71993b1620a5a4b28b21,2026-09-12
1000024823,187203,0,Eric,Verstappen,,1994-05-19,34,0,1376282,2026-09-08,2027-06-30,33,FIRST,GK,45,CONFIRMED,https://www.transfermarkt.de/eric-verstappen/profil/spieler/187203,f725240eef1536865fb62a0ad9a6a0d8b45745ec73772fcb06bb0cfb7bdbd2db,2026-09-12
1000024826,272619,0,Romain,Cagnon,,1997-05-12,18,0,1179685,2026-08-19,2027-06-30,49,FIRST,GK,45,CONFIRMED,https://www.transfermarkt.de/romain-cagnon/profil/spieler/272619,dd5a290c2ea07eebda93410295d4966a56c232a72a55a3218f14ee4b4ef3b29e,2026-09-12
1000024827,453704,0,Álvaro,Ferllo,,1998-04-13,45,0,2949127,2026-01-01,2027-06-30,25,FIRST,GK,45,CONFIRMED,https://www.transfermarkt.de/deportivo-a-coruna/kader/verein/897/saison_id/2026/plus/1,7550b0f31442bf21d6149b2642a4ee1c6a58307c97068ea0c26d45e205ddb6c5,2026-09-12
1000024828,482386,0,Qëndrim,Zyba,,2001-02-03,207,0,786438,2024-07-10,2027-06-30,10,FIRST,CM,45,CONFIRMED,https://www.transfermarkt.de/fc-slovan-liberec/kader/verein/697/saison_id/2026/plus/1,6aba2d7156fcbb82e5f0f245492c388de338ad498bd8ff4bd953a9b7fb194317,2026-09-12
1000024830,528222,0,Lorenz,Ender,,2001-01-06,21,0,1376306,2023-07-01,2027-06-30,17,FIRST,RW,45,CONFIRMED,https://www.transfermarkt.de/lorenz-ender/profil/spieler/528222,819f85a5d1af3bde7298e3f9f736b55c2ce9207c82a31138f06d823082aa5b74,2026-09-12
1000024838,648541,0,Gabi,Caschili,,2003-07-14,34,27,2228252,2026-08-04,2027-06-30,18,FIRST,RB,45,CONFIRMED,https://www.transfermarkt.de/gabi-caschili/profil/spieler/648541,32aebda1d903bd78fe1ea2ee28c3b7ad20418b68617585cebd6a224544c0ee51,2026-09-12
1000024845,747243,0,Gyan,de Regt,,2003-08-18,34,0,1376418,2026-08-19,2030-06-30,11,FIRST,LW,45,CONFIRMED,https://www.transfermarkt.de/gyan-de-regt/profil/spieler/747243,91f1001c00d18d82ae563dc905ff8a875c903688316fbc52345147eae39ff836,2026-09-12
1000024848,768562,0,,Bénito,,2003-08-21,18,107,2490394,2026-07-01,2029-06-30,92,FIRST,LW,45,CONFIRMED,https://www.transfermarkt.de/cf-estrela-amadora/kader/verein/2431/saison_id/2026/plus/1,518e3a2e95f5774700d01db49dd50f80d4ccbc790493950412b68c785a7de654,2026-09-12
1000024849,810846,0,,Kaylen,,2004-04-05,21,54,2228247,2026-08-07,2027-06-30,33,FIRST,GK,45,CONFIRMED,https://www.transfermarkt.de/kaylen/profil/spieler/810846,b186e93809e1c410f1aea6a45ae06f6e55c4c824242dd5688e149df946158333,2026-09-12
1000024850,839551,0,Ondrej,Kricfalusi,,2004-03-09,12,0,458780,2026-07-01,2030-06-30,80,FIRST,DM,45,CONFIRMED,https://www.transfermarkt.de/ondrej-kricfalusi/profil/spieler/839551,ddff822ca38b5b072162f8b442ad5ae213100c1ecb6d17b00bcdc2c284d04d99,2026-09-12
1000024854,946964,0,Viktor,Damjanic,,2005-11-03,10,0,458775,2025-07-23,2028-06-30,15,FIRST,CB,45,CONFIRMED,https://www.transfermarkt.de/oud-heverlee-leuven/kader/verein/2727/saison_id/2026/plus/1,13369b1472ae4137934608499f3a290781d8b7a96223b8e0488ea6f56621495e,2026-09-12
1000024857,975321,0,Mohamed,Yasser,,2001-05-05,111,0,786453,2026-09-01,2029-06-30,0,FIRST,ST,45,CONFIRMED,https://www.transfermarkt.de/mohamed-yasser/profil/spieler/975321,4fb4d574fb4d8a7bbb8eec8ade97b3788a0dfba9b105db2f8af4f0eac624fe80,2026-09-12
1000024858,993333,0,Bas,Langenbick,,2003-06-16,7,0,458755,2024-01-01,2028-06-30,84,FIRST,GK,45,CONFIRMED,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12
1000024859,1013809,0,Jiri,Zima,,2007-12-21,12,0,790538,2026-01-01,2028-06-30,11,RESERVE,AM,45,CONFIRMED,https://www.transfermarkt.de/jiri-zima/profil/spieler/1013809,1bad1aecc0f2c4585928e17be1969f2ca10fec44513a706a08f4f835fd501028,2026-09-12
1000024864,1072324,0,Chipyoka,Songa,,2004-09-24,147,0,2490377,2026-09-04,2031-06-30,28,FIRST,AM,45,CONFIRMED,https://www.transfermarkt.de/moreirense-fc/kader/verein/979/saison_id/2026/plus/1,9aa16aff197b371e36892b5321c0c1db769f09802a8338c111eb56304e7798bc,2026-09-12
