fm_id,fifa_id,dob,old_club_id,new_club_id,joined,contract_until,shirt_number,team_type,status,source,source_sha256,snapshot_date,loan_owner_club_id,loan_end,action,previous_loan_owner_club_id,previous_loan_start,previous_loan_end,previous_loan_buy_option,acquisition_seller_club_id,acquisition_event_key,acquisition_date,acquisition_source,acquisition_source_sha256,protected_condition_type,protected_condition_param0,protected_condition_param1,protected_condition_param2,protected_condition_param3,protected_condition_param4
6319,244344,1996-08-24,720903,1376258,2024-07-01,2026-06-30,21,FIRST,CONFIRMED,https://www.transfermarkt.de/1-fc-nurnberg/kader/verein/4/saison_id/2026/plus/1,1d02eebfb6b905a4b771fed6091258b15847c4bfb1b6d4bd643980220ba21ebd,2026-09-12,0,,MOVE_PRESERVE_METADATA,0,,,0,0,,,,,,,,,,
6440,0,2001-08-20,720907,458788,2026-07-01,2027-06-30,97,FIRST,CONFIRMED,https://www.transfermarkt.de/sk-beveren/kader/verein/28643/saison_id/2026/plus/1,7bd09a7ce8449fd8a09e77af941f3d0069233ed39a454f5073c6ab7bfe083ae7,2026-09-12,720907,2027-06-30,SQUAD,0,,,0,0,,,,,,,,,,
6591,0,2005-05-24,725001,1769483,2024-07-01,2028-06-30,5,FIRST,CONFIRMED,https://www.transfermarkt.de/vernon-addo/profil/spieler/1017950,f834e7ef658a7b9f96153f785b6513a1a1c26127760ea1341adb7f8b5b4053f9,2026-09-12,0,,RESOLVE_EXPIRED_LOAN,1769483,2025-07-01,2026-06-30,-1,0,,,,,,,,,,
7666,0,2008-01-01,2949124,2949124,2026-07-01,2030-06-30,29,FIRST,CONFIRMED,https://www.transfermarkt.de/fc-barcelona/kader/verein/131/saison_id/2026/plus/1,48995ede060e2f10268fd330cd92886372ac077da45713b1cc6976bb8188de77,2026-09-12,0,,SQUAD,0,,,0,0,,,,,,,,,,
11201,247345,1999-04-18,786438,790564,2021-07-01,2027-06-30,2,FIRST,CONFIRMED,https://www.transfermarkt.de/sk-artis-brunn/kader/verein/24325/saison_id/2026/plus/1,587a867b1b6398028de49094330bc2934f1e7245d3ee79f2003e9ffe6410ac9f,2026-09-12,0,,MOVE_PRESERVE_METADATA,0,,,0,0,,,,,,,,,,
11222,0,2005-08-08,786438,786447,2026-09-08,2029-06-30,7,FIRST,CONFIRMED,https://www.transfermarkt.de/afolabi-soliu/profil/spieler/1200278,fe270cfeb1c89dff9e643a9efe470ee566682fe8025d4e83f2adc9094a61ce94,2026-09-12,786438,2027-06-30,SQUAD,0,,,0,0,6575989,,,,,,,,,
11258,0,2004-01-23,790540,786447,2021-07-01,2026-06-30,26,FIRST,CONFIRMED,https://www.transfermarkt.de/fc-zbrojovka-brunn/kader/verein/5225/saison_id/2026/plus/1,1aeecf841a85ad9d35469b9ba37af49f38aee1b2e160fdd7ebc2df04f3863d83,2026-09-12,0,,MOVE_PRESERVE_METADATA,0,,,0,0,,,,,,,,,,
11262,0,2004-08-20,790540,786446,2022-07-01,2026-06-30,4,FIRST,CONFIRMED,https://www.transfermarkt.de/fc-banik-ostrau/kader/verein/377/saison_id/2026/plus/1,3717000ca143110b9cff7bc66843b5e54104cdaa75d0e196220c4e77c8b4d611,2026-09-12,0,,MOVE_PRESERVE_METADATA,0,,,0,0,,,,,,,,,,
11263,0,2001-05-04,790540,786461,2026-09-08,2028-06-30,29,FIRST,CONFIRMED,https://www.transfermarkt.de/jan-fiala/profil/spieler/723528,d36be9b18dc42167edc6eac16e965b0a5024f35e8c2d2d6c330be139deecbdc6,2026-09-12,786439,2027-06-30,REPLACE_EXPIRED_LOAN,786439,2025-07-01,2026-06-30,-1,0,,,,,,,,,,
11317,263286,1992-04-21,786434,790538,2021-07-01,2027-06-30,27,FIRST,CONFIRMED,https://www.transfermarkt.de/fk-pardubice/kader/verein/1496/saison_id/2026/plus/1,ff994ed3554101d4e2a5377d206e013ac142ca4f73f68a0c406e2cc0d305e0ef,2026-09-12,0,,RESOLVE_EXPIRED_LOAN,786441,2025-07-01,2026-06-30,-1,0,,,,,,,,,,
11318,237317,1997-04-18,786434,786442,2025-07-01,2026-06-30,7,FIRST,CONFIRMED,https://www.transfermarkt.de/ac-sparta-prag/kader/verein/197/saison_id/2026/plus/1,6b74c895ae1857517e5325904312eb2643155a1ddb4be2ba7e884a9840dcea35,2026-09-12,0,,MOVE_PRESERVE_METADATA,0,,,0,0,,,,,,,,,,
