row_id,player_tm_id,source_player,dob,native_fm_id,native_fifa_id,native_name,native_club_id,target_club_id,method
FM27-d8efc5e9ee5fae00227ccf8e,122268,David Kamm Al-Azzawe,1992-06-05,268329,0,David Haider,1376444,1376444,VERIFIED_FULL_NAME_COMPONENTS_DOB_TARGET
FM27-f2fa4d2479d168b5bd33b57d,127573,Phillipp Mwene,1994-01-29,280308,216275,Philipp Mwene,1376259,1376259,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-c65bc0c457967e5ad1c241d4,137313,Buatu,1993-09-27,287211,209816,Jonathan Buatu,2490375,2490375,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-7eed6111241436d5ffc025f2,154819,Kwasi Wriedt,1994-07-10,272756,213949,Kwasi Okyere Wriedt,1376539,1376539,CONFIRMED_LOCAL_DELTA_FIFA_ID_DOB_TARGET
FM27-a3ca870616d17efd83513da8,175446,Jonny Otto,1994-03-03,283825,210455,Jonathan Castro,2949141,2949141,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-f2e9b677ad85b489f6925e16,182201,Mbwana Samatta,1992-12-23,290015,218066,Ally Samatta,1179681,1179681,VERIFIED_FULL_NAME_COMPONENTS_DOB_TARGET
FM27-86f662480665f5b1a4d5315f,191426,Leroy Mickels,1995-06-25,203212,251443,Leroy-Jacques Mickels,1376301,1376301,CONFIRMED_LOCAL_DELTA_FIFA_ID_DOB_TARGET
FM27-0455f5d8f00ac5f775a4456b,240692,Reinildo Mandava,1994-01-21,23903,236045,Reinildo Mandava,917524,917524,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-66922401988ce4f54c6127dd,250478,Matt Targett,1995-09-18,266490,218659,Matthew Targett,917522,917532,LOCAL_UNIQUE_DOB_NAME_ALIAS
FM27-cee39c8f73847c4b1c3d397a,335721,Ben White,1997-10-08,257412,231936,Benjamin White,917505,917505,AUTHORITATIVE_LOCAL_FIFA_ID_DOB
