fm_id,player_tm_id,fifa_id,first_name,last_name,pseudonym,dob,nationality1,nationality2,club_id,joined,contract_until,shirt_number,team_type,position,rating_seed,status,source,source_sha256,snapshot_date
1000024821,107665,0,Filip,Novak,,1990-06-26,12,0,786437,2025-02-21,2027-06-30,57,FIRST,LB,45,CONFIRMED,https://www.transfermarkt.de/fk-jablonec/kader/verein/1322/saison_id/2026/plus/1,fa6bc207fa67c20e0cd9ca574d81e19d3d8b6b77840b71993b1620a5a4b28b21,2026-09-12
1000024822,175446,0,Jonny,Otto,,1994-03-03,45,0,2949141,2025-07-02,2027-06-30,17,FIRST,RB,45,CONFIRMED,https://www.transfermarkt.de/jonny-otto/profil/spieler/175446,8167a0072d69e483a108dfab62f9863d488149abcac44f5f6687ae4234f949e4,2026-09-12
1000024823,187203,0,Eric,Verstappen,,1994-05-19,34,0,1376282,2026-09-08,2027-06-30,33,FIRST,GK,45,CONFIRMED,https://www.transfermarkt.de/eric-verstappen/profil/spieler/187203,f725240eef1536865fb62a0ad9a6a0d8b45745ec73772fcb06bb0cfb7bdbd2db,2026-09-12
1000024824,191829,0,Dimitrios,Goutas,,1994-04-04,22,0,3145836,2025-07-11,2027-06-30,6,FIRST,CB,45,CONFIRMED,https://www.transfermarkt.de/dimitrios-goutas/profil/spieler/191829,fe2be9c537825fe64b369b25a5c7aac2d3c8a9098f306bc44241d234dba680b3,2026-09-12
1000024825,211628,0,Mohamed,Bouldini,,1995-11-27,129,0,2494468,2026-08-05,2027-06-30,9,FIRST,ST,45,CONFIRMED,https://www.transfermarkt.de/mohamed-bouldini/profil/spieler/211628,2e794db9c874f662a1b1740acaa0f324fb151e8512818b398c9a21f289d3556e,2026-09-12
1000024826,272619,0,Romain,Cagnon,,1997-05-12,18,0,1179685,2026-08-19,2027-06-30,49,FIRST,GK,45,CONFIRMED,https://www.transfermarkt.de/romain-cagnon/profil/spieler/272619,dd5a290c2ea07eebda93410295d4966a56c232a72a55a3218f14ee4b4ef3b29e,2026-09-12
1000024827,453704,0,Álvaro,Ferllo,,1998-04-13,45,0,2949127,2026-01-01,2027-06-30,25,FIRST,GK,45,CONFIRMED,https://www.transfermarkt.de/deportivo-a-coruna/kader/verein/897/saison_id/2026/plus/1,7550b0f31442bf21d6149b2642a4ee1c6a58307c97068ea0c26d45e205ddb6c5,2026-09-12
1000024828,482386,0,Qëndrim,Zyba,,2001-02-03,207,0,786438,2024-07-10,2027-06-30,10,FIRST,CM,45,CONFIRMED,https://www.transfermarkt.de/fc-slovan-liberec/kader/verein/697/saison_id/2026/plus/1,6aba2d7156fcbb82e5f0f245492c388de338ad498bd8ff4bd953a9b7fb194317,2026-09-12
1000024829,486031,0,Nico,González,,1998-04-06,52,27,1769482,2025-07-01,2029-06-30,31,FIRST,LW,45,CONFIRMED,https://www.transfermarkt.de/juventus-turin/kader/verein/506/saison_id/2026/plus/1,0009d8e86a1fcff175fb368bcdc9cac816372b11375dc9917e504e11cc3f9b54,2026-09-12
1000024830,528222,0,Lorenz,Ender,,2001-01-06,21,0,1376306,2023-07-01,2027-06-30,17,FIRST,RW,45,CONFIRMED,https://www.transfermarkt.de/lorenz-ender/profil/spieler/528222,819f85a5d1af3bde7298e3f9f736b55c2ce9207c82a31138f06d823082aa5b74,2026-09-12
1000024831,537844,0,Anatoliy,Trubin,,2001-08-01,49,0,2490372,2023-08-10,2028-06-30,1,FIRST,GK,45,CONFIRMED,https://www.transfermarkt.de/anatoliy-trubin/profil/spieler/537844,f026c7abf7f57433572c38afd4cbf7924673c043ffc106ddd53f46bf38169590,2026-09-12
1000024832,546186,0,Georgios,Vagiannidis,,2001-09-12,22,0,2490382,2025-08-06,2030-06-30,13,FIRST,RB,45,CONFIRMED,https://www.transfermarkt.de/georgios-vagiannidis/profil/spieler/546186,1e5e07e8a94157bbe0e9fbda7b753e53c2edd5b87b17ea28693748c8f2f9a3ac,2026-09-12
1000024833,567516,0,,Gabi,,2000-04-18,38,0,2494469,2026-07-10,2029-06-30,8,FIRST,CM,45,CONFIRMED,https://www.transfermarkt.de/gabi/profil/spieler/567516,6ae77096870082b49cae73cbf2b2463e308c2703dd6e668927d87b5c282c62fd,2026-09-12
1000024834,584452,0,Nikolaos,Michelis,,2001-03-23,22,0,2494468,2024-08-15,2028-06-30,2,FIRST,CB,45,CONFIRMED,https://www.transfermarkt.de/nikolaos-michelis/profil/spieler/584452,6fe07221674555f4bfd05c719acbb657c2fee56d3bc0dbf0b0cc999bb3231f83,2026-09-12
1000024835,631404,0,,Gorby,,2002-07-25,18,80,2490374,2021-12-01,2028-06-30,29,FIRST,CM,45,CONFIRMED,https://www.transfermarkt.de/gorby/profil/spieler/631404,550374f0e65dd2749126401a811d82d2c82ed3ed4e2bc3e57ed2ba96f49dd9eb,2026-09-12
1000024836,634430,0,Israel,Salazar,,2003-05-10,45,0,2490386,2024-08-15,2028-06-30,38,FIRST,ST,45,CONFIRMED,https://www.transfermarkt.de/israel-salazar/profil/spieler/634430,899f34752b34ba5ece3535a1baeb89cf64f40beed85b54ee612462a2118243c9,2026-09-12
1000024837,639733,0,Peque,Fernández,,2002-10-04,45,0,2949138,2024-07-11,2028-06-30,10,FIRST,CF,45,CONFIRMED,https://www.transfermarkt.de/peque-fernandez/profil/spieler/639733,513c83051ef53a9c560c9d798d0bb01638d70e40200239327d9a9c918c0461dc,2026-09-12
1000024838,648541,0,Gabi,Caschili,,2003-07-14,34,27,2228252,2026-08-04,2027-06-30,18,FIRST,RB,45,CONFIRMED,https://www.transfermarkt.de/gabi-caschili/profil/spieler/648541,32aebda1d903bd78fe1ea2ee28c3b7ad20418b68617585cebd6a224544c0ee51,2026-09-12
1000024839,662332,0,,Juan,,2002-03-07,54,0,3145820,2025-08-25,2029-06-30,9,FIRST,ST,45,CONFIRMED,https://www.transfermarkt.de/juan/profil/spieler/662332,9a7a5750e957c82c27c189f81a5f64f1f3f553a22b9c974558e5b199250b2fc0,2026-09-12
1000024840,669380,0,Konstantinos,Koulierakis,,2003-11-28,22,0,1769476,2026-08-01,2031-06-30,3,FIRST,CB,45,CONFIRMED,https://www.transfermarkt.de/konstantinos-koulierakis/profil/spieler/669380,24b70e8cbf6f8eba06502e6c9f5dcafae2a2df99cc7e2d4ca2dc39d9c6feda87,2026-09-12
1000024841,683571,0,Tolu,Arokodare,,2000-11-23,133,0,2228227,2026-07-29,2027-06-30,99,FIRST,ST,45,CONFIRMED,https://www.transfermarkt.de/ajax-amsterdam/kader/verein/610/saison_id/2026/plus/1,f5e17e90fd0fa7a2962da880b80d3f5be8fc736c45ff9203a638be8e951725f8,2026-09-12
1000024842,704456,0,Nosa,Edward Obaretin,,2003-01-26,27,133,1179673,2026-08-25,2027-06-30,55,FIRST,CB,45,CONFIRMED,https://www.transfermarkt.de/fc-lorient/kader/verein/1158/saison_id/2026/plus/1,8985aded9368fca7ce5d7744ed4210e43a27554002fd29e32ed7f2454f7c3087,2026-09-12
1000024843,724039,0,Georgios,Koutsias,,2004-02-08,22,0,2490398,2026-07-24,2031-06-30,70,FIRST,ST,45,CONFIRMED,https://www.transfermarkt.de/georgios-koutsias/profil/spieler/724039,9ffb9c24dd71b72b26eb8dbae77a8478ba39558e051c2de37e6b827f61f7d957,2026-09-12
1000024844,726014,0,Maksym,Dyachuk,,2003-07-21,49,0,786446,2026-07-10,2027-06-30,16,FIRST,CB,45,CONFIRMED,https://www.transfermarkt.de/maksym-dyachuk/profil/spieler/726014,e9bd243126b449ba3bfe8a5dee044f51895766951da6d57cb53fedb88ec7e183,2026-09-12
1000024845,747243,0,Gyan,de Regt,,2003-08-18,34,0,1376418,2026-08-19,2030-06-30,11,FIRST,LW,45,CONFIRMED,https://www.transfermarkt.de/gyan-de-regt/profil/spieler/747243,91f1001c00d18d82ae563dc905ff8a875c903688316fbc52345147eae39ff836,2026-09-12
1000024846,754037,0,Abbosbek,Fayzullaev,,2003-10-03,191,0,3145841,2025-07-30,2030-06-30,11,FIRST,RW,45,CONFIRMED,https://www.transfermarkt.de/abbosbek-fayzullaev/profil/spieler/754037,09938b09a05ff61f2d34b6e8c6c41a16ac30c2a63cb2a9ef8fc33c0cc08951ed,2026-09-12
1000024847,763090,0,Mukhammadali,Urinboev,,2005-04-24,191,0,458785,2025-07-07,2029-06-30,19,FIRST,RW,45,CONFIRMED,https://www.transfermarkt.de/mukhammadali-urinboev/profil/spieler/763090,f3cbeafaadb5d41bbb8fa837dccd3a2cd722f1be41afcfbfeb265266b343827f,2026-09-12
1000024848,768562,0,,Bénito,,2003-08-21,18,107,2490394,2026-07-01,2029-06-30,92,FIRST,LW,45,CONFIRMED,https://www.transfermarkt.de/cf-estrela-amadora/kader/verein/2431/saison_id/2026/plus/1,518e3a2e95f5774700d01db49dd50f80d4ccbc790493950412b68c785a7de654,2026-09-12
1000024849,810846,0,,Kaylen,,2004-04-05,21,54,2228247,2026-08-07,2027-06-30,33,FIRST,GK,45,CONFIRMED,https://www.transfermarkt.de/kaylen/profil/spieler/810846,b186e93809e1c410f1aea6a45ae06f6e55c4c824242dd5688e149df946158333,2026-09-12
1000024850,839551,0,Ondrej,Kricfalusi,,2004-03-09,12,0,458780,2026-07-01,2030-06-30,80,FIRST,DM,45,CONFIRMED,https://www.transfermarkt.de/ondrej-kricfalusi/profil/spieler/839551,ddff822ca38b5b072162f8b442ad5ae213100c1ecb6d17b00bcdc2c284d04d99,2026-09-12
1000024851,858324,0,Djordje,Gordic,,2004-11-05,51,0,458783,2023-01-03,2027-06-30,22,FIRST,CM,45,CONFIRMED,https://www.transfermarkt.de/djordje-gordic/profil/spieler/858324,45736d88af2b5f6c84b7fbbfaa86ea72f3533997b4d157708a9f14b8711f706f,2026-09-12
1000024852,865793,0,Nariman,Akhundzada,,2004-04-23,5,0,3145765,2026-08-03,2027-06-30,90,FIRST,ST,45,CONFIRMED,https://www.transfermarkt.de/erzurumspor-fk/kader/verein/39722/saison_id/2026/plus/1,aaa2316b00aefef231faf95d7f3e3871f7c712aaa423cb88c256177acd6d2902,2026-09-12
1000024853,872171,0,Lucas,Beraldo,,2003-11-24,54,0,1179663,2024-01-01,2031-06-30,4,FIRST,CB,45,CONFIRMED,https://www.transfermarkt.de/lucas-beraldo/profil/spieler/872171,544f3ca55d752562651e7c5c96c52eb428b87d5bdc84fed376fc2a3ef5612928,2026-09-12
1000024854,946964,0,Viktor,Damjanic,,2005-11-03,10,0,458775,2025-07-23,2028-06-30,15,FIRST,CB,45,CONFIRMED,https://www.transfermarkt.de/oud-heverlee-leuven/kader/verein/2727/saison_id/2026/plus/1,13369b1472ae4137934608499f3a290781d8b7a96223b8e0488ea6f56621495e,2026-09-12
1000024855,952093,0,Burak,Enes Yıkıcı,,2004-03-29,48,0,3145773,2024-07-01,2027-06-30,0,FIRST,AM,45,CONFIRMED,https://www.transfermarkt.de/gaziantep-fk/kader/verein/2832/saison_id/2026/plus/1,81446f340c520f2c5aff4253c251edc727d259530fe5221a6b24ee6cfb9e01e1,2026-09-12
1000024856,957822,0,Eddy,Kouadio,,2006-05-03,27,108,1769533,2026-07-08,2027-06-30,60,FIRST,CB,45,CONFIRMED,https://www.transfermarkt.de/ac-monza/kader/verein/2919/saison_id/2026/plus/1,8f193279202724cc57a68a08441deb0fe889b73d8d97804595e81268516bfe10,2026-09-12
1000024857,975321,0,Mohamed,Yasser,,2001-05-05,111,0,786453,2026-09-01,2029-06-30,0,FIRST,ST,45,CONFIRMED,https://www.transfermarkt.de/mohamed-yasser/profil/spieler/975321,4fb4d574fb4d8a7bbb8eec8ade97b3788a0dfba9b105db2f8af4f0eac624fe80,2026-09-12
