queue,blocking,reason,league,club,club_tm_id,player,player_tm_id,dob,fm_id,fifa_id,native_club_id,target_club_id,identity_method,source,source_sha256,snapshot_date,classification
,NO,,BEL1,Cercle Brügge,520,Abdoul Kader Ouattara,1176433,2005-05-26,236114,70273,458755,458755,DOB_NAME,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Cercle Brügge,520,Abdoulie Manneh,1229808,2004-09-29,187998,70902,458755,458755,DOB_NAME,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12,NATIVE_DELTA
,NO,,BEL1,Cercle Brügge,520,Bas Langenbick,993333,2003-06-16,,,,458755,ZERO_DUPLICATE_CREATE_PLAN,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12,NATIVE_CREATE_CANDIDATE
,NO,,BEL1,Cercle Brügge,520,Charles Herrmann,884822,2006-01-21,279855,78540,458755,458755,DOB_NAME,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12,INHERITED_NATIVE08_COVERED
,NO,,BEL1,Cercle Brügge,520,Dante Vanzeir,289648,1998-04-16,235432,234905,458753,458755,DOB_NAME,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12,NATIVE_DELTA
,NO,,BEL1,Cercle Brügge,520,Emmanuel Kakou,1233680,2005-06-30,236121,75081,458755,458755,DOB_NAME,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Cercle Brügge,520,Erick Nunes,1086381,2004-02-29,236115,70115,458755,458755,VERIFIED_PRIOR_TM_BRIDGE,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Cercle Brügge,520,Gary Magnée,679050,1999-10-12,236106,251537,458755,458755,DOB_NAME,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Cercle Brügge,520,Gaëtan Coucke,338651,1998-11-03,293204,234903,458755,458755,DOB_NAME,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Cercle Brügge,520,Geoffrey Kondo,1027253,2002-05-02,272454,276023,458755,458755,DOB_NAME,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12,INHERITED_NATIVE08_COVERED
,NO,,BEL1,Cercle Brügge,520,Hannes Van Der Bruggen,110822,1993-04-01,236101,201438,458755,458755,DOB_NAME,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Cercle Brügge,520,Heriberto Jurado,950874,2005-01-03,236111,264863,458755,458755,DOB_NAME,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Cercle Brügge,520,Ibrahim Diakité,919173,2003-10-31,236113,272568,458755,458755,DOB_NAME,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Cercle Brügge,520,Joel Ndala,921829,2006-05-31,266807,74956,458755,458755,DOB_NAME,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Cercle Brügge,520,Krys Kouassi,1208836,2007-03-08,236132,75738,458755,458755,DOB_NAME,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Cercle Brügge,520,Lazare Amani,435808,1998-03-07,105170,234948,458755,458755,DOB_NAME,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12,CURRENT_COVERED
,NO,,BEL1,Cercle Brügge,520,Lucas Michal,810909,2005-06-22,284495,70458,458755,458755,DOB_NAME,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12,NATIVE_DELTA
,NO,,BEL1,Cercle Brügge,520,Lukas Mondele,655003,2004-03-29,237089,276813,458755,458755,DOB_NAME,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12,CURRENT_COVERED
