league_code,country,level,club_name,club_id,fifa_team_id,source,source_date,status,notes
ENG1,England,1,AFC Bournemouth,917553,1943,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,2026-09-12,CONFIRMED,Official 2026/27 competition source; native identity matched to existing identity map.
ENG1,England,1,Sunderland,917524,106,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,2026-09-12,CONFIRMED,Official 2026/27 competition source; native identity matched to existing identity map.
ENG1,England,1,Aston Villa,917506,2,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,2026-09-12,CONFIRMED,Official 2026/27 competition source; native identity matched to existing identity map.
ENG1,England,1,Brighton & Hove Albion,917529,1808,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,2026-09-12,CONFIRMED,Official 2026/27 competition source; native identity matched to existing identity map.
ENG1,England,1,Coventry City,917530,1800,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,2026-09-12,CONFIRMED,Official 2026/27 competition source; native identity matched to existing identity map.
ENG1,England,1,Crystal Palace,917535,1799,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,2026-09-12,CONFIRMED,Official 2026/27 competition source; native identity matched to existing identity map.
ENG1,England,1,Arsenal,917505,1,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,2026-09-12,CONFIRMED,Official 2026/27 competition source; native identity matched to existing identity map.
ENG1,England,1,Brentford,917569,1925,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,2026-09-12,CONFIRMED,Official 2026/27 competition source; native identity matched to existing identity map.
ENG1,England,1,Chelsea,917513,5,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,2026-09-12,CONFIRMED,Official 2026/27 competition source; native identity matched to existing identity map.
ENG1,England,1,Everton,917517,7,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,2026-09-12,CONFIRMED,Official 2026/27 competition source; native identity matched to existing identity map.
ENG1,England,1,Fulham,917521,144,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,2026-09-12,CONFIRMED,Official 2026/27 competition source; native identity matched to existing identity map.
ENG1,England,1,Liverpool,917509,9,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,2026-09-12,CONFIRMED,Official 2026/27 competition source; native identity matched to existing identity map.
ENG1,England,1,Hull City,917532,1952,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,2026-09-12,CONFIRMED,Official 2026/27 competition source; native identity matched to existing identity map.
ENG1,England,1,Ipswich Town,917538,94,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,2026-09-12,CONFIRMED,Official 2026/27 competition source; native identity matched to existing identity map.
ENG1,England,1,Leeds United,917545,8,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,2026-09-12,CONFIRMED,Official 2026/27 competition source; native identity matched to existing identity map.
ENG1,England,1,Manchester City,917518,10,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,2026-09-12,CONFIRMED,Official 2026/27 competition source; native identity matched to existing identity map.
ENG1,England,1,Manchester United,917519,11,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,2026-09-12,CONFIRMED,Official 2026/27 competition source; native identity matched to existing identity map.
ENG1,England,1,Newcastle United,917523,13,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,2026-09-12,CONFIRMED,Official 2026/27 competition source; native identity matched to existing identity map.
ENG1,England,1,Nottingham Forest,917549,14,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,2026-09-12,CONFIRMED,Official 2026/27 competition source; native identity matched to existing identity map.
ENG1,England,1,Tottenham Hotspur,917514,18,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,2026-09-12,CONFIRMED,Official 2026/27 competition source; native identity matched to existing identity map.
ITA1,Italy,1,A.C.F. Fiorentina,1769492,110374,https://en.legaseriea.it/serie-a/news/looking-forward-to-the-2026-27-serie-a-fixture-list,2026-09-12,CONFIRMED,Official 2026/27 competition source; native identity matched to existing identity map.
ITA1,Italy,1,A.C. Milan,1769474,47,https://en.legaseriea.it/serie-a/news/looking-forward-to-the-2026-27-serie-a-fixture-list,2026-09-12,CONFIRMED,Official 2026/27 competition source; native identity matched to existing identity map.
ITA1,Italy,1,A.C. Monza,1769533,111811,https://en.legaseriea.it/serie-a/news/looking-forward-to-the-2026-27-serie-a-fixture-list,2026-09-12,CONFIRMED,Official 2026/27 competition source; native identity matched to existing identity map.
ITA1,Italy,1,A.S. Roma,1769476,52,https://en.legaseriea.it/serie-a/news/looking-forward-to-the-2026-27-serie-a-fixture-list,2026-09-12,CONFIRMED,Official 2026/27 competition source; native identity matched to existing identity map.
ITA1,Italy,1,Atalanta Bergamasca Calcio,1769477,39,https://en.legaseriea.it/serie-a/news/looking-forward-to-the-2026-27-serie-a-fixture-list,2026-09-12,CONFIRMED,Official 2026/27 competition source; native identity matched to existing identity map.
ITA1,Italy,1,Cagliari Calcio,1769480,1842,https://en.legaseriea.it/serie-a/news/looking-forward-to-the-2026-27-serie-a-fixture-list,2026-09-12,CONFIRMED,Official 2026/27 competition source; native identity matched to existing identity map.
ITA1,Italy,1,Como 1907,1769516,1745,https://en.legaseriea.it/serie-a/news/looking-forward-to-the-2026-27-serie-a-fixture-list,2026-09-12,CONFIRMED,Official 2026/27 competition source; native identity matched to existing identity map.
ITA1,Italy,1,Bologna F.C. 1909,1769478,189,https://en.legaseriea.it/serie-a/news/looking-forward-to-the-2026-27-serie-a-fixture-list,2026-09-12,CONFIRMED,Official 2026/27 competition source; native identity matched to existing identity map.
ITA1,Italy,1,Torino F.C.,1769499,54,https://en.legaseriea.it/serie-a/news/looking-forward-to-the-2026-27-serie-a-fixture-list,2026-09-12,CONFIRMED,Official 2026/27 competition source; native identity matched to existing identity map.
ITA1,Italy,1,Frosinone Calcio,1769528,111657,https://en.legaseriea.it/serie-a/news/looking-forward-to-the-2026-27-serie-a-fixture-list,2026-09-12,CONFIRMED,Official 2026/27 competition source; native identity matched to existing identity map.
ITA1,Italy,1,Genoa C.F.C.,1769510,110556,https://en.legaseriea.it/serie-a/news/looking-forward-to-the-2026-27-serie-a-fixture-list,2026-09-12,CONFIRMED,Official 2026/27 competition source; native identity matched to existing identity map.
ITA1,Italy,1,F.C. Internazionale Milano,1769481,44,https://en.legaseriea.it/serie-a/news/looking-forward-to-the-2026-27-serie-a-fixture-list,2026-09-12,CONFIRMED,Official 2026/27 competition source; native identity matched to existing identity map.
