league,season,snapshot_date,club_name,external_club_id,native_club_id,team_type,status,source_url,source_sha256
ENG1,2026/27,2026-09-12,AFC Bournemouth,989,917553,FIRST,CONFIRMED,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,27455262c832f50308fd7fc027d942cd4027c6db94f8f77a03153b36cf097867
ENG1,2026/27,2026-09-12,AFC Sunderland,289,917524,FIRST,CONFIRMED,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,27455262c832f50308fd7fc027d942cd4027c6db94f8f77a03153b36cf097867
ENG1,2026/27,2026-09-12,Aston Villa,405,917506,FIRST,CONFIRMED,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,27455262c832f50308fd7fc027d942cd4027c6db94f8f77a03153b36cf097867
ENG1,2026/27,2026-09-12,Brighton & Hove Albion,1237,917529,FIRST,CONFIRMED,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,27455262c832f50308fd7fc027d942cd4027c6db94f8f77a03153b36cf097867
ENG1,2026/27,2026-09-12,Coventry City,990,917530,FIRST,CONFIRMED,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,27455262c832f50308fd7fc027d942cd4027c6db94f8f77a03153b36cf097867
ENG1,2026/27,2026-09-12,Crystal Palace,873,917535,FIRST,CONFIRMED,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,27455262c832f50308fd7fc027d942cd4027c6db94f8f77a03153b36cf097867
ENG1,2026/27,2026-09-12,FC Arsenal,11,917505,FIRST,CONFIRMED,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,27455262c832f50308fd7fc027d942cd4027c6db94f8f77a03153b36cf097867
ENG1,2026/27,2026-09-12,FC Brentford,1148,917569,FIRST,CONFIRMED,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,27455262c832f50308fd7fc027d942cd4027c6db94f8f77a03153b36cf097867
ENG1,2026/27,2026-09-12,FC Chelsea,631,917513,FIRST,CONFIRMED,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,27455262c832f50308fd7fc027d942cd4027c6db94f8f77a03153b36cf097867
ENG1,2026/27,2026-09-12,FC Everton,29,917517,FIRST,CONFIRMED,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,27455262c832f50308fd7fc027d942cd4027c6db94f8f77a03153b36cf097867
ENG1,2026/27,2026-09-12,FC Fulham,931,917521,FIRST,CONFIRMED,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,27455262c832f50308fd7fc027d942cd4027c6db94f8f77a03153b36cf097867
ENG1,2026/27,2026-09-12,FC Liverpool,31,917509,FIRST,CONFIRMED,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,27455262c832f50308fd7fc027d942cd4027c6db94f8f77a03153b36cf097867
ENG1,2026/27,2026-09-12,Hull City,3008,917532,FIRST,CONFIRMED,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,27455262c832f50308fd7fc027d942cd4027c6db94f8f77a03153b36cf097867
ENG1,2026/27,2026-09-12,Ipswich Town,677,917538,FIRST,CONFIRMED,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,27455262c832f50308fd7fc027d942cd4027c6db94f8f77a03153b36cf097867
ENG1,2026/27,2026-09-12,Leeds United,399,917545,FIRST,CONFIRMED,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,27455262c832f50308fd7fc027d942cd4027c6db94f8f77a03153b36cf097867
ENG1,2026/27,2026-09-12,Manchester City,281,917518,FIRST,CONFIRMED,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,27455262c832f50308fd7fc027d942cd4027c6db94f8f77a03153b36cf097867
ENG1,2026/27,2026-09-12,Manchester United,985,917519,FIRST,CONFIRMED,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,27455262c832f50308fd7fc027d942cd4027c6db94f8f77a03153b36cf097867
ENG1,2026/27,2026-09-12,Newcastle United,762,917523,FIRST,CONFIRMED,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,27455262c832f50308fd7fc027d942cd4027c6db94f8f77a03153b36cf097867
ENG1,2026/27,2026-09-12,Nottingham Forest,703,917549,FIRST,CONFIRMED,https://www.premierleague.com/en/news/4675097/all-380-fixtures-for-202627-premier-league-season,27455262c832f50308fd7fc027d942cd4027c6db94f8f77a03153b36cf097867
