queue,league,old_club,old_club_tm_id,player,player_tm_id,dob,fm_id,fifa_id,native_club_id,status,new_club,new_club_tm_id,transaction_type,effective_date,loan_end,current_contract_until,owner_club_tm_id,owner_contract_until,event_id,event_date,identity_method,evidence_class,source_url,source_sha256,source_status,confidence,attempts,targeted_profile_attempt,source_hash_validation,review_reason,notes,snapshot_date
SOURCE_ABSENCE,CZE1,FC Banik Ostrau,377,David Latal,812010,2003-01-21,309081,0,12587038,REVIEW_REQUIRED,Sperre,2077,PERMANENT,2026-08-04,,,,,6576720,,VERIFIED_PRIOR_TM_BRIDGE,INVALID_DESTINATION_RECORD,https://www.transfermarkt.de/chance-liga/transfers/wettbewerb/TS1/saison_id/2026 | https://www.transfermarkt.de/david-latal/profil/spieler/812010,4eb600e7a8e262f0b3e2e95a268a14ae8f515e096d539a31c9981af247ff5f63 | fabe5fc6adc993710fdc050086351ee222df1204271be7dae03dd9be19cedcd6,REVIEW_REQUIRED,0.45,2,,EVENT_CACHED_BYTES_MATCH;PROFILE_CACHED_BYTES_MATCH,"Transfer event points to synthetic suspension record (Sperre), not an identifiable destination club; absence alone cannot establish departure.",Two attempts: explicit transfer event and current profile cache reviewed; hold for authoritative release/club evidence.,2026-09-12
SOURCE_ABSENCE,CZE1,FC Banik Ostrau,377,Dennis Owusu,518471,2001-01-05,309076,0,12587038,CONFIRMED,Slezsky FC Opava,479,LOAN,2026-09-08,2027-06-30,2027-06-30,377,2027-12-31,6575327,,VERIFIED_PRIOR_TM_BRIDGE,EXPLICIT_TRANSFER_EVENT+CURRENT_PROFILE,https://www.transfermarkt.de/chance-liga/transfers/wettbewerb/TS1/saison_id/2026 | https://www.transfermarkt.de/dennis-owusu/profil/spieler/518471,4eb600e7a8e262f0b3e2e95a268a14ae8f515e096d539a31c9981af247ff5f63 | e4838e42e111c6875ce29bc0c4b3931d3148ed4295cb5e8a908c897dedea399c,CONFIRMED,0.99,2,,EVENT_CACHED_BYTES_MATCH;PROFILE_CACHED_BYTES_MATCH,,Current profile agrees with explicit departure; loan_end uses destination profile contract_until when present.,2026-09-12
SOURCE_ABSENCE,CZE1,FC Slovan Liberec,697,Afolabi Soliu,1200278,2005-08-08,11258,0,790540,CONFIRMED,FC Zbrojovka Brünn,5225,LOAN,2026-09-08,2027-06-30,2027-06-30,697,2029-06-30,6575989,,VERIFIED_PRIOR_TM_BRIDGE,EXPLICIT_TRANSFER_EVENT+CURRENT_PROFILE,https://www.transfermarkt.de/chance-liga/transfers/wettbewerb/TS1/saison_id/2026 | https://www.transfermarkt.de/afolabi-soliu/profil/spieler/1200278,4eb600e7a8e262f0b3e2e95a268a14ae8f515e096d539a31c9981af247ff5f63 | fe270cfeb1c89dff9e643a9efe470ee566682fe8025d4e83f2adc9094a61ce94,CONFIRMED,0.99,2,,EVENT_CACHED_BYTES_MATCH;PROFILE_CACHED_BYTES_MATCH,,Current profile agrees with explicit departure; loan_end uses destination profile contract_until when present.,2026-09-12
SOURCE_ABSENCE,CZE1,FC Zbrojovka Brünn,5225,Martin Gjorgievski,898137,2005-02-28,11853,0,786447,CONFIRMED,MFK Dukla Banska Bystrica,20758,LOAN,2026-09-11,2026-12-31,2026-12-31,5225,,6583395,,VERIFIED_PRIOR_TM_BRIDGE,EXPLICIT_TRANSFER_EVENT+CURRENT_PROFILE,https://www.transfermarkt.de/chance-liga/transfers/wettbewerb/TS1/saison_id/2026 | https://www.transfermarkt.de/martin-gjorgievski/profil/spieler/898137,4eb600e7a8e262f0b3e2e95a268a14ae8f515e096d539a31c9981af247ff5f63 | 80ead02db7b08e731fcfa9337150892749c1c71bc46c06fa04f3bf70301c878b,CONFIRMED,0.99,2,,EVENT_CACHED_BYTES_MATCH;PROFILE_CACHED_BYTES_MATCH,,Current profile agrees with explicit departure; loan_end uses destination profile contract_until when present.,2026-09-12
SOURCE_ABSENCE,CZE1,SK Artis Brünn,24325,Daniel Samek,671542,2004-02-19,,,,CONFIRMED,SK Kladen,6380,LOAN,2026-09-08,2027-06-30,2027-06-30,24325,2028-06-30,6575743,,VERIFIED_PRIOR_TM_BRIDGE,EXPLICIT_TRANSFER_EVENT+CURRENT_PROFILE,https://www.transfermarkt.de/chance-liga/transfers/wettbewerb/TS1/saison_id/2026 | https://www.transfermarkt.de/daniel-samek/profil/spieler/671542,4eb600e7a8e262f0b3e2e95a268a14ae8f515e096d539a31c9981af247ff5f63 | 28d535430884b7954d2792ee36dbd33ff792927865973e020d273a98b8a602a8,CONFIRMED,0.99,2,,EVENT_CACHED_BYTES_MATCH;PROFILE_CACHED_BYTES_MATCH,,Current profile agrees with explicit departure; loan_end uses destination profile contract_until when present.,2026-09-12
SOURCE_ABSENCE,CZE1,SK Sigma Olmütz,2311,Matej Mikulenka,751681,2004-02-05,,,,CONFIRMED,FC Slovan Liberec,697,PERMANENT,2026-09-08,,2031-06-30,,,6576719,,VERIFIED_PRIOR_TM_BRIDGE,EXPLICIT_TRANSFER_EVENT+CURRENT_PROFILE,https://www.transfermarkt.de/chance-liga/transfers/wettbewerb/TS1/saison_id/2026 | https://www.transfermarkt.de/matej-mikulenka/profil/spieler/751681,4eb600e7a8e262f0b3e2e95a268a14ae8f515e096d539a31c9981af247ff5f63 | e1e1f431a328521040ee307d97b826e844f9708e9392b9dda9b277019bfcecb0,CONFIRMED,0.99,2,,EVENT_CACHED_BYTES_MATCH;PROFILE_CACHED_BYTES_MATCH,,Current profile agrees with explicit departure; loan_end uses destination profile contract_until when present.,2026-09-12
SOURCE_ABSENCE,CZE1,SK Slavia Prag,62,Youssoupha Sanyang,1238634,2005-08-31,308277,0,12521482,CONFIRMED,SK Artis Brünn,24325,LOAN,2026-09-08,2027-06-30,2027-06-30,62,2030-06-30,6576401,,VERIFIED_PRIOR_TM_BRIDGE,EXPLICIT_TRANSFER_EVENT+CURRENT_PROFILE,https://www.transfermarkt.de/chance-liga/transfers/wettbewerb/TS1/saison_id/2026 | https://www.transfermarkt.de/youssoupha-sanyang/profil/spieler/1238634,4eb600e7a8e262f0b3e2e95a268a14ae8f515e096d539a31c9981af247ff5f63 | 56607b29e8b1a55316020c2917a88f14c25af1aa8ac15bcbb10ce75b02b75682,CONFIRMED,0.99,2,,EVENT_CACHED_BYTES_MATCH;PROFILE_CACHED_BYTES_MATCH,,Current profile agrees with explicit departure; loan_end uses destination profile contract_until when present.,2026-09-12
SOURCE_ABSENCE,ENG1,Hull City,3008,David Akintola,353775,1996-01-13,278975,0,1118289,CONFIRMED,Omonia Nikosia,829,PERMANENT,,,,,,6579119,,VERIFIED_PRIOR_TM_BRIDGE,EXPLICIT_TRANSFER_EVENT,https://www.transfermarkt.de/premier-league/transfers/wettbewerb/GB1/saison_id/2026,dea85796083e3a3c441b9d8a4a6bb63799d6b5db6581c82fc0743e65e1042ee3,CONFIRMED,0.95,2,DIRECT_PROFILE_URL:403_FORBIDDEN,EVENT_CACHED_BYTES_MATCH,,"Explicit departure event is authoritative; targeted current profile request returned 403, so destination date/owner fields remain blank.",2026-09-12
SOURCE_ABSENCE,FRA1,AJ Auxerre,290,Francisco Sierralta,371436,1997-05-06,303741,0,6434867,CONFIRMED,Piast Gliwice,6112,LOAN,2026-09-09,2027-06-30,2027-06-30,290,2029-06-30,6578150,,VERIFIED_PRIOR_TM_BRIDGE,EXPLICIT_TRANSFER_EVENT+CURRENT_PROFILE,https://www.transfermarkt.de/ligue-1/transfers/wettbewerb/FR1/saison_id/2026 | https://www.transfermarkt.de/francisco-sierralta/profil/spieler/371436,d0bdedb0ffa3ae6d9bd09c12fb5a85d4118138f6388ab0440cf2ba38e857b62b | 1561ac014322aea31d8b93f984cb86c8d1f2f53a8efaef8cbc0020e3d0ba4eff,CONFIRMED,0.99,2,,EVENT_CACHED_BYTES_MATCH;PROFILE_CACHED_BYTES_MATCH,,Current profile agrees with explicit departure; loan_end uses destination profile contract_until when present.,2026-09-12
SOURCE_ABSENCE,FRA1,AJ Auxerre,290,Josué Casimir,763182,2001-09-24,303737,0,6434867,CONFIRMED,Dinamo Moskau,121,LOAN,2026-09-10,2027-06-30,2027-06-30,290,2028-06-30,6581166,,VERIFIED_PRIOR_TM_BRIDGE,EXPLICIT_TRANSFER_EVENT+CURRENT_PROFILE,https://www.transfermarkt.de/ligue-1/transfers/wettbewerb/FR1/saison_id/2026 | https://www.transfermarkt.de/josue-casimir/profil/spieler/763182,d0bdedb0ffa3ae6d9bd09c12fb5a85d4118138f6388ab0440cf2ba38e857b62b | 1e233e11251c55a1e5360f02486aa46a827b821759cdf9cea9196301af3b1047,CONFIRMED,0.99,2,,EVENT_CACHED_BYTES_MATCH;PROFILE_CACHED_BYTES_MATCH,,Current profile agrees with explicit departure; loan_end uses destination profile contract_until when present.,2026-09-12
SOURCE_ABSENCE,GER1,FC Augsburg,167,Kristijan Jakic,374954,1997-05-14,291902,0,1769513,CONFIRMED,PAOK Thessaloniki,1091,LOAN,,,,,,6577717,,VERIFIED_PRIOR_TM_BRIDGE,EXPLICIT_TRANSFER_EVENT,https://www.transfermarkt.de/bundesliga/transfers/wettbewerb/L1/saison_id/2026,c08e4b3a81f4ba445c4d8343c0dd6f9cfb1b5e5f12689978c0e5485f5030360a,CONFIRMED,0.95,2,DIRECT_PROFILE_URL:403_FORBIDDEN,EVENT_CACHED_BYTES_MATCH,,"Explicit departure event is authoritative; targeted current profile request returned 403, so destination date/owner fields remain blank.",2026-09-12
SOURCE_ABSENCE,GER1,RB Leipzig,23826,Suleman Sani,1235583,2006-09-01,184663,0,2949599,CONFIRMED,Al-Qadsiah FC,26069,PERMANENT,,,,,,6576555,,VERIFIED_PRIOR_TM_BRIDGE,EXPLICIT_TRANSFER_EVENT,https://www.transfermarkt.de/bundesliga/transfers/wettbewerb/L1/saison_id/2026,c08e4b3a81f4ba445c4d8343c0dd6f9cfb1b5e5f12689978c0e5485f5030360a,CONFIRMED,0.95,2,DIRECT_PROFILE_URL:403_FORBIDDEN,EVENT_CACHED_BYTES_MATCH,,"Explicit departure event is authoritative; targeted current profile request returned 403, so destination date/owner fields remain blank.",2026-09-12
SOURCE_ABSENCE,GER2,VfL Wolfsburg,82,Moritz Jenz,460245,1999-04-30,,,,CONFIRMED,BSC Young Boys,452,PERMANENT,,,,,,6575641,,VERIFIED_PRIOR_TM_BRIDGE,EXPLICIT_TRANSFER_EVENT,https://www.transfermarkt.de/2-bundesliga/transfers/wettbewerb/L2/saison_id/2026,8357bb69c9755552ffad93325dd5d33bb6454a33e2c694a86ffd0059b934029a,CONFIRMED,0.95,2,DIRECT_PROFILE_URL:403_FORBIDDEN,EVENT_CACHED_BYTES_MATCH,,"Explicit departure event is authoritative; targeted current profile request returned 403, so destination date/owner fields remain blank.",2026-09-12
SOURCE_ABSENCE,ITA1,Venezia FC,607,Saad El Haddad,936684,2005-07-24,306008,0,10559542,CONFIRMED,NK Rudes,11083,LOAN,2026-09-07,2026-12-31,2026-12-31,607,2027-06-30,6576150,,VERIFIED_PRIOR_TM_BRIDGE,EXPLICIT_TRANSFER_EVENT+CURRENT_PROFILE,https://www.transfermarkt.de/serie-a/transfers/wettbewerb/IT1/saison_id/2026 | https://www.transfermarkt.de/saad-el-haddad/profil/spieler/936684,64d949311be0dad09b95e57c83f70b538dd5848993bcd3dae3a084b20792d8c0 | f12b0e943f8c2e9cebf9524d50754cd10e4a5235ce7b0935d65a98e51d31c703,CONFIRMED,0.99,2,,EVENT_CACHED_BYTES_MATCH;PROFILE_CACHED_BYTES_MATCH,,Current profile agrees with explicit departure; loan_end uses destination profile contract_until when present.,2026-09-12
