league,season,snapshot_date,club_name,external_club_id,player_name,external_player_id,dob,shirt_number,team_type,joined,contract_until,loan_owner_external_club_id,loan_end,status,source_url,source_sha256,fm_id,fifa_id,native_club_id
ENG1,2026/27,2026-09-12,Arsenal,11,David Raya,262749,1995-09-15,1,FIRST,2024-07-04,2028-06-30,,,CONFIRMED,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,257407,220901,917505
ENG1,2026/27,2026-09-12,Arsenal,11,Illan Meslier,542586,2000-03-02,30,FIRST,2026-07-09,2028-06-30,,,CONFIRMED,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,23838,242656,917505
ENG1,2026/27,2026-09-12,Arsenal,11,Kepa Arrizabalaga,192279,1994-10-03,13,FIRST,2025-07-01,2028-06-30,,,CONFIRMED,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,257420,206585,917505
ENG1,2026/27,2026-09-12,Arsenal,11,William Saliba,495666,2001-03-24,2,FIRST,2019-07-25,2030-06-30,,,CONFIRMED,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,257402,243715,917505
ENG1,2026/27,2026-09-12,Arsenal,11,Gabriel,435338,1997-12-19,6,FIRST,2020-09-01,2029-06-30,,,CONFIRMED,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,257404,232580,917505
ENG1,2026/27,2026-09-12,Arsenal,11,Ezri Konsa,413403,1997-10-23,15,FIRST,2026-08-21,,,,CONFIRMED,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,261104,227678,917505
ENG1,2026/27,2026-09-12,Arsenal,11,Cristhian Mosquera,646750,2004-06-27,3,FIRST,2025-07-24,2030-06-30,,,CONFIRMED,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,257421,264846,917505
ENG1,2026/27,2026-09-12,Arsenal,11,Riccardo Calafiori,502821,2002-05-19,33,FIRST,2024-07-29,2029-06-30,,,CONFIRMED,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,257416,257711,917505
ENG1,2026/27,2026-09-12,Arsenal,11,Jurriën Timber,420243,2001-06-17,12,FIRST,2023-07-14,2028-06-30,,,CONFIRMED,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,257414,251805,917505
ENG1,2026/27,2026-09-12,Arsenal,11,Ben White,335721,1997-10-08,4,FIRST,2021-07-30,2028-06-30,,,CONFIRMED,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,257412,231936,917505
ENG1,2026/27,2026-09-12,Arsenal,11,Martín Zubimendi,423440,1999-02-02,36,FIRST,2025-07-06,2030-06-30,,,CONFIRMED,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,257408,248148,917505
ENG1,2026/27,2026-09-12,Arsenal,11,Myles Lewis-Skelly,890721,2006-09-26,49,FIRST,2024-07-01,2030-06-30,,,CONFIRMED,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,257419,278773,917505
ENG1,2026/27,2026-09-12,Arsenal,11,Declan Rice,357662,1999-01-14,41,FIRST,2023-07-15,2028-06-30,,,CONFIRMED,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,257400,234378,917505
ENG1,2026/27,2026-09-12,Arsenal,11,Bruno Guimarães,520624,1997-11-16,39,FIRST,2026-08-08,2030-06-30,,,CONFIRMED,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,23389,247851,917505
ENG1,2026/27,2026-09-12,Arsenal,11,Mikel Merino,338424,1996-06-22,23,FIRST,2024-08-27,2028-06-30,,,CONFIRMED,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,257417,225193,917505
ENG1,2026/27,2026-09-12,Arsenal,11,Martin Ødegaard,316264,1998-12-17,8,FIRST,2021-08-20,2028-06-30,,,CONFIRMED,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,257403,222665,917505
ENG1,2026/27,2026-09-12,Arsenal,11,Eberechi Eze,479999,1998-06-29,10,FIRST,2025-08-23,2029-06-30,,,CONFIRMED,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,257413,235794,917505
ENG1,2026/27,2026-09-12,Arsenal,11,Christos Tzolis,451677,2002-01-30,17,FIRST,2026-07-23,2031-06-30,,,CONFIRMED,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,235048,256948,917505
ENG1,2026/27,2026-09-12,Arsenal,11,Bukayo Saka,433177,2001-09-05,7,FIRST,2019-07-01,2030-06-30,,,CONFIRMED,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,257401,246669,917505
ENG1,2026/27,2026-09-12,Arsenal,11,Noni Madueke,503987,2002-03-10,20,FIRST,2025-07-18,2030-06-30,,,CONFIRMED,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,257415,254796,917505
ENG1,2026/27,2026-09-12,Arsenal,11,Viktor Gyökeres,325443,1998-06-04,14,FIRST,2025-07-26,2030-06-30,,,CONFIRMED,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,257405,241651,917505
ENG1,2026/27,2026-09-12,Arsenal,11,Kai Havertz,309400,1999-06-11,29,FIRST,2023-07-01,2028-06-30,,,CONFIRMED,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,257406,235790,917505
