league,club_name,club_tm_id,player_tm_id,player,dob,club_id,status,decision,profile_source,profile_sha256,source_url,source_sha256,exact_candidates,duplicate_leads,fuzzy_candidates,known_aliases_searched,review_reason,provenance
ENG1,Brentford,1148,1111589,El Hadji Malick Diouf,2004-12-29,917569,,REVIEW_REQUIRED,https://www.transfermarkt.de/el-hadji-malick-diouf/profil/spieler/1111589,9c63d470682a9dd144597c39ed41db0ab7a3f0b8d98f97f4f29dfef11561d505,https://www.transfermarkt.de/fc-brentford/kader/verein/1148/saison_id/2026/plus/1,98977ec56621e787ba2b89973d53a14e8f3ee796ba25d92646304551ba9c96fa,[],"{""people"": [{""fm_id"": ""263490"", ""fifa_id"": ""274915"", ""name"": ""El Hadji Malick Diouf"", ""dob"": ""2004-12-28"", ""club_id"": ""917511""}], ""reasons"": {""263490"": [""EXACT_NAME_NEARBY_DIFFERENT_DOB""]}}",[],"[""El Hadji Malick Diouf""]",existing/fuzzy candidate retained for Sol review,Profile https://www.transfermarkt.de/el-hadji-malick-diouf/profil/spieler/1111589 sha256=9c63d470682a9dd144597c39ed41db0ab7a3f0b8d98f97f4f29dfef11561d505; squad https://www.transfermarkt.de/fc-brentford/kader/verein/1148/saison_id/2026/plus/1 sha256=98977ec56621e787ba2b89973d53a14e8f3ee796ba25d92646304551ba9c96fa; DuplicateReviewIndex over data/generated/native08-integrated-20260912-01-reread/native_players.csv
ENG1,Tottenham Hotspur,148,743591,Sávio,2004-04-10,917514,,REVIEW_REQUIRED,https://www.transfermarkt.de/savio/profil/spieler/743591,efce9b5b35758644863dc27c8e75967b9e35d6ba11d373ef21b0011511fd650b,https://www.transfermarkt.de/tottenham-hotspur/kader/verein/148/saison_id/2026/plus/1,007fc11048dc50b4cfd2c580b82958bb7cc02f984af0af71c4079e53b5c71390,[],"{""people"": [], ""reasons"": {}}","[{""score"": 0.8333, ""fm_id"": ""262604"", ""fifa_id"": ""270409"", ""name"": ""Savinho"", ""dob"": ""2004-04-10"", ""club_id"": ""917518""}]","[""Sávio""]",existing/fuzzy candidate retained for Sol review,Profile https://www.transfermarkt.de/savio/profil/spieler/743591 sha256=efce9b5b35758644863dc27c8e75967b9e35d6ba11d373ef21b0011511fd650b; squad https://www.transfermarkt.de/tottenham-hotspur/kader/verein/148/saison_id/2026/plus/1 sha256=007fc11048dc50b4cfd2c580b82958bb7cc02f984af0af71c4079e53b5c71390; DuplicateReviewIndex over data/generated/native08-integrated-20260912-01-reread/native_players.csv
ENG1,Sunderland,289,1401779,Jules Ahoka,2006-05-08,917524,,CREATE_READY,https://www.transfermarkt.de/jules-ahoka/profil/spieler/1401779,b2b6cd17dc04cc0b0da7649afebd8c2a337412efdeaa550bcdeacf18320e1c01,https://www.transfermarkt.de/afc-sunderland/kader/verein/289/saison_id/2026/plus/1,bd74ae0019b88eeaf201f5b09382a2f264e6feab18e637371f9e43576b711509,[],"{""people"": [], ""reasons"": {}}",[],"[""Jules Ahoka""]","adult profile with zero exact, DuplicateReviewIndex, and fuzzy candidates",Profile https://www.transfermarkt.de/jules-ahoka/profil/spieler/1401779 sha256=b2b6cd17dc04cc0b0da7649afebd8c2a337412efdeaa550bcdeacf18320e1c01; squad https://www.transfermarkt.de/afc-sunderland/kader/verein/289/saison_id/2026/plus/1 sha256=bd74ae0019b88eeaf201f5b09382a2f264e6feab18e637371f9e43576b711509; DuplicateReviewIndex over data/generated/native08-integrated-20260912-01-reread/native_players.csv
ENG1,Hull City,3008,1279984,Lucas Herrington,2007-09-05,917532,,CREATE_READY,https://www.transfermarkt.de/lucas-herrington/profil/spieler/1279984,8941c70c68a16e7d3fd8b6cc1bf798805056b3570b2a3246a35526f1de685078,https://www.transfermarkt.de/hull-city/kader/verein/3008/saison_id/2026/plus/1,95d27e3b77eef2306101f2b6eab92a02d56308a31e0d34299be2fa82dcf331db,[],"{""people"": [], ""reasons"": {}}",[],"[""Lucas Herrington""]","adult profile with zero exact, DuplicateReviewIndex, and fuzzy candidates",Profile https://www.transfermarkt.de/lucas-herrington/profil/spieler/1279984 sha256=8941c70c68a16e7d3fd8b6cc1bf798805056b3570b2a3246a35526f1de685078; squad https://www.transfermarkt.de/hull-city/kader/verein/3008/saison_id/2026/plus/1 sha256=95d27e3b77eef2306101f2b6eab92a02d56308a31e0d34299be2fa82dcf331db; DuplicateReviewIndex over data/generated/native08-integrated-20260912-01-reread/native_players.csv
ENG1,Hull City,3008,250478,Matthew Robert Targett,1995-09-18,917532,,REVIEW_REQUIRED,https://www.transfermarkt.de/matt-targett/profil/spieler/250478,dfec9a542f3c6f5c1e0e9b111ee03191951e3c1feb4b998dd8d53d89b51748c6,https://www.transfermarkt.de/hull-city/kader/verein/3008/saison_id/2026/plus/1,95d27e3b77eef2306101f2b6eab92a02d56308a31e0d34299be2fa82dcf331db,[],"{""people"": [{""fm_id"": ""266490"", ""fifa_id"": ""218659"", ""name"": ""Matthew Targett"", ""dob"": ""1995-09-18"", ""club_id"": ""917522""}], ""reasons"": {""266490"": [""SAME_DOB_NATIVE_NAME_COMPONENTS_IN_VERIFIED_FULL_NAME""]}}","[{""score"": 0.8235, ""fm_id"": ""266490"", ""fifa_id"": ""218659"", ""name"": ""Matthew Targett"", ""dob"": ""1995-09-18"", ""club_id"": ""917522""}]","[""Matt Targett"", ""Matthew Robert Targett""]",existing/fuzzy candidate retained for Sol review,Profile https://www.transfermarkt.de/matt-targett/profil/spieler/250478 sha256=dfec9a542f3c6f5c1e0e9b111ee03191951e3c1feb4b998dd8d53d89b51748c6; squad https://www.transfermarkt.de/hull-city/kader/verein/3008/saison_id/2026/plus/1 sha256=95d27e3b77eef2306101f2b6eab92a02d56308a31e0d34299be2fa82dcf331db; DuplicateReviewIndex over data/generated/native08-integrated-20260912-01-reread/native_players.csv
ENG1,Aston Villa,405,1005583,Alysson,2006-05-05,917506,,REVIEW_REQUIRED,https://www.transfermarkt.de/alysson/profil/spieler/1005583,d809c0538efd713944aaac26cdc6e6095b0b0b835971b1ef4dfa8a5d084a5b59,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d,[],"{""people"": [], ""reasons"": {}}","[{""score"": 0.7, ""fm_id"": ""222419"", ""fifa_id"": ""0"", ""name"": ""Alysson Edward"", ""dob"": ""2006-05-05"", ""club_id"": ""917506""}]","[""Alysson"", ""Alysson Edward Franco da Rocha""]",existing/fuzzy candidate retained for Sol review,Profile https://www.transfermarkt.de/alysson/profil/spieler/1005583 sha256=d809c0538efd713944aaac26cdc6e6095b0b0b835971b1ef4dfa8a5d084a5b59; squad https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1 sha256=66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d; DuplicateReviewIndex over data/generated/native08-integrated-20260912-01-reread/native_players.csv
ENG1,Chelsea,631,656316,Gabriel Paweł Słonina,2004-05-15,917513,,REVIEW_REQUIRED,https://www.transfermarkt.de/gabriel-slonina/profil/spieler/656316,db49471eb9075a81bd03ed4b9654a7a93e5554a28736776b08a3dcdd34d48e99,https://www.transfermarkt.de/fc-chelsea/kader/verein/631/saison_id/2026/plus/1,654f4cd4c0ce8c73da8a919c8a23c05e00fc473650df3999c3441d42c128ae64,[],"{""people"": [{""fm_id"": ""23327"", ""fifa_id"": ""248158"", ""name"": ""Gabriel Słonina"", ""dob"": ""2004-04-15"", ""club_id"": ""917513""}], ""reasons"": {""23327"": [""EXACT_NAME_DIFFERENT_DOB_SAME_CLUB""]}}",[],"[""Gabriel Slonina"", ""Gabriel Paweł Słonina""]",existing/fuzzy candidate retained for Sol review,Profile https://www.transfermarkt.de/gabriel-slonina/profil/spieler/656316 sha256=db49471eb9075a81bd03ed4b9654a7a93e5554a28736776b08a3dcdd34d48e99; squad https://www.transfermarkt.de/fc-chelsea/kader/verein/631/saison_id/2026/plus/1 sha256=654f4cd4c0ce8c73da8a919c8a23c05e00fc473650df3999c3441d42c128ae64; DuplicateReviewIndex over data/generated/native08-integrated-20260912-01-reread/native_players.csv
GER1,SC Paderborn 07,127,685484,Luka Đurić,2003-06-18,1376421,,REVIEW_REQUIRED,https://www.transfermarkt.de/luka-duric/profil/spieler/685484,8530cfe7b20a57cec08465ad37d5cccede1223a612268d4e2cf2441627884f7c,https://www.transfermarkt.de/sc-paderborn-07/kader/verein/127/saison_id/2026/plus/1,2bc1c2dc6af19cdfe4c15f929f45c9c1b3aeb6d1349fe49c0cbceca9a06d7cde,"[{""fm_id"": ""280200"", ""fifa_id"": ""0"", ""name"": ""Luka Djuric"", ""dob"": ""2003-06-18"", ""club_id"": ""1376421""}]","{""people"": [], ""reasons"": {}}","[{""score"": 0.8889, ""fm_id"": ""280200"", ""fifa_id"": ""0"", ""name"": ""Luka Djuric"", ""dob"": ""2003-06-18"", ""club_id"": ""1376421""}]","[""Luka Duric"", ""Luka Đurić"", ""Luka Djuric""]",existing/fuzzy candidate retained for Sol review,Profile https://www.transfermarkt.de/luka-duric/profil/spieler/685484 sha256=8530cfe7b20a57cec08465ad37d5cccede1223a612268d4e2cf2441627884f7c; squad https://www.transfermarkt.de/sc-paderborn-07/kader/verein/127/saison_id/2026/plus/1 sha256=2bc1c2dc6af19cdfe4c15f929f45c9c1b3aeb6d1349fe49c0cbceca9a06d7cde; DuplicateReviewIndex over data/generated/native08-integrated-20260912-01-reread/native_players.csv
GER1,Bayer 04 Leverkusen,15,1392804,Ndjicoura Raymond Bomba,2008-03-12,1376261,,CREATE_READY,https://www.transfermarkt.de/ndjicoura-bomba/profil/spieler/1392804,7986f30815efe1b103aaa5b7338f4d761e3582e312885e5ec8d594101273f36d,https://www.transfermarkt.de/bayer-04-leverkusen/kader/verein/15/saison_id/2026/plus/1,355a935f7561800deae1a58eea59105fd8753e003beced3cff71c0acbf734e7f,[],"{""people"": [], ""reasons"": {}}",[],"[""Ndjicoura Bomba"", ""Ndjicoura Raymond Bomba""]","adult profile with zero exact, DuplicateReviewIndex, and fuzzy candidates",Profile https://www.transfermarkt.de/ndjicoura-bomba/profil/spieler/1392804 sha256=7986f30815efe1b103aaa5b7338f4d761e3582e312885e5ec8d594101273f36d; squad https://www.transfermarkt.de/bayer-04-leverkusen/kader/verein/15/saison_id/2026/plus/1 sha256=355a935f7561800deae1a58eea59105fd8753e003beced3cff71c0acbf734e7f; DuplicateReviewIndex over data/generated/native08-integrated-20260912-01-reread/native_players.csv
GER1,Borussia Dortmund,16,1311594,Enzo de Pina Duarte dos Santos,2009-01-28,1376262,,REVIEW_REQUIRED,https://www.transfermarkt.de/enzo-dos-santos/profil/spieler/1311594,bbd16d389fff9260738dfefd17b5e9174c1a35f29f982370caaea63834672fb5,https://www.transfermarkt.de/borussia-dortmund/kader/verein/16/saison_id/2026/plus/1,927453550675aa19e2e1770ec753efb040ae08d849fa3f9549ef9d993044efb7,[],"{""people"": [{""fm_id"": ""277448"", ""fifa_id"": ""0"", ""name"": ""Enzo Duarte"", ""dob"": ""2009-01-28"", ""club_id"": ""1376262""}], ""reasons"": {""277448"": [""SAME_DOB_NATIVE_NAME_COMPONENTS_IN_VERIFIED_FULL_NAME""]}}",[],"[""Enzo dos Santos"", ""Enzo de Pina Duarte dos Santos""]",existing/fuzzy candidate retained for Sol review,Profile https://www.transfermarkt.de/enzo-dos-santos/profil/spieler/1311594 sha256=bbd16d389fff9260738dfefd17b5e9174c1a35f29f982370caaea63834672fb5; squad https://www.transfermarkt.de/borussia-dortmund/kader/verein/16/saison_id/2026/plus/1 sha256=927453550675aa19e2e1770ec753efb040ae08d849fa3f9549ef9d993044efb7; DuplicateReviewIndex over data/generated/native08-integrated-20260912-01-reread/native_players.csv
