league,club_name,club_tm_id,player_tm_id,player,dob,nationality,native_country_id,position,club_id,contract_joined,contract_until,shirt_number,fifa_id,id_strategy,source_urls,source_hashes,confidence,zero_duplicate_proof,eligibility
ENG1,Sunderland,289,1401779,Jules Ahoka,2006-05-08,DR Kongo,,Mittelfeld - Defensives Mittelfeld,917524,2026-08-24,2031-06-30,29,0,NATIVE_FIFA0_CREATE_AFTER_SOL_REVIEW,"[""https://www.transfermarkt.de/jules-ahoka/profil/spieler/1401779"", ""https://www.transfermarkt.de/afc-sunderland/kader/verein/289/saison_id/2026/plus/1""]","[""b2b6cd17dc04cc0b0da7649afebd8c2a337412efdeaa550bcdeacf18320e1c01"", ""bd74ae0019b88eeaf201f5b09382a2f264e6feab18e637371f9e43576b711509""]",HIGH,"{""native_corpus"":""data/generated/native08-integrated-20260912-01-reread/native_players.csv"",""native_rows_searched"":266764,""exact_dob_name_candidates"":0,""duplicate_review_index_leads"":0,""fuzzy_threshold"":0.6,""fuzzy_candidates"":0,""names_searched"":[""Jules Ahoka""],""result"":""ZERO_DUPLICATE_CANDIDATES""}",ADULT_SCOPED_SQUAD_ZERO_DUPLICATE
ENG1,Hull City,3008,1279984,Lucas Herrington,2007-09-05,Australien Deutschland,,Abwehr - Innenverteidiger,917532,2026-08-12,2031-06-30,22,0,NATIVE_FIFA0_CREATE_AFTER_SOL_REVIEW,"[""https://www.transfermarkt.de/lucas-herrington/profil/spieler/1279984"", ""https://www.transfermarkt.de/hull-city/kader/verein/3008/saison_id/2026/plus/1""]","[""8941c70c68a16e7d3fd8b6cc1bf798805056b3570b2a3246a35526f1de685078"", ""95d27e3b77eef2306101f2b6eab92a02d56308a31e0d34299be2fa82dcf331db""]",HIGH,"{""native_corpus"":""data/generated/native08-integrated-20260912-01-reread/native_players.csv"",""native_rows_searched"":266764,""exact_dob_name_candidates"":0,""duplicate_review_index_leads"":0,""fuzzy_threshold"":0.6,""fuzzy_candidates"":0,""names_searched"":[""Lucas Herrington""],""result"":""ZERO_DUPLICATE_CANDIDATES""}",ADULT_SCOPED_SQUAD_ZERO_DUPLICATE
GER1,Bayer 04 Leverkusen,15,1392804,Ndjicoura Raymond Bomba,2008-03-12,Mali,,Sturm - Mittelstürmer,1376261,2026-07-01,2030-06-30,,0,NATIVE_FIFA0_CREATE_AFTER_SOL_REVIEW,"[""https://www.transfermarkt.de/ndjicoura-bomba/profil/spieler/1392804"", ""https://www.transfermarkt.de/bayer-04-leverkusen/kader/verein/15/saison_id/2026/plus/1""]","[""7986f30815efe1b103aaa5b7338f4d761e3582e312885e5ec8d594101273f36d"", ""355a935f7561800deae1a58eea59105fd8753e003beced3cff71c0acbf734e7f""]",HIGH,"{""native_corpus"":""data/generated/native08-integrated-20260912-01-reread/native_players.csv"",""native_rows_searched"":266764,""exact_dob_name_candidates"":0,""duplicate_review_index_leads"":0,""fuzzy_threshold"":0.6,""fuzzy_candidates"":0,""names_searched"":[""Ndjicoura Bomba"",""Ndjicoura Raymond Bomba""],""result"":""ZERO_DUPLICATE_CANDIDATES""}",ADULT_SCOPED_SQUAD_ZERO_DUPLICATE
GER1,FC Bayern München,27,1497653,Bara Joseph Sapoko Ndiaye,2007-12-31,Senegal,,Mittelfeld - Zentrales Mittelfeld,1376264,2026-08-10,2031-06-30,39,0,NATIVE_FIFA0_CREATE_AFTER_SOL_REVIEW,"[""https://www.transfermarkt.de/bara-sapoko-ndiaye/profil/spieler/1497653"", ""https://www.transfermarkt.de/fc-bayern-munchen/kader/verein/27/saison_id/2026/plus/1""]","[""da274f0260b14acd87b628bb31abfa57393c9076d4857eba63f110c9e0b75a4b"", ""820ba470399c46c372cca08fabf7f49fd2f3e3e097d9ac94e1494b055e7a3df5""]",HIGH,"{""native_corpus"":""data/generated/native08-integrated-20260912-01-reread/native_players.csv"",""native_rows_searched"":266764,""exact_dob_name_candidates"":0,""duplicate_review_index_leads"":0,""fuzzy_threshold"":0.6,""fuzzy_candidates"":0,""names_searched"":[""Bara Sapoko Ndiaye"",""Bara Joseph Sapoko Ndiaye""],""result"":""ZERO_DUPLICATE_CANDIDATES""}",ADULT_SCOPED_SQUAD_ZERO_DUPLICATE
GER2,1. FC Magdeburg,187,1154529,이충현,2007-09-12,Südkorea,,Sturm - Linksaußen,1376373,2026-07-14,2027-06-30,18,0,NATIVE_FIFA0_CREATE_AFTER_SOL_REVIEW,"[""https://www.transfermarkt.de/chung-hyun-lee/profil/spieler/1154529"", ""https://www.transfermarkt.de/1-fc-magdeburg/kader/verein/187/saison_id/2026/plus/1""]","[""accaa2225ffde78813f058a5eb2b8a7c1b43caa1a8da2f88f58fe186513d0f76"", ""d0ff31a4349276164899e3293cd9c2c30e400169104ef2ece40cfdb9b3d70c93""]",HIGH,"{""native_corpus"":""data/generated/native08-integrated-20260912-01-reread/native_players.csv"",""native_rows_searched"":266764,""exact_dob_name_candidates"":0,""duplicate_review_index_leads"":0,""fuzzy_threshold"":0.6,""fuzzy_candidates"":0,""names_searched"":[""Chung-hyun Lee"",""이충현""],""result"":""ZERO_DUPLICATE_CANDIDATES""}",ADULT_SCOPED_SQUAD_ZERO_DUPLICATE
GER2,Holstein Kiel,269,747243,Gyan de Regt,2003-08-18,Niederlande,,Sturm - Linksaußen,1376418,2026-08-19,2030-06-30,11,0,NATIVE_FIFA0_CREATE_AFTER_SOL_REVIEW,"[""https://www.transfermarkt.de/gyan-de-regt/profil/spieler/747243"", ""https://www.transfermarkt.de/holstein-kiel/kader/verein/269/saison_id/2026/plus/1""]","[""91f1001c00d18d82ae563dc905ff8a875c903688316fbc52345147eae39ff836"", ""a21383144033c3b6f3673ba9e2f837be3941ac96cf75125b24654477c6bc1716""]",HIGH,"{""native_corpus"":""data/generated/native08-integrated-20260912-01-reread/native_players.csv"",""native_rows_searched"":266764,""exact_dob_name_candidates"":0,""duplicate_review_index_leads"":0,""fuzzy_threshold"":0.6,""fuzzy_candidates"":0,""names_searched"":[""Gyan de Regt""],""result"":""ZERO_DUPLICATE_CANDIDATES""}",ADULT_SCOPED_SQUAD_ZERO_DUPLICATE
GER3,SG Sonnenhof Großaspach,2589,1294358,Noah Santiago Lorch,2005-12-09,Deutschland,,Mittelfeld - Zentrales Mittelfeld,1376306,2026-07-01,2029-06-30,28,0,NATIVE_FIFA0_CREATE_AFTER_SOL_REVIEW,"[""https://www.transfermarkt.de/noah-santiago-lorch/profil/spieler/1294358"", ""https://www.transfermarkt.de/sg-sonnenhof-grossaspach/kader/verein/2589/saison_id/2026/plus/1""]","[""ae79e66b1af3c631944ba784416a794ced8f144c4d6d64967ef5abf8d577dcf6"", ""ceb6dce8c3f846bc1688d6ba77daaf4b6d34d1ddb8ca555b2498968bf85c6f78""]",HIGH,"{""native_corpus"":""data/generated/native08-integrated-20260912-01-reread/native_players.csv"",""native_rows_searched"":266764,""exact_dob_name_candidates"":0,""duplicate_review_index_leads"":0,""fuzzy_threshold"":0.6,""fuzzy_candidates"":0,""names_searched"":[""Noah Santiago Lorch""],""result"":""ZERO_DUPLICATE_CANDIDATES""}",ADULT_SCOPED_SQUAD_ZERO_DUPLICATE
GER3,SG Sonnenhof Großaspach,2589,528222,Lorenz Ender,2001-01-06,Deutschland,,Sturm - Rechtsaußen,1376306,2023-07-01,2027-06-30,17,0,NATIVE_FIFA0_CREATE_AFTER_SOL_REVIEW,"[""https://www.transfermarkt.de/lorenz-ender/profil/spieler/528222"", ""https://www.transfermarkt.de/sg-sonnenhof-grossaspach/kader/verein/2589/saison_id/2026/plus/1""]","[""819f85a5d1af3bde7298e3f9f736b55c2ce9207c82a31138f06d823082aa5b74"", ""ceb6dce8c3f846bc1688d6ba77daaf4b6d34d1ddb8ca555b2498968bf85c6f78""]",HIGH,"{""native_corpus"":""data/generated/native08-integrated-20260912-01-reread/native_players.csv"",""native_rows_searched"":266764,""exact_dob_name_candidates"":0,""duplicate_review_index_leads"":0,""fuzzy_threshold"":0.6,""fuzzy_candidates"":0,""names_searched"":[""Lorenz Ender""],""result"":""ZERO_DUPLICATE_CANDIDATES""}",ADULT_SCOPED_SQUAD_ZERO_DUPLICATE
GER3,TSV Havelse 1912,476,1093438,Temilola Samuel Awoyale,2005-07-23,Nigeria Deutschland,,Mittelfeld - Zentrales Mittelfeld,1376539,2026-02-02,2027-06-30,36,0,NATIVE_FIFA0_CREATE_AFTER_SOL_REVIEW,"[""https://www.transfermarkt.de/temilola-awoyale/profil/spieler/1093438"", ""https://www.transfermarkt.de/tsv-havelse/kader/verein/476/saison_id/2026/plus/1""]","[""36947d526e8e218f63ab1e90da216bf0a48e67485c6108f2d3dea7fb516f6838"", ""b4490298444b6e31458c6e927b4ab3fff5378977e083c471be7a43b9938c0f59""]",HIGH,"{""native_corpus"":""data/generated/native08-integrated-20260912-01-reread/native_players.csv"",""native_rows_searched"":266764,""exact_dob_name_candidates"":0,""duplicate_review_index_leads"":0,""fuzzy_threshold"":0.6,""fuzzy_candidates"":0,""names_searched"":[""Temilola Awoyale"",""Temilola Samuel Awoyale""],""result"":""ZERO_DUPLICATE_CANDIDATES""}",ADULT_SCOPED_SQUAD_ZERO_DUPLICATE
GER3,TSV Havelse 1912,476,1490222,Joel Darko Ampem,2007-03-08,Ghana,,Mittelfeld - Zentrales Mittelfeld,1376539,2026-07-01,2028-06-30,35,0,NATIVE_FIFA0_CREATE_AFTER_SOL_REVIEW,"[""https://www.transfermarkt.de/joel-darko-ampem/profil/spieler/1490222"", ""https://www.transfermarkt.de/tsv-havelse/kader/verein/476/saison_id/2026/plus/1""]","[""b09acc457bf46fc8ad77cc31ea25456df385997c19b446d02e1f8eefd4edd717"", ""b4490298444b6e31458c6e927b4ab3fff5378977e083c471be7a43b9938c0f59""]",HIGH,"{""native_corpus"":""data/generated/native08-integrated-20260912-01-reread/native_players.csv"",""native_rows_searched"":266764,""exact_dob_name_candidates"":0,""duplicate_review_index_leads"":0,""fuzzy_threshold"":0.6,""fuzzy_candidates"":0,""names_searched"":[""Joel Darko Ampem""],""result"":""ZERO_DUPLICATE_CANDIDATES""}",ADULT_SCOPED_SQUAD_ZERO_DUPLICATE
