league,club_name,external_club_id,player_name,external_player_id,fm_id,fifa_id,native_club_id,loan_owner_external_club_id,loan_owner_native_club_id,source_joined,projected_begin,loan_end,preservation_status,source_url,source_sha256
ENG1,Aston Villa,405,Aaron Wan-Bissaka,477758,263483,229880,917506,379,917511,2026-08-21,2026-07-01,2027-06-30,PRESERVE_NATIVE08_PROJECTED_BEGIN,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d
ENG1,Aston Villa,405,Alejandro Garnacho,811779,23306,268438,917506,631,917513,2026-07-23,2026-07-01,2027-06-30,PRESERVE_NATIVE08_PROJECTED_BEGIN,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d
ENG1,AFC Bournemouth,989,Michele Di Gregorio,301238,278349,235840,917553,506,1769482,2026-08-25,2026-07-01,2027-06-30,PRESERVE_NATIVE08_PROJECTED_BEGIN,https://www.transfermarkt.de/afc-bournemouth/kader/verein/989/saison_id/2026/plus/1,147ac73d9a94a634b365ebf6ee82ee4655d46b0d4aa0cba07b481ccc27a62359
ENG1,Brighton & Hove Albion,1237,Promise David,888785,234972,73070,917529,3948,458780,2026-08-18,2026-07-01,2027-06-30,PRESERVE_NATIVE08_PROJECTED_BEGIN,https://www.transfermarkt.de/brighton-hove-albion/kader/verein/1237/saison_id/2026/plus/1,f2cf90d26295bb03b7a9f88ddd237a671bfa8ea7b8601dc2dd42f6c052d76dbc
ENG1,Coventry City,990,Stephen Mfuni,1049020,274809,0,917530,9265,917518,2026-08-30,2026-07-01,2027-06-30,PRESERVE_NATIVE08_PROJECTED_BEGIN,https://www.transfermarkt.de/coventry-city/kader/verein/990/saison_id/2026/plus/1,f8b6df3a235487785b5388c90b2e9ed50f43a330cba1ff3e2ab5138484452aae
ENG1,Crystal Palace,873,Honest Ahanor,1077175,282292,74483,917535,800,1769477,2026-09-01,2026-07-01,2027-06-30,PRESERVE_NATIVE08_PROJECTED_BEGIN,https://www.transfermarkt.de/crystal-palace/kader/verein/873/saison_id/2026/plus/1,5b0d8110693231bc9cfcbf4e744171ea18f83dc20ff4c35e294cf84c098ae7ac
ENG1,Crystal Palace,873,Axel Disasi,386047,23302,229942,917535,631,917513,2026-08-26,2026-07-01,2027-06-30,PRESERVE_NATIVE08_PROJECTED_BEGIN,https://www.transfermarkt.de/crystal-palace/kader/verein/873/saison_id/2026/plus/1,5b0d8110693231bc9cfcbf4e744171ea18f83dc20ff4c35e294cf84c098ae7ac
ENG1,Crystal Palace,873,Evann Guessand,500689,261112,258444,917535,,917506,2026-01-30,2026-07-01,2027-06-30,PRESERVE_NATIVE08_PROJECTED_BEGIN,https://www.transfermarkt.de/crystal-palace/kader/verein/873/saison_id/2026/plus/1,5b0d8110693231bc9cfcbf4e744171ea18f83dc20ff4c35e294cf84c098ae7ac
ENG1,Crystal Palace,873,Darío Osorio,881116,285963,278012,917535,865,851973,2026-09-01,2026-07-01,2027-06-30,PRESERVE_NATIVE08_PROJECTED_BEGIN,https://www.transfermarkt.de/crystal-palace/kader/verein/873/saison_id/2026/plus/1,5b0d8110693231bc9cfcbf4e744171ea18f83dc20ff4c35e294cf84c098ae7ac
ENG1,Everton,29,Jack Grealish,203460,259145,206517,917517,281,917518,2026-09-01,2026-07-01,2027-06-30,PRESERVE_NATIVE08_PROJECTED_BEGIN,https://www.transfermarkt.de/fc-everton/kader/verein/29/saison_id/2026/plus/1,42b6f20b51ab963f490c0c9e3fce8d8e64beae01bd82a8476a0462feb2ef546d
ENG1,Fulham,931,Hugo Larsson,931838,277145,268896,917521,24,1376279,2026-09-01,2026-07-01,2027-06-30,PRESERVE_NATIVE08_PROJECTED_BEGIN,https://www.transfermarkt.de/fc-fulham/kader/verein/931/saison_id/2026/plus/1,abc9ef5d8dbb5849dcf6d123a562b6a7cc7afc983fc84b62fadedbe7ab430fe0
ENG1,Hull City,3008,Robinio Vaz,1131161,283989,76410,917532,12,1179662,2026-09-01,2026-07-01,2027-06-30,PRESERVE_NATIVE08_PROJECTED_BEGIN,https://www.transfermarkt.de/hull-city/kader/verein/3008/saison_id/2026/plus/1,95d27e3b77eef2306101f2b6eab92a02d56308a31e0d34299be2fa82dcf331db
ENG1,Leeds United,399,Melvin Bard,532775,285266,254548,917545,417,1179666,2026-09-01,2026-07-01,2027-06-30,PRESERVE_NATIVE08_PROJECTED_BEGIN,https://www.transfermarkt.de/leeds-united/kader/verein/399/saison_id/2026/plus/1,8641181efead6b745e037ec49edb34f1c7ca3a066d41825076ee3196fb4eedd5
ENG1,Leeds United,399,Jean-Mattéo Bahoya,939964,277149,269728,917545,24,1376279,2026-09-01,2026-07-01,2027-06-30,PRESERVE_NATIVE08_PROJECTED_BEGIN,https://www.transfermarkt.de/leeds-united/kader/verein/399/saison_id/2026/plus/1,8641181efead6b745e037ec49edb34f1c7ca3a066d41825076ee3196fb4eedd5
ENG1,Liverpool,31,Ronald Araujo,480267,283341,253163,917509,131,2949124,2026-08-10,2026-07-01,2027-06-30,PRESERVE_NATIVE08_PROJECTED_BEGIN,https://www.transfermarkt.de/fc-liverpool/kader/verein/31/saison_id/2026/plus/1,03f6f6108aec08d5028c45b59b341f94eb0a4ac80c8d3246a9cf1767419f8789
ENG1,Sunderland,289,Kevin Danso,263236,265414,237985,917524,148,917514,2026-09-01,2026-07-01,2027-06-30,PRESERVE_NATIVE08_PROJECTED_BEGIN,https://www.transfermarkt.de/afc-sunderland/kader/verein/289/saison_id/2026/plus/1,bd74ae0019b88eeaf201f5b09382a2f264e6feab18e637371f9e43576b711509
ENG1,Tottenham Hotspur,148,Mykhaylo Mudryk,537860,23316,246340,917514,631,917513,2026-09-01,2026-07-01,2027-06-30,PRESERVE_NATIVE08_PROJECTED_BEGIN,https://www.transfermarkt.de/tottenham-hotspur/kader/verein/148/saison_id/2026/plus/1,007fc11048dc50b4cfd2c580b82958bb7cc02f984af0af71c4079e53b5c71390
ENG1,Tottenham Hotspur,148,Omar Marmoush,445939,262597,256675,917514,281,917518,2026-08-27,2026-07-01,2027-06-30,PRESERVE_NATIVE08_PROJECTED_BEGIN,https://www.transfermarkt.de/tottenham-hotspur/kader/verein/148/saison_id/2026/plus/1,007fc11048dc50b4cfd2c580b82958bb7cc02f984af0af71c4079e53b5c71390
GER1,Borussia Dortmund,16,Ethan Nwaneri,890719,257423,271807,1376262,11,917505,2026-09-01,2026-07-01,2027-06-30,PRESERVE_NATIVE08_PROJECTED_BEGIN,https://www.transfermarkt.de/borussia-dortmund/kader/verein/16/saison_id/2026/plus/1,927453550675aa19e2e1770ec753efb040ae08d849fa3f9549ef9d993044efb7
GER1,RasenBallsport Leipzig,23826,Neil El Aynaoui,901019,278489,262745,1376555,12,1769476,2026-09-01,2026-07-01,2027-06-30,PRESERVE_NATIVE08_PROJECTED_BEGIN,https://www.transfermarkt.de/rb-leipzig/kader/verein/23826/saison_id/2026/plus/1,97283d90f2a9e564bd064da4fa47fa71d7ad3661db6e1e1a6f768776682c54ff
