player_tm_id,player,full_name,dob,club_tm_id,club,shirt_number,joined,contract_until,position,foot,height,nationality_text,loan_owner_tm_id,loan_owner,owner_contract_until,profile_notes,source_status,source,source_sha256,retrieved_at,snapshot_date,imported_at
122268,David Kamm Al-Azzawe,David Haider Kamm Al-Azzawe,1992-06-05,92,SC Fortuna Köln,15,2025-07-01,2027-06-30,Abwehr - Innenverteidiger,rechts,"1,88 m",Irak Deutschland,,,,"Name im Heimatland: David Haider Kamm Al-Azzawe Geb./Alter: 05.06.1992 (34) Geburtsort: Halle an der Saale Größe: 1,88 m Staatsbürgerschaft: Irak Deutschland Position: Abwehr - Innenverteidiger Fuß: rechts Spielerberater: DA Sport Consulting Aktueller Verein: SC Fortuna Köln Im Team seit: 01.07.2025 Vertrag bis: 30.06.2027",CONFIRMED,https://www.transfermarkt.de/david-kamm-al-azzawe/profil/spieler/122268,a51088991a1e201f6ad0e9a6d29254611890bd401db0083446777dfe5861476d,2026-09-12T20:44:38.893892+00:00,2026-09-12,2026-09-12T20:44:38.938409+00:00
187203,Eric Verstappen,,1994-05-19,56,Rot-Weiss Essen,33,2026-09-08,2027-06-30,Torwart,rechts,"1,97 m",Niederlande,,,,"Geb./Alter: 19.05.1994 (32) Geburtsort: Venlo Größe: 1,97 m Staatsbürgerschaft: Niederlande Position: Torwart Fuß: rechts Spielerberater: B O K S Aktueller Verein: Rot-Weiss Essen Im Team seit: 08.09.2026 Vertrag bis: 30.06.2027",CONFIRMED,https://www.transfermarkt.de/eric-verstappen/profil/spieler/187203,f725240eef1536865fb62a0ad9a6a0d8b45745ec73772fcb06bb0cfb7bdbd2db,2026-09-12T20:44:39.788364+00:00,2026-09-12,2026-09-12T20:44:39.809370+00:00
250478,Matt Targett,Matthew Robert Targett,1995-09-18,3008,Hull City,23,2026-07-23,2028-06-30,Abwehr - Linker Verteidiger,links,"1,83 m",England Schottland,,,,"Name im Heimatland: Matthew Robert Targett Geb./Alter: 18.09.1995 (30) Geburtsort: Eastleigh Größe: 1,83 m Staatsbürgerschaft: England Schottland Position: Abwehr - Linker Verteidiger Fuß: links Spielerberater: Straight Ace Sports Aktueller Verein: Hull City Im Team seit: 23.07.2026 Vertrag bis: 30.06.2028 Vertragsoption: vereinsseitig 1 Jahr Social Media:",CONFIRMED,https://www.transfermarkt.de/matt-targett/profil/spieler/250478,dfec9a542f3c6f5c1e0e9b111ee03191951e3c1feb4b998dd8d53d89b51748c6,2026-09-12T20:44:40.874827+00:00,2026-09-12,2026-09-12T20:44:40.898834+00:00
528222,Lorenz Ender,,2001-01-06,2589,SG Sonnenhof Großaspach,17,2023-07-01,2027-06-30,Sturm - Rechtsaußen,,"1,74 m",Deutschland,,,,"Geb./Alter: 06.01.2001 (25) Geburtsort: Geislingen Größe: 1,74 m Staatsbürgerschaft: Deutschland Position: Sturm - Rechtsaußen Aktueller Verein: SG Sonnenhof Großaspach Im Team seit: 01.07.2023 Vertrag bis: 30.06.2027 Letzte Verlängerung: 27.05.2025",CONFIRMED,https://www.transfermarkt.de/lorenz-ender/profil/spieler/528222,819f85a5d1af3bde7298e3f9f736b55c2ce9207c82a31138f06d823082aa5b74,2026-09-12T20:44:41.955559+00:00,2026-09-12,2026-09-12T20:44:41.976564+00:00
605242,Monju Momuluh,Monju Thaddäus Momuluh,2002-02-18,10,Arminia Bielefeld,14,2025-09-01,,Sturm - Rechtsaußen,rechts,"1,81 m",Deutschland,,,,"Name im Heimatland: Monju Thaddäus Momuluh Geb./Alter: 18.02.2002 (24) Geburtsort: Hannover Größe: 1,81 m Staatsbürgerschaft: Deutschland Position: Sturm - Rechtsaußen Fuß: rechts Spielerberater: LIEBERAM.GROUP Aktueller Verein: Arminia Bielefeld Im Team seit: 01.09.2025 Vertrag bis: -",CONFIRMED,https://www.transfermarkt.de/monju-momuluh/profil/spieler/605242,95828df07fbdefe03cdf46f8d22d37e56b309b3043ff57916f74e4e5c0cd9a4f,2026-09-12T20:44:42.828160+00:00,2026-09-12,2026-09-12T20:44:42.855940+00:00
632182,Finn Kiszka,Finn Louis Kiszka,2000-12-17,476,TSV Havelse,17,2026-07-06,2027-06-30,Sturm - Mittelstürmer,beidfüßig,"1,87 m",Deutschland,,,,"Name im Heimatland: Finn Louis Kiszka Geb./Alter: 17.12.2000 (25) Geburtsort: Hannover Größe: 1,87 m Staatsbürgerschaft: Deutschland Position: Sturm - Mittelstürmer Fuß: beidfüßig Spielerberater: Players Factory Aktueller Verein: TSV Havelse Im Team seit: 06.07.2026 Vertrag bis: 30.06.2027",CONFIRMED,https://www.transfermarkt.de/finn-kiszka/profil/spieler/632182,323d2e459f55894e8b3c52291d85461c7db182dd066407df8b9e99b8e4666fb5,2026-09-12T20:44:43.853883+00:00,2026-09-12,2026-09-12T20:44:43.876889+00:00
656316,Gabriel Slonina,Gabriel Paweł Słonina,2004-05-15,631,FC Chelsea,44,2022-08-02,2028-06-30,Torwart,rechts,"1,93 m",Vereinigte Staaten Polen,,,,"Name im Heimatland: Gabriel Paweł Słonina Geb./Alter: 15.05.2004 (22) Geburtsort: Addison, Illinois Größe: 1,93 m Staatsbürgerschaft: Vereinigte Staaten Polen Position: Torwart Fuß: rechts Spielerberater: SXI Aktueller Verein: FC Chelsea Im Team seit: 02.08.2022 Vertrag bis: 30.06.2028 Social Media:",CONFIRMED,https://www.transfermarkt.de/gabriel-slonina/profil/spieler/656316,db49471eb9075a81bd03ed4b9654a7a93e5554a28736776b08a3dcdd34d48e99,2026-09-12T20:44:44.781914+00:00,2026-09-12,2026-09-12T20:44:44.802918+00:00
685484,Luka Duric,Luka Đurić,2003-06-18,127,SC Paderborn 07,8,2026-07-01,,Mittelfeld - Zentrales Mittelfeld,,"1,81 m",Bosnien-Herzegowina Deutschland,,,,"Name im Heimatland: Luka Đurić Geb./Alter: 18.06.2003 (23) Geburtsort: Sinsheim Größe: 1,81 m Staatsbürgerschaft: Bosnien-Herzegowina Deutschland Position: Mittelfeld - Zentrales Mittelfeld Spielerberater: PRO Profil GmbH Aktueller Verein: SC Paderborn 07 Im Team seit: 01.07.2026 Vertrag bis: -",CONFIRMED,https://www.transfermarkt.de/luka-duric/profil/spieler/685484,8530cfe7b20a57cec08465ad37d5cccede1223a612268d4e2cf2441627884f7c,2026-09-12T20:44:45.734710+00:00,2026-09-12,2026-09-12T20:44:45.757716+00:00
743591,Sávio,,2004-04-10,148,Tottenham Hotspur,17,2026-08-25,2031-06-30,Sturm - Linksaußen,links,"1,76 m",Brasilien,,,,"Vollständiger Name: Sávio Moreira de Oliveira Geb./Alter: 10.04.2004 (22) Geburtsort: São Mateus Größe: 1,76 m Staatsbürgerschaft: Brasilien Position: Sturm - Linksaußen Fuß: links Spielerberater: Promanager Aktueller Verein: Tottenham Hotspur Im Team seit: 25.08.2026 Vertrag bis: 30.06.2031 Ausrüster: Nike Social Media:",CONFIRMED,https://www.transfermarkt.de/savio/profil/spieler/743591,efce9b5b35758644863dc27c8e75967b9e35d6ba11d373ef21b0011511fd650b,2026-09-12T20:44:46.806887+00:00,2026-09-12,2026-09-12T20:44:46.832891+00:00
747243,Gyan de Regt,,2003-08-18,269,Holstein Kiel,11,2026-08-19,2030-06-30,Sturm - Linksaußen,,"1,76 m",Niederlande,,,,"Geb./Alter: 18.08.2003 (23) Geburtsort: Papendrecht Größe: 1,76 m Staatsbürgerschaft: Niederlande Position: Sturm - Linksaußen Spielerberater: PUM Aktueller Verein: Holstein Kiel Im Team seit: 19.08.2026 Vertrag bis: 30.06.2030 Social Media:",CONFIRMED,https://www.transfermarkt.de/gyan-de-regt/profil/spieler/747243,91f1001c00d18d82ae563dc905ff8a875c903688316fbc52345147eae39ff836,2026-09-12T20:44:47.754214+00:00,2026-09-12,2026-09-12T20:44:47.775218+00:00
