league,season,snapshot_date,club_name,external_club_id,player_name,external_player_id,dob,shirt_number,team_type,joined,contract_until,loan_owner_external_club_id,loan_end,status,source_url,source_sha256,fm_id,fifa_id,native_club_id
ENG1,2026/27,2026-09-12,Arsenal,11,Piero Hincapié,659813,2002-01-09,5,FIRST,2026-07-01,2031-06-30,,,REVIEW_REQUIRED,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,257418,256197,917505
ENG1,2026/27,2026-09-12,Arsenal,11,Max Dowman,1187629,2009-12-31,56,FIRST,2025-07-01,,,,REVIEW_REQUIRED,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,269642,0,917505
ENG1,2026/27,2026-09-12,Aston Villa,405,James Wright,712181,2004-12-02,42,FIRST,2026-07-01,,,,REVIEW_REQUIRED,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d,273299,0,917506
ENG1,2026/27,2026-09-12,Aston Villa,405,Aaron Wan-Bissaka,477758,1997-11-26,29,FIRST,2026-08-21,2027-06-30,379,2027-06-30,REVIEW_REQUIRED,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d,263483,229880,917506
ENG1,2026/27,2026-09-12,Aston Villa,405,Alejandro Garnacho,811779,2004-07-01,17,FIRST,2026-07-23,2027-06-30,631,2027-06-30,REVIEW_REQUIRED,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d,23306,268438,917506
ENG1,2026/27,2026-09-12,Aston Villa,405,George Hemmings,1023191,2007-04-03,53,FIRST,2026-07-01,,,,REVIEW_REQUIRED,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d,273310,0,917506
ENG1,2026/27,2026-09-12,Aston Villa,405,Nicolas Jackson,776890,2001-06-20,11,FIRST,2026-08-28,2031-06-30,,,REVIEW_REQUIRED,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d,276820,259197,917506
ENG1,2026/27,2026-09-12,Aston Villa,405,Tammy Abraham,331726,1997-10-02,18,FIRST,2026-01-27,2030-06-30,,,REVIEW_REQUIRED,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d,199880,231352,917506
ENG1,2026/27,2026-09-12,AFC Bournemouth,989,Michele Di Gregorio,301238,1997-07-27,20,FIRST,2026-08-25,2027-06-30,506,2027-06-30,REVIEW_REQUIRED,https://www.transfermarkt.de/afc-bournemouth/kader/verein/989/saison_id/2026/plus/1,147ac73d9a94a634b365ebf6ee82ee4655d46b0d4aa0cba07b481ccc27a62359,278349,235840,917553
ENG1,2026/27,2026-09-12,AFC Bournemouth,989,Fraser Forster,52570,1988-03-17,17,FIRST,2026-01-02,2027-06-30,,,REVIEW_REQUIRED,https://www.transfermarkt.de/afc-bournemouth/kader/verein/989/saison_id/2026/plus/1,147ac73d9a94a634b365ebf6ee82ee4655d46b0d4aa0cba07b481ccc27a62359,,172203,917553
ENG1,2026/27,2026-09-12,AFC Bournemouth,989,Max Aarons,471690,2000-01-04,28,FIRST,2023-08-10,2029-06-30,,,REVIEW_REQUIRED,https://www.transfermarkt.de/afc-bournemouth/kader/verein/989/saison_id/2026/plus/1,147ac73d9a94a634b365ebf6ee82ee4655d46b0d4aa0cba07b481ccc27a62359,288893,240060,917553
ENG1,2026/27,2026-09-12,AFC Bournemouth,989,Ben Winterburn,854721,2004-09-04,47,FIRST,2025-01-01,2027-06-30,,,REVIEW_REQUIRED,https://www.transfermarkt.de/afc-bournemouth/kader/verein/989/saison_id/2026/plus/1,147ac73d9a94a634b365ebf6ee82ee4655d46b0d4aa0cba07b481ccc27a62359,265834,75839,917553
ENG1,2026/27,2026-09-12,AFC Bournemouth,989,Alex Tóth,998101,2005-10-23,27,FIRST,2026-01-20,2031-06-30,,,REVIEW_REQUIRED,https://www.transfermarkt.de/afc-bournemouth/kader/verein/989/saison_id/2026/plus/1,147ac73d9a94a634b365ebf6ee82ee4655d46b0d4aa0cba07b481ccc27a62359,107259,70903,917553
ENG1,2026/27,2026-09-12,AFC Bournemouth,989,Rayan,1012564,2006-08-03,37,FIRST,2026-01-27,2031-06-30,,,REVIEW_REQUIRED,https://www.transfermarkt.de/afc-bournemouth/kader/verein/989/saison_id/2026/plus/1,147ac73d9a94a634b365ebf6ee82ee4655d46b0d4aa0cba07b481ccc27a62359,,0,917553
ENG1,2026/27,2026-09-12,AFC Bournemouth,989,Daniel Jebbison,746740,2003-08-13,29,FIRST,2024-07-10,2028-06-30,,,REVIEW_REQUIRED,https://www.transfermarkt.de/afc-bournemouth/kader/verein/989/saison_id/2026/plus/1,147ac73d9a94a634b365ebf6ee82ee4655d46b0d4aa0cba07b481ccc27a62359,24417,262227,917553
ENG1,2026/27,2026-09-12,Brentford,1148,Ji-soo Kim,709767,2004-12-24,36,FIRST,2024-07-01,2027-06-30,,,REVIEW_REQUIRED,https://www.transfermarkt.de/fc-brentford/kader/verein/1148/saison_id/2026/plus/1,98977ec56621e787ba2b89973d53a14e8f3ee796ba25d92646304551ba9c96fa,276590,267844,917569
ENG1,2026/27,2026-09-12,Brentford,1148,Benjamin Fredrick,1071138,2005-05-28,48,FIRST,2026-07-10,2030-06-30,,,REVIEW_REQUIRED,https://www.transfermarkt.de/fc-brentford/kader/verein/1148/saison_id/2026/plus/1,98977ec56621e787ba2b89973d53a14e8f3ee796ba25d92646304551ba9c96fa,235809,70781,917569
ENG1,2026/27,2026-09-12,Brentford,1148,El Hadji Malick Diouf,1111589,2004-12-29,25,FIRST,2026-08-28,2031-06-30,,,REVIEW_REQUIRED,https://www.transfermarkt.de/fc-brentford/kader/verein/1148/saison_id/2026/plus/1,98977ec56621e787ba2b89973d53a14e8f3ee796ba25d92646304551ba9c96fa,,,917569
ENG1,2026/27,2026-09-12,Brighton & Hove Albion,1237,Luka Vuskovic,892160,2007-02-24,44,FIRST,2026-07-14,2031-06-30,,,REVIEW_REQUIRED,https://www.transfermarkt.de/brighton-hove-albion/kader/verein/1237/saison_id/2026/plus/1,f2cf90d26295bb03b7a9f88ddd237a671bfa8ea7b8601dc2dd42f6c052d76dbc,275629,275192,917529
ENG1,2026/27,2026-09-12,Brighton & Hove Albion,1237,Matt O'Riley,406634,2000-11-21,33,FIRST,2024-08-26,2029-06-30,,,REVIEW_REQUIRED,https://www.transfermarkt.de/brighton-hove-albion/kader/verein/1237/saison_id/2026/plus/1,f2cf90d26295bb03b7a9f88ddd237a671bfa8ea7b8601dc2dd42f6c052d76dbc,283967,240734,917529
ENG1,2026/27,2026-09-12,Brighton & Hove Albion,1237,Malick Yalcouyé,1178758,2005-11-18,35,FIRST,2024-07-12,2029-06-30,,,REVIEW_REQUIRED,https://www.transfermarkt.de/brighton-hove-albion/kader/verein/1237/saison_id/2026/plus/1,f2cf90d26295bb03b7a9f88ddd237a671bfa8ea7b8601dc2dd42f6c052d76dbc,24272,70841,917529
ENG1,2026/27,2026-09-12,Brighton & Hove Albion,1237,Ibrahim Osman,1110406,2004-11-29,15,FIRST,2024-07-01,2029-06-30,,,REVIEW_REQUIRED,https://www.transfermarkt.de/brighton-hove-albion/kader/verein/1237/saison_id/2026/plus/1,f2cf90d26295bb03b7a9f88ddd237a671bfa8ea7b8601dc2dd42f6c052d76dbc,291270,274516,917529
ENG1,2026/27,2026-09-12,Brighton & Hove Albion,1237,Evan Ferguson,648046,2004-10-19,28,FIRST,2022-07-01,2029-06-30,,,REVIEW_REQUIRED,https://www.transfermarkt.de/brighton-hove-albion/kader/verein/1237/saison_id/2026/plus/1,f2cf90d26295bb03b7a9f88ddd237a671bfa8ea7b8601dc2dd42f6c052d76dbc,278485,259608,917529
ENG1,2026/27,2026-09-12,Brighton & Hove Albion,1237,Promise David,888785,2001-07-03,12,FIRST,2026-08-18,2027-06-30,3948,2027-06-30,REVIEW_REQUIRED,https://www.transfermarkt.de/brighton-hove-albion/kader/verein/1237/saison_id/2026/plus/1,f2cf90d26295bb03b7a9f88ddd237a671bfa8ea7b8601dc2dd42f6c052d76dbc,234972,73070,917529
ENG1,2026/27,2026-09-12,Chelsea,631,Mike Penders,834397,2005-07-31,39,FIRST,2024-08-27,2032-06-30,,,REVIEW_REQUIRED,https://www.transfermarkt.de/fc-chelsea/kader/verein/631/saison_id/2026/plus/1,654f4cd4c0ce8c73da8a919c8a23c05e00fc473650df3999c3441d42c128ae64,289605,270821,917513
ENG1,2026/27,2026-09-12,Chelsea,631,Gabriel Slonina,656316,2004-05-15,44,FIRST,2022-08-02,2028-06-30,,,REVIEW_REQUIRED,https://www.transfermarkt.de/fc-chelsea/kader/verein/631/saison_id/2026/plus/1,654f4cd4c0ce8c73da8a919c8a23c05e00fc473650df3999c3441d42c128ae64,23327,248158,917513
ENG1,2026/27,2026-09-12,Chelsea,631,Teddy Sharman-Lowe,731466,2003-03-30,28,FIRST,2026-01-19,2028-06-30,,,REVIEW_REQUIRED,https://www.transfermarkt.de/fc-chelsea/kader/verein/631/saison_id/2026/plus/1,654f4cd4c0ce8c73da8a919c8a23c05e00fc473650df3999c3441d42c128ae64,259494,257126,917513
ENG1,2026/27,2026-09-12,Chelsea,631,Aarón Anselmino,1145504,2005-04-29,30,FIRST,2024-08-08,2031-06-30,,,REVIEW_REQUIRED,https://www.transfermarkt.de/fc-chelsea/kader/verein/631/saison_id/2026/plus/1,654f4cd4c0ce8c73da8a919c8a23c05e00fc473650df3999c3441d42c128ae64,277407,278455,917513
ENG1,2026/27,2026-09-12,Chelsea,631,Marco Palestra,895937,2005-03-03,2,FIRST,2026-07-01,2033-06-30,,,REVIEW_REQUIRED,https://www.transfermarkt.de/fc-chelsea/kader/verein/631/saison_id/2026/plus/1,654f4cd4c0ce8c73da8a919c8a23c05e00fc473650df3999c3441d42c128ae64,286048,278339,917513
ENG1,2026/27,2026-09-12,Coventry City,990,Carl Rushworth,646353,2001-07-02,19,FIRST,2026-08-04,,,,REVIEW_REQUIRED,https://www.transfermarkt.de/coventry-city/kader/verein/990/saison_id/2026/plus/1,f8b6df3a235487785b5388c90b2e9ed50f43a330cba1ff3e2ab5138484452aae,24078,263339,917530
ENG1,2026/27,2026-09-12,Coventry City,990,Stephen Mfuni,1049020,2008-02-12,30,FIRST,2026-08-30,2027-06-30,9265,2027-06-30,REVIEW_REQUIRED,https://www.transfermarkt.de/coventry-city/kader/verein/990/saison_id/2026/plus/1,f8b6df3a235487785b5388c90b2e9ed50f43a330cba1ff3e2ab5138484452aae,274809,0,917530
ENG1,2026/27,2026-09-12,Crystal Palace,873,Honest Ahanor,1077175,2008-02-23,21,FIRST,2026-09-01,2027-06-30,800,2027-06-30,REVIEW_REQUIRED,https://www.transfermarkt.de/crystal-palace/kader/verein/873/saison_id/2026/plus/1,5b0d8110693231bc9cfcbf4e744171ea18f83dc20ff4c35e294cf84c098ae7ac,282292,74483,917535
ENG1,2026/27,2026-09-12,Crystal Palace,873,Axel Disasi,386047,1998-03-11,5,FIRST,2026-08-26,2027-06-30,631,2027-06-30,REVIEW_REQUIRED,https://www.transfermarkt.de/crystal-palace/kader/verein/873/saison_id/2026/plus/1,5b0d8110693231bc9cfcbf4e744171ea18f83dc20ff4c35e294cf84c098ae7ac,23302,229942,917535
ENG1,2026/27,2026-09-12,Crystal Palace,873,Takehiro Tomiyasu,331560,1998-11-05,17,FIRST,2026-08-07,,,,REVIEW_REQUIRED,https://www.transfermarkt.de/crystal-palace/kader/verein/873/saison_id/2026/plus/1,5b0d8110693231bc9cfcbf4e744171ea18f83dc20ff4c35e294cf84c098ae7ac,,232938,917535
ENG1,2026/27,2026-09-12,Crystal Palace,873,Evann Guessand,500689,2001-07-01,29,FIRST,2026-01-30,2027-06-30,,2027-06-30,REVIEW_REQUIRED,https://www.transfermarkt.de/crystal-palace/kader/verein/873/saison_id/2026/plus/1,5b0d8110693231bc9cfcbf4e744171ea18f83dc20ff4c35e294cf84c098ae7ac,261112,258444,917535
ENG1,2026/27,2026-09-12,Crystal Palace,873,Darío Osorio,881116,2004-01-24,24,FIRST,2026-09-01,2027-06-30,865,2027-06-30,REVIEW_REQUIRED,https://www.transfermarkt.de/crystal-palace/kader/verein/873/saison_id/2026/plus/1,5b0d8110693231bc9cfcbf4e744171ea18f83dc20ff4c35e294cf84c098ae7ac,285963,278012,917535
ENG1,2026/27,2026-09-12,Everton,29,Merlin Röhl,608832,2002-07-05,34,FIRST,2026-07-01,2029-06-30,,,REVIEW_REQUIRED,https://www.transfermarkt.de/fc-everton/kader/verein/29/saison_id/2026/plus/1,42b6f20b51ab963f490c0c9e3fce8d8e64beae01bd82a8476a0462feb2ef546d,259160,259714,917517
ENG1,2026/27,2026-09-12,Everton,29,Harrison Armstrong,1107733,2007-01-19,45,FIRST,2024-07-01,2028-06-30,,,REVIEW_REQUIRED,https://www.transfermarkt.de/fc-everton/kader/verein/29/saison_id/2026/plus/1,42b6f20b51ab963f490c0c9e3fce8d8e64beae01bd82a8476a0462feb2ef546d,24410,74413,917517
ENG1,2026/27,2026-09-12,Everton,29,Jack Grealish,203460,1995-09-10,10,FIRST,2026-09-01,2027-06-30,281,2027-06-30,REVIEW_REQUIRED,https://www.transfermarkt.de/fc-everton/kader/verein/29/saison_id/2026/plus/1,42b6f20b51ab963f490c0c9e3fce8d8e64beae01bd82a8476a0462feb2ef546d,259145,206517,917517
ENG1,2026/27,2026-09-12,Fulham,931,Hugo Larsson,931838,2004-06-27,15,FIRST,2026-09-01,2027-06-30,24,2027-06-30,REVIEW_REQUIRED,https://www.transfermarkt.de/fc-fulham/kader/verein/931/saison_id/2026/plus/1,abc9ef5d8dbb5849dcf6d123a562b6a7cc7afc983fc84b62fadedbe7ab430fe0,277145,268896,917521
ENG1,2026/27,2026-09-12,Fulham,931,Manuel Ángel,646824,2004-03-15,20,FIRST,2026-09-01,2029-06-30,,,REVIEW_REQUIRED,https://www.transfermarkt.de/fc-fulham/kader/verein/931/saison_id/2026/plus/1,abc9ef5d8dbb5849dcf6d123a562b6a7cc7afc983fc84b62fadedbe7ab430fe0,,0,917521
ENG1,2026/27,2026-09-12,Fulham,931,Jonah Kusi-Asare,1069512,2007-07-04,18,FIRST,2026-07-01,2031-06-30,,,REVIEW_REQUIRED,https://www.transfermarkt.de/fc-fulham/kader/verein/931/saison_id/2026/plus/1,abc9ef5d8dbb5849dcf6d123a562b6a7cc7afc983fc84b62fadedbe7ab430fe0,23673,278578,917521
ENG1,2026/27,2026-09-12,Hull City,3008,Lucas Herrington,1279984,2007-09-05,22,FIRST,2026-08-12,2031-06-30,,,REVIEW_REQUIRED,https://www.transfermarkt.de/hull-city/kader/verein/3008/saison_id/2026/plus/1,95d27e3b77eef2306101f2b6eab92a02d56308a31e0d34299be2fa82dcf331db,,,917532
ENG1,2026/27,2026-09-12,Hull City,3008,Nobel Mendy,1034853,2004-09-03,32,FIRST,2026-08-12,2031-06-30,,,REVIEW_REQUIRED,https://www.transfermarkt.de/hull-city/kader/verein/3008/saison_id/2026/plus/1,95d27e3b77eef2306101f2b6eab92a02d56308a31e0d34299be2fa82dcf331db,282801,276633,917532
ENG1,2026/27,2026-09-12,Hull City,3008,Paddy McNair,167268,1995-04-27,17,FIRST,2026-01-28,2027-06-30,,,REVIEW_REQUIRED,https://www.transfermarkt.de/hull-city/kader/verein/3008/saison_id/2026/plus/1,95d27e3b77eef2306101f2b6eab92a02d56308a31e0d34299be2fa82dcf331db,301431,213697,917532
ENG1,2026/27,2026-09-12,Hull City,3008,Matt Targett,250478,1995-09-18,23,FIRST,2026-07-23,2028-06-30,,,REVIEW_REQUIRED,https://www.transfermarkt.de/hull-city/kader/verein/3008/saison_id/2026/plus/1,95d27e3b77eef2306101f2b6eab92a02d56308a31e0d34299be2fa82dcf331db,266490,218659,917532
ENG1,2026/27,2026-09-12,Hull City,3008,Abdülkadir Ömür,271495,1999-06-25,33,FIRST,2024-02-01,2027-06-30,,,REVIEW_REQUIRED,https://www.transfermarkt.de/hull-city/kader/verein/3008/saison_id/2026/plus/1,95d27e3b77eef2306101f2b6eab92a02d56308a31e0d34299be2fa82dcf331db,200319,231777,917532
