league,club_name,external_club_id,player_name,external_player_id,dob,status,review_reason,classification,transfer_type,old_club_id,new_club_id,fm_id,fifa_id,source_url,source_sha256
ENG1,Arsenal,11,Piero Hincapié,659813,2002-01-09,REVIEW_REQUIRED,Installed future conditions need typed native review,UNCHANGED,PERMANENT,917505,917505,257418,256197,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375
ENG1,Arsenal,11,Max Dowman,1187629,2009-12-31,REVIEW_REQUIRED,Missing/expired contract or unverified effective date,UNCHANGED,UNVERIFIED,917505,917505,269642,0,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375
ENG1,Aston Villa,405,James Wright,712181,2004-12-02,REVIEW_REQUIRED,Missing/expired contract or unverified effective date,UNCHANGED,PERMANENT,917506,917506,273299,0,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d
ENG1,Aston Villa,405,Aaron Wan-Bissaka,477758,1997-11-26,REVIEW_REQUIRED,Loan: parent ownership and dates require native loan plan,LOAN_IN,LOAN,917511,917506,263483,229880,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d
ENG1,Aston Villa,405,Alejandro Garnacho,811779,2004-07-01,REVIEW_REQUIRED,Loan: parent ownership and dates require native loan plan,LOAN_IN,LOAN,917513,917506,23306,268438,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d
ENG1,Aston Villa,405,George Hemmings,1023191,2007-04-03,REVIEW_REQUIRED,Missing/expired contract or unverified effective date,UNCHANGED,PERMANENT,917506,917506,273310,0,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d
ENG1,Aston Villa,405,Nicolas Jackson,776890,2001-06-20,REVIEW_REQUIRED,Installed future conditions need typed native review,TRANSFER_IN,PERMANENT,1376264,917506,276820,259197,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d
ENG1,Aston Villa,405,Tammy Abraham,331726,1997-10-02,REVIEW_REQUIRED,Installed future conditions need typed native review,TRANSFER_IN,PERMANENT,3145824,917506,199880,231352,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d
ENG1,AFC Bournemouth,989,Michele Di Gregorio,301238,1997-07-27,REVIEW_REQUIRED,Loan: parent ownership and dates require native loan plan,LOAN_IN,LOAN,1769482,917553,278349,235840,https://www.transfermarkt.de/afc-bournemouth/kader/verein/989/saison_id/2026/plus/1,147ac73d9a94a634b365ebf6ee82ee4655d46b0d4aa0cba07b481ccc27a62359
ENG1,AFC Bournemouth,989,Fraser Forster,52570,1988-03-17,REVIEW_REQUIRED,Changed club without confirmed matching transfer event,TRANSFER_IN,UNVERIFIED,0,917553,,172203,https://www.transfermarkt.de/afc-bournemouth/kader/verein/989/saison_id/2026/plus/1,147ac73d9a94a634b365ebf6ee82ee4655d46b0d4aa0cba07b481ccc27a62359
ENG1,AFC Bournemouth,989,Max Aarons,471690,2000-01-04,REVIEW_REQUIRED,Installed future conditions need typed native review,TRANSFER_IN,LOAN_RETURN,2752517,917553,288893,240060,https://www.transfermarkt.de/afc-bournemouth/kader/verein/989/saison_id/2026/plus/1,147ac73d9a94a634b365ebf6ee82ee4655d46b0d4aa0cba07b481ccc27a62359
ENG1,AFC Bournemouth,989,Ben Winterburn,854721,2004-09-04,REVIEW_REQUIRED,Installed future conditions need typed native review,TRANSFER_IN,LOAN_RETURN,917573,917553,265834,75839,https://www.transfermarkt.de/afc-bournemouth/kader/verein/989/saison_id/2026/plus/1,147ac73d9a94a634b365ebf6ee82ee4655d46b0d4aa0cba07b481ccc27a62359
ENG1,AFC Bournemouth,989,Alex Tóth,998101,2005-10-23,REVIEW_REQUIRED,Changed club without confirmed matching transfer event,TRANSFER_IN,UNVERIFIED,1507348,917553,107259,70903,https://www.transfermarkt.de/afc-bournemouth/kader/verein/989/saison_id/2026/plus/1,147ac73d9a94a634b365ebf6ee82ee4655d46b0d4aa0cba07b481ccc27a62359
ENG1,AFC Bournemouth,989,Rayan,1012564,2006-08-03,REVIEW_REQUIRED,Changed club without confirmed matching transfer event,TRANSFER_IN,UNVERIFIED,3538951,917553,,0,https://www.transfermarkt.de/afc-bournemouth/kader/verein/989/saison_id/2026/plus/1,147ac73d9a94a634b365ebf6ee82ee4655d46b0d4aa0cba07b481ccc27a62359
ENG1,AFC Bournemouth,989,Daniel Jebbison,746740,2003-08-13,REVIEW_REQUIRED,Installed future conditions need typed native review,TRANSFER_IN,LOAN_RETURN,917540,917553,24417,262227,https://www.transfermarkt.de/afc-bournemouth/kader/verein/989/saison_id/2026/plus/1,147ac73d9a94a634b365ebf6ee82ee4655d46b0d4aa0cba07b481ccc27a62359
ENG1,Brentford,1148,Ji-soo Kim,709767,2004-12-24,REVIEW_REQUIRED,Installed future conditions need typed native review,TRANSFER_IN,LOAN_RETURN,1376257,917569,276590,267844,https://www.transfermarkt.de/fc-brentford/kader/verein/1148/saison_id/2026/plus/1,98977ec56621e787ba2b89973d53a14e8f3ee796ba25d92646304551ba9c96fa
ENG1,Brentford,1148,Benjamin Fredrick,1071138,2005-05-28,REVIEW_REQUIRED,Installed future conditions need typed native review,TRANSFER_IN,PERMANENT,458795,917569,235809,70781,https://www.transfermarkt.de/fc-brentford/kader/verein/1148/saison_id/2026/plus/1,98977ec56621e787ba2b89973d53a14e8f3ee796ba25d92646304551ba9c96fa
ENG1,Brentford,1148,El Hadji Malick Diouf,1111589,2004-12-29,REVIEW_REQUIRED,Identity unresolved,MISSING_FROM_FM,UNVERIFIED,,917569,,,https://www.transfermarkt.de/fc-brentford/kader/verein/1148/saison_id/2026/plus/1,98977ec56621e787ba2b89973d53a14e8f3ee796ba25d92646304551ba9c96fa
ENG1,Brighton & Hove Albion,1237,Luka Vuskovic,892160,2007-02-24,REVIEW_REQUIRED,Installed future conditions need typed native review,TRANSFER_IN,PERMANENT,1376267,917529,275629,275192,https://www.transfermarkt.de/brighton-hove-albion/kader/verein/1237/saison_id/2026/plus/1,f2cf90d26295bb03b7a9f88ddd237a671bfa8ea7b8601dc2dd42f6c052d76dbc
ENG1,Brighton & Hove Albion,1237,Matt O'Riley,406634,2000-11-21,REVIEW_REQUIRED,Changed club without confirmed matching transfer event,TRANSFER_IN,UNVERIFIED,1179662,917529,283967,240734,https://www.transfermarkt.de/brighton-hove-albion/kader/verein/1237/saison_id/2026/plus/1,f2cf90d26295bb03b7a9f88ddd237a671bfa8ea7b8601dc2dd42f6c052d76dbc
ENG1,Brighton & Hove Albion,1237,Malick Yalcouyé,1178758,2005-11-18,REVIEW_REQUIRED,Changed club without confirmed matching transfer event,TRANSFER_IN,UNVERIFIED,917565,917529,24272,70841,https://www.transfermarkt.de/brighton-hove-albion/kader/verein/1237/saison_id/2026/plus/1,f2cf90d26295bb03b7a9f88ddd237a671bfa8ea7b8601dc2dd42f6c052d76dbc
ENG1,Brighton & Hove Albion,1237,Ibrahim Osman,1110406,2004-11-29,REVIEW_REQUIRED,Changed club without confirmed matching transfer event,TRANSFER_IN,UNVERIFIED,1179654,917529,291270,274516,https://www.transfermarkt.de/brighton-hove-albion/kader/verein/1237/saison_id/2026/plus/1,f2cf90d26295bb03b7a9f88ddd237a671bfa8ea7b8601dc2dd42f6c052d76dbc
ENG1,Brighton & Hove Albion,1237,Evan Ferguson,648046,2004-10-19,REVIEW_REQUIRED,Installed future conditions need typed native review,TRANSFER_IN,LOAN_RETURN,1769476,917529,278485,259608,https://www.transfermarkt.de/brighton-hove-albion/kader/verein/1237/saison_id/2026/plus/1,f2cf90d26295bb03b7a9f88ddd237a671bfa8ea7b8601dc2dd42f6c052d76dbc
ENG1,Brighton & Hove Albion,1237,Promise David,888785,2001-07-03,REVIEW_REQUIRED,Loan: parent ownership and dates require native loan plan,LOAN_IN,LOAN,458780,917529,234972,73070,https://www.transfermarkt.de/brighton-hove-albion/kader/verein/1237/saison_id/2026/plus/1,f2cf90d26295bb03b7a9f88ddd237a671bfa8ea7b8601dc2dd42f6c052d76dbc
ENG1,Chelsea,631,Mike Penders,834397,2005-07-31,REVIEW_REQUIRED,Installed future conditions need typed native review,TRANSFER_IN,LOAN_RETURN,1179667,917513,289605,270821,https://www.transfermarkt.de/fc-chelsea/kader/verein/631/saison_id/2026/plus/1,654f4cd4c0ce8c73da8a919c8a23c05e00fc473650df3999c3441d42c128ae64
ENG1,Chelsea,631,Gabriel Slonina,656316,2004-05-15,REVIEW_REQUIRED,Identity unresolved,CONFLICT,UNVERIFIED,,917513,23327,248158,https://www.transfermarkt.de/fc-chelsea/kader/verein/631/saison_id/2026/plus/1,654f4cd4c0ce8c73da8a919c8a23c05e00fc473650df3999c3441d42c128ae64
ENG1,Chelsea,631,Teddy Sharman-Lowe,731466,2003-03-30,REVIEW_REQUIRED,Changed club without confirmed matching transfer event,TRANSFER_IN,UNVERIFIED,917515,917513,259494,257126,https://www.transfermarkt.de/fc-chelsea/kader/verein/631/saison_id/2026/plus/1,654f4cd4c0ce8c73da8a919c8a23c05e00fc473650df3999c3441d42c128ae64
ENG1,Chelsea,631,Aarón Anselmino,1145504,2005-04-29,REVIEW_REQUIRED,Installed future conditions need typed native review,TRANSFER_IN,LOAN_RETURN,1376262,917513,277407,278455,https://www.transfermarkt.de/fc-chelsea/kader/verein/631/saison_id/2026/plus/1,654f4cd4c0ce8c73da8a919c8a23c05e00fc473650df3999c3441d42c128ae64
ENG1,Chelsea,631,Marco Palestra,895937,2005-03-03,REVIEW_REQUIRED,Installed future conditions need typed native review,TRANSFER_IN,PERMANENT,1769480,917513,286048,278339,https://www.transfermarkt.de/fc-chelsea/kader/verein/631/saison_id/2026/plus/1,654f4cd4c0ce8c73da8a919c8a23c05e00fc473650df3999c3441d42c128ae64
ENG1,Coventry City,990,Carl Rushworth,646353,2001-07-02,REVIEW_REQUIRED,Missing/expired contract or unverified effective date,UNCHANGED,PERMANENT,917530,917530,24078,263339,https://www.transfermarkt.de/coventry-city/kader/verein/990/saison_id/2026/plus/1,f8b6df3a235487785b5388c90b2e9ed50f43a330cba1ff3e2ab5138484452aae
ENG1,Coventry City,990,Stephen Mfuni,1049020,2008-02-12,REVIEW_REQUIRED,Loan: parent ownership and dates require native loan plan,LOAN_IN,LOAN,917518,917530,274809,0,https://www.transfermarkt.de/coventry-city/kader/verein/990/saison_id/2026/plus/1,f8b6df3a235487785b5388c90b2e9ed50f43a330cba1ff3e2ab5138484452aae
ENG1,Crystal Palace,873,Honest Ahanor,1077175,2008-02-23,REVIEW_REQUIRED,Loan: parent ownership and dates require native loan plan,LOAN_IN,LOAN,1769477,917535,282292,74483,https://www.transfermarkt.de/crystal-palace/kader/verein/873/saison_id/2026/plus/1,5b0d8110693231bc9cfcbf4e744171ea18f83dc20ff4c35e294cf84c098ae7ac
ENG1,Crystal Palace,873,Axel Disasi,386047,1998-03-11,REVIEW_REQUIRED,Loan: parent ownership and dates require native loan plan,LOAN_IN,LOAN,917513,917535,23302,229942,https://www.transfermarkt.de/crystal-palace/kader/verein/873/saison_id/2026/plus/1,5b0d8110693231bc9cfcbf4e744171ea18f83dc20ff4c35e294cf84c098ae7ac
ENG1,Crystal Palace,873,Takehiro Tomiyasu,331560,1998-11-05,REVIEW_REQUIRED,Missing/expired contract or unverified effective date,TRANSFER_IN,PERMANENT,0,917535,,232938,https://www.transfermarkt.de/crystal-palace/kader/verein/873/saison_id/2026/plus/1,5b0d8110693231bc9cfcbf4e744171ea18f83dc20ff4c35e294cf84c098ae7ac
ENG1,Crystal Palace,873,Evann Guessand,500689,2001-07-01,REVIEW_REQUIRED,Loan: parent ownership and dates require native loan plan,LOAN_IN,UNVERIFIED,917506,917535,261112,258444,https://www.transfermarkt.de/crystal-palace/kader/verein/873/saison_id/2026/plus/1,5b0d8110693231bc9cfcbf4e744171ea18f83dc20ff4c35e294cf84c098ae7ac
ENG1,Crystal Palace,873,Darío Osorio,881116,2004-01-24,REVIEW_REQUIRED,Loan: parent ownership and dates require native loan plan,LOAN_IN,LOAN,851973,917535,285963,278012,https://www.transfermarkt.de/crystal-palace/kader/verein/873/saison_id/2026/plus/1,5b0d8110693231bc9cfcbf4e744171ea18f83dc20ff4c35e294cf84c098ae7ac
ENG1,Everton,29,Merlin Röhl,608832,2002-07-05,REVIEW_REQUIRED,Installed future conditions need typed native review,UNCHANGED,PERMANENT,917517,917517,259160,259714,https://www.transfermarkt.de/fc-everton/kader/verein/29/saison_id/2026/plus/1,42b6f20b51ab963f490c0c9e3fce8d8e64beae01bd82a8476a0462feb2ef546d
ENG1,Everton,29,Harrison Armstrong,1107733,2007-01-19,REVIEW_REQUIRED,Changed club without confirmed matching transfer event,TRANSFER_IN,UNVERIFIED,917540,917517,24410,74413,https://www.transfermarkt.de/fc-everton/kader/verein/29/saison_id/2026/plus/1,42b6f20b51ab963f490c0c9e3fce8d8e64beae01bd82a8476a0462feb2ef546d
ENG1,Everton,29,Jack Grealish,203460,1995-09-10,REVIEW_REQUIRED,Loan: parent ownership and dates require native loan plan,LOAN_IN,LOAN,917517,917517,259145,206517,https://www.transfermarkt.de/fc-everton/kader/verein/29/saison_id/2026/plus/1,42b6f20b51ab963f490c0c9e3fce8d8e64beae01bd82a8476a0462feb2ef546d
ENG1,Fulham,931,Hugo Larsson,931838,2004-06-27,REVIEW_REQUIRED,Loan: parent ownership and dates require native loan plan,LOAN_IN,LOAN,1376279,917521,277145,268896,https://www.transfermarkt.de/fc-fulham/kader/verein/931/saison_id/2026/plus/1,abc9ef5d8dbb5849dcf6d123a562b6a7cc7afc983fc84b62fadedbe7ab430fe0
ENG1,Fulham,931,Manuel Ángel,646824,2004-03-15,REVIEW_REQUIRED,"Unique identity, dated current roster and valid contract chronology; transfer event required for club change",TRANSFER_IN,PERMANENT,2949134,917521,,0,https://www.transfermarkt.de/fc-fulham/kader/verein/931/saison_id/2026/plus/1,abc9ef5d8dbb5849dcf6d123a562b6a7cc7afc983fc84b62fadedbe7ab430fe0
ENG1,Fulham,931,Jonah Kusi-Asare,1069512,2007-07-04,REVIEW_REQUIRED,Installed future conditions need typed native review,UNCHANGED,PERMANENT,917521,917521,23673,278578,https://www.transfermarkt.de/fc-fulham/kader/verein/931/saison_id/2026/plus/1,abc9ef5d8dbb5849dcf6d123a562b6a7cc7afc983fc84b62fadedbe7ab430fe0
ENG1,Hull City,3008,Lucas Herrington,1279984,2007-09-05,REVIEW_REQUIRED,Identity unresolved,MISSING_FROM_FM,UNVERIFIED,,917532,,,https://www.transfermarkt.de/hull-city/kader/verein/3008/saison_id/2026/plus/1,95d27e3b77eef2306101f2b6eab92a02d56308a31e0d34299be2fa82dcf331db
ENG1,Hull City,3008,Nobel Mendy,1034853,2004-09-03,REVIEW_REQUIRED,Installed future conditions need typed native review,TRANSFER_IN,PERMANENT,2949171,917532,282801,276633,https://www.transfermarkt.de/hull-city/kader/verein/3008/saison_id/2026/plus/1,95d27e3b77eef2306101f2b6eab92a02d56308a31e0d34299be2fa82dcf331db
ENG1,Hull City,3008,Paddy McNair,167268,1995-04-27,REVIEW_REQUIRED,Changed club without confirmed matching transfer event,TRANSFER_IN,UNVERIFIED,6239520,917532,301431,213697,https://www.transfermarkt.de/hull-city/kader/verein/3008/saison_id/2026/plus/1,95d27e3b77eef2306101f2b6eab92a02d56308a31e0d34299be2fa82dcf331db
ENG1,Hull City,3008,Matt Targett,250478,1995-09-18,REVIEW_REQUIRED,Installed future conditions need typed native review,TRANSFER_IN,PERMANENT,917522,917532,266490,218659,https://www.transfermarkt.de/hull-city/kader/verein/3008/saison_id/2026/plus/1,95d27e3b77eef2306101f2b6eab92a02d56308a31e0d34299be2fa82dcf331db
ENG1,Hull City,3008,Abdülkadir Ömür,271495,1999-06-25,REVIEW_REQUIRED,Installed future conditions need typed native review,TRANSFER_IN,LOAN_RETURN,3145835,917532,200319,231777,https://www.transfermarkt.de/hull-city/kader/verein/3008/saison_id/2026/plus/1,95d27e3b77eef2306101f2b6eab92a02d56308a31e0d34299be2fa82dcf331db
ENG1,Hull City,3008,Kieran Dowell,258916,1997-10-10,REVIEW_REQUIRED,Changed club without confirmed matching transfer event,TRANSFER_IN,UNVERIFIED,2752517,917532,288906,226401,https://www.transfermarkt.de/hull-city/kader/verein/3008/saison_id/2026/plus/1,95d27e3b77eef2306101f2b6eab92a02d56308a31e0d34299be2fa82dcf331db
ENG1,Hull City,3008,Robinio Vaz,1131161,2007-02-17,REVIEW_REQUIRED,Loan: parent ownership and dates require native loan plan,LOAN_IN,LOAN,1179662,917532,283989,76410,https://www.transfermarkt.de/hull-city/kader/verein/3008/saison_id/2026/plus/1,95d27e3b77eef2306101f2b6eab92a02d56308a31e0d34299be2fa82dcf331db
ENG1,Hull City,3008,Joe Gelhardt,503980,2002-05-04,REVIEW_REQUIRED,Installed future conditions need typed native review,UNCHANGED,PERMANENT,917532,917532,266792,246053,https://www.transfermarkt.de/hull-city/kader/verein/3008/saison_id/2026/plus/1,95d27e3b77eef2306101f2b6eab92a02d56308a31e0d34299be2fa82dcf331db
ENG1,Hull City,3008,Ilyas Ansah,1035765,2004-11-08,REVIEW_REQUIRED,DFB roster contradicts current Transfermarkt affiliation,AMBIGUOUS,PERMANENT,1376348,917532,277769,276372,https://www.transfermarkt.de/hull-city/kader/verein/3008/saison_id/2026/plus/1,95d27e3b77eef2306101f2b6eab92a02d56308a31e0d34299be2fa82dcf331db
ENG1,Ipswich Town,677,David Button,61814,1989-02-27,REVIEW_REQUIRED,Missing/expired contract or unverified effective date,UNCHANGED,UNVERIFIED,917538,917538,261476,173533,https://www.transfermarkt.de/ipswich-town/kader/verein/677/saison_id/2026/plus/1,27c77a20084b00ebf1368072929c14c023348a25975bceca8389e69766b037af
