league,club,club_tm_id,player,player_tm_id,dob,position,shirt_number,joined,contract_until,change_notes,profile_url,source_status,database_action,source,source_sha256,snapshot_date
ENG1,Arsenal,11,David Raya,262749,1995-09-15,Torwart,1,2024-07-04,2028-06-30,[],https://www.transfermarkt.de/david-raya/profil/spieler/262749,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,2026-09-12
ENG1,Arsenal,11,Illan Meslier,542586,2000-03-02,Torwart,30,2026-07-09,2028-06-30,"[""Neuzugang von: Leeds United; Datum: 09.07.2026; Ablöse: ablösefrei""]",https://www.transfermarkt.de/illan-meslier/profil/spieler/542586,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,2026-09-12
ENG1,Arsenal,11,Kepa Arrizabalaga,192279,1994-10-03,Torwart,13,2025-07-01,2028-06-30,[],https://www.transfermarkt.de/kepa-arrizabalaga/profil/spieler/192279,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,2026-09-12
ENG1,Arsenal,11,William Saliba,495666,2001-03-24,Innenverteidiger,2,2019-07-25,2030-06-30,[],https://www.transfermarkt.de/william-saliba/profil/spieler/495666,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,2026-09-12
ENG1,Arsenal,11,Gabriel,435338,1997-12-19,Innenverteidiger,6,2020-09-01,2029-06-30,[],https://www.transfermarkt.de/gabriel/profil/spieler/435338,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,2026-09-12
ENG1,Arsenal,11,Piero Hincapié,659813,2002-01-09,Innenverteidiger,5,2026-07-01,2031-06-30,"[""Neuzugang von: Bayer 04 Leverkusen; Datum: 01.07.2026; Ablöse: 40,00 Mio. €""]",https://www.transfermarkt.de/piero-hincapie/profil/spieler/659813,CONFIRMED,REVIEW_REQUIRED,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,2026-09-12
ENG1,Arsenal,11,Ezri Konsa,413403,1997-10-23,Innenverteidiger,15,2026-08-21,,"[""Neuzugang von: Aston Villa; Datum: 21.08.2026; Ablöse: 59,60 Mio. €""]",https://www.transfermarkt.de/ezri-konsa/profil/spieler/413403,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,2026-09-12
ENG1,Arsenal,11,Cristhian Mosquera,646750,2004-06-27,Innenverteidiger,3,2025-07-24,2030-06-30,[],https://www.transfermarkt.de/cristhian-mosquera/profil/spieler/646750,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,2026-09-12
ENG1,Arsenal,11,Riccardo Calafiori,502821,2002-05-19,Linker Verteidiger,33,2024-07-29,2029-06-30,[],https://www.transfermarkt.de/riccardo-calafiori/profil/spieler/502821,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,2026-09-12
ENG1,Arsenal,11,Jurriën Timber,420243,2001-06-17,Rechter Verteidiger,12,2023-07-14,2028-06-30,[],https://www.transfermarkt.de/jurrien-timber/profil/spieler/420243,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,2026-09-12
ENG1,Arsenal,11,Ben White,335721,1997-10-08,Rechter Verteidiger,4,2021-07-30,2028-06-30,[],https://www.transfermarkt.de/ben-white/profil/spieler/335721,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,2026-09-12
ENG1,Arsenal,11,Martín Zubimendi,423440,1999-02-02,Defensives Mittelfeld,36,2025-07-06,2030-06-30,[],https://www.transfermarkt.de/martin-zubimendi/profil/spieler/423440,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,2026-09-12
ENG1,Arsenal,11,Myles Lewis-Skelly,890721,2006-09-26,Defensives Mittelfeld,49,2024-07-01,2030-06-30,[],https://www.transfermarkt.de/myles-lewis-skelly/profil/spieler/890721,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,2026-09-12
ENG1,Arsenal,11,Declan Rice,357662,1999-01-14,Zentrales Mittelfeld,41,2023-07-15,2028-06-30,[],https://www.transfermarkt.de/declan-rice/profil/spieler/357662,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,2026-09-12
ENG1,Arsenal,11,Bruno Guimarães,520624,1997-11-16,Zentrales Mittelfeld,39,2026-08-08,2030-06-30,"[""Neuzugang von: Newcastle United; Datum: 08.08.2026; Ablöse: 87,50 Mio. €""]",https://www.transfermarkt.de/bruno-guimaraes/profil/spieler/520624,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,2026-09-12
ENG1,Arsenal,11,Mikel Merino,338424,1996-06-22,Zentrales Mittelfeld,23,2024-08-27,2028-06-30,[],https://www.transfermarkt.de/mikel-merino/profil/spieler/338424,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,2026-09-12
ENG1,Arsenal,11,Martin Ødegaard,316264,1998-12-17,Offensives Mittelfeld,8,2021-08-20,2028-06-30,[],https://www.transfermarkt.de/martin-odegaard/profil/spieler/316264,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,2026-09-12
ENG1,Arsenal,11,Eberechi Eze,479999,1998-06-29,Offensives Mittelfeld,10,2025-08-23,2029-06-30,[],https://www.transfermarkt.de/eberechi-eze/profil/spieler/479999,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,2026-09-12
ENG1,Arsenal,11,Christos Tzolis,451677,2002-01-30,Linksaußen,17,2026-07-23,2031-06-30,"[""Neuzugang von: Club Brügge; Datum: 23.07.2026; Ablöse: 40,00 Mio. €""]",https://www.transfermarkt.de/christos-tzolis/profil/spieler/451677,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,2026-09-12
ENG1,Arsenal,11,Bukayo Saka,433177,2001-09-05,Rechtsaußen,7,2019-07-01,2030-06-30,[],https://www.transfermarkt.de/bukayo-saka/profil/spieler/433177,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,2026-09-12
ENG1,Arsenal,11,Noni Madueke,503987,2002-03-10,Rechtsaußen,20,2025-07-18,2030-06-30,[],https://www.transfermarkt.de/noni-madueke/profil/spieler/503987,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,2026-09-12
ENG1,Arsenal,11,Max Dowman,1187629,2009-12-31,Rechtsaußen,56,2025-07-01,,[],https://www.transfermarkt.de/max-dowman/profil/spieler/1187629,CONFIRMED,REVIEW_REQUIRED,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,2026-09-12
ENG1,Arsenal,11,Viktor Gyökeres,325443,1998-06-04,Mittelstürmer,14,2025-07-26,2030-06-30,[],https://www.transfermarkt.de/viktor-gyokeres/profil/spieler/325443,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,2026-09-12
ENG1,Arsenal,11,Kai Havertz,309400,1999-06-11,Mittelstürmer,29,2023-07-01,2028-06-30,[],https://www.transfermarkt.de/kai-havertz/profil/spieler/309400,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/fc-arsenal/kader/verein/11/saison_id/2026/plus/1,0a651bf929057db7f1dbbe4529cc7f612bb8971a26a0e97c6367450f71960375,2026-09-12
ENG1,Aston Villa,405,Zion Suzuki,432298,2002-08-21,Torwart,1,2026-08-19,,"[""Neuzugang von: Parma Calcio 1913; Datum: 19.08.2026; Ablöse: 30,00 Mio. €""]",https://www.transfermarkt.de/zion-suzuki/profil/spieler/432298,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d,2026-09-12
ENG1,Aston Villa,405,Marco Bizot,124884,1991-03-10,Torwart,40,2025-07-15,2027-06-30,[],https://www.transfermarkt.de/marco-bizot/profil/spieler/124884,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d,2026-09-12
ENG1,Aston Villa,405,James Wright,712181,2004-12-02,Torwart,42,2026-07-01,,"[""Interner Wechsel: Aston Villa U21; Datum: 01.07.2026""]",https://www.transfermarkt.de/james-wright/profil/spieler/712181,CONFIRMED,REVIEW_REQUIRED,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d,2026-09-12
ENG1,Aston Villa,405,Taylor Harwood-Bellis,503977,2002-01-30,Innenverteidiger,4,2026-09-01,,"[""Neuzugang von: FC Southampton; Datum: 01.09.2026; Ablöse: 29,20 Mio. €""]",https://www.transfermarkt.de/taylor-harwood-bellis/profil/spieler/503977,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d,2026-09-12
ENG1,Aston Villa,405,Pau Torres,399776,1997-01-16,Innenverteidiger,14,2023-07-12,2028-06-30,[],https://www.transfermarkt.de/pau-torres/profil/spieler/399776,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d,2026-09-12
ENG1,Aston Villa,405,Modou Kéba Cissé,1282860,2005-08-04,Innenverteidiger,48,2026-07-01,2029-06-30,"[""Neuzugang von: LASK; Datum: 01.07.2026; Ablöse: 5,50 Mio. €""]",https://www.transfermarkt.de/modou-keba-cisse/profil/spieler/1282860,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d,2026-09-12
ENG1,Aston Villa,405,Victor Lindelöf,184573,1994-07-17,Innenverteidiger,3,2025-09-01,2027-06-30,[],https://www.transfermarkt.de/victor-lindelof/profil/spieler/184573,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d,2026-09-12
ENG1,Aston Villa,405,Tyrone Mings,253677,1993-03-13,Innenverteidiger,5,2019-07-08,2027-06-30,[],https://www.transfermarkt.de/tyrone-mings/profil/spieler/253677,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d,2026-09-12
ENG1,Aston Villa,405,Ian Maatsen,485585,2002-03-10,Linker Verteidiger,22,2024-07-01,2030-06-30,[],https://www.transfermarkt.de/ian-maatsen/profil/spieler/485585,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d,2026-09-12
ENG1,Aston Villa,405,Matteo Ruggeri,616631,2002-07-11,Linker Verteidiger,13,2026-08-19,,"[""Neuzugang von: Atlético Madrid; Datum: 19.08.2026; Ablöse: 25,00 Mio. €""]",https://www.transfermarkt.de/matteo-ruggeri/profil/spieler/616631,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d,2026-09-12
ENG1,Aston Villa,405,Matty Cash,425334,1997-08-07,Rechter Verteidiger,2,2020-09-03,2029-06-30,[],https://www.transfermarkt.de/matty-cash/profil/spieler/425334,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d,2026-09-12
ENG1,Aston Villa,405,Aaron Wan-Bissaka,477758,1997-11-26,Rechter Verteidiger,29,2026-08-21,2027-06-30,[],https://www.transfermarkt.de/aaron-wan-bissaka/profil/spieler/477758,CONFIRMED,REVIEW_REQUIRED,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d,2026-09-12
ENG1,Aston Villa,405,Amadou Onana,485706,2001-08-16,Defensives Mittelfeld,24,2024-07-22,2029-06-30,[],https://www.transfermarkt.de/amadou-onana/profil/spieler/485706,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d,2026-09-12
ENG1,Aston Villa,405,Boubacar Kamara,394327,1999-11-23,Defensives Mittelfeld,8,2022-07-01,2030-06-30,[],https://www.transfermarkt.de/boubacar-kamara/profil/spieler/394327,CONFIRMED,STAGE_CURRENT_SQUAD,https://www.transfermarkt.de/aston-villa/kader/verein/405/saison_id/2026/plus/1,66b9b7fdd741084e821d291249f5bdc0fe382243be248d861c1137a95e82f15d,2026-09-12
