league,club,club_tm_id,players,status,source
BEL1,RSC Anderlecht,58,33,CAPTURED,https://www.transfermarkt.de/rsc-anderlecht/kader/verein/58/saison_id/2026/plus/1
BEL1,Royal Antwerpen FC,1096,31,CAPTURED,https://www.transfermarkt.de/royal-antwerpen-fc/kader/verein/1096/saison_id/2026/plus/1
BEL1,SK Beveren,28643,29,CAPTURED,https://www.transfermarkt.de/sk-beveren/kader/verein/28643/saison_id/2026/plus/1
BEL1,Cercle Brügge,520,29,CAPTURED,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1
BEL1,Royal Charleroi SC,172,25,CAPTURED,https://www.transfermarkt.de/royal-charleroi-sc/kader/verein/172/saison_id/2026/plus/1
BEL1,Club Brügge,2282,28,CAPTURED,https://www.transfermarkt.de/club-brugge/kader/verein/2282/saison_id/2026/plus/1
BEL1,KRC Genk,1184,31,CAPTURED,https://www.transfermarkt.de/krc-genk/kader/verein/1184/saison_id/2026/plus/1
BEL1,KAA Gent,157,33,CAPTURED,https://www.transfermarkt.de/kaa-gent/kader/verein/157/saison_id/2026/plus/1
BEL1,KV Kortrijk,601,30,CAPTURED,https://www.transfermarkt.de/kv-kortrijk/kader/verein/601/saison_id/2026/plus/1
BEL1,RAAL La Louvière,3901,28,CAPTURED,https://www.transfermarkt.de/raal-la-louviere/kader/verein/3901/saison_id/2026/plus/1
BEL1,Lommel SK,5026,29,CAPTURED,https://www.transfermarkt.de/lommel-sk/kader/verein/5026/saison_id/2026/plus/1
BEL1,KV Mechelen,354,34,CAPTURED,https://www.transfermarkt.de/kv-mechelen/kader/verein/354/saison_id/2026/plus/1
BEL1,Oud-Heverlee Leuven,2727,34,CAPTURED,https://www.transfermarkt.de/oud-heverlee-leuven/kader/verein/2727/saison_id/2026/plus/1
BEL1,VV St. Truiden,475,27,CAPTURED,https://www.transfermarkt.de/vv-st-truiden/kader/verein/475/saison_id/2026/plus/1
BEL1,Standard Lüttich,3057,27,CAPTURED,https://www.transfermarkt.de/standard-luttich/kader/verein/3057/saison_id/2026/plus/1
BEL1,Union Saint-Gilloise,3948,26,CAPTURED,https://www.transfermarkt.de/union-saint-gilloise/kader/verein/3948/saison_id/2026/plus/1
BEL1,KVC Westerlo,968,31,CAPTURED,https://www.transfermarkt.de/kvc-westerlo/kader/verein/968/saison_id/2026/plus/1
BEL1,Zulte Waregem,3508,27,CAPTURED,https://www.transfermarkt.de/zulte-waregem/kader/verein/3508/saison_id/2026/plus/1
CZE1,SK Slavia Prag,62,29,CAPTURED,https://www.transfermarkt.de/sk-slavia-prag/kader/verein/62/saison_id/2026/plus/1
CZE1,AC Sparta Prag,197,30,CAPTURED,https://www.transfermarkt.de/ac-sparta-prag/kader/verein/197/saison_id/2026/plus/1
CZE1,FC Viktoria Pilsen,941,29,CAPTURED,https://www.transfermarkt.de/fc-viktoria-pilsen/kader/verein/941/saison_id/2026/plus/1
CZE1,FC Hradec Kralove,1897,27,CAPTURED,https://www.transfermarkt.de/fc-hradec-kralove/kader/verein/1897/saison_id/2026/plus/1
CZE1,FK Jablonec,1322,29,CAPTURED,https://www.transfermarkt.de/fk-jablonec/kader/verein/1322/saison_id/2026/plus/1
CZE1,FC Slovan Liberec,697,31,CAPTURED,https://www.transfermarkt.de/fc-slovan-liberec/kader/verein/697/saison_id/2026/plus/1
CZE1,SK Sigma Olmütz,2311,32,CAPTURED,https://www.transfermarkt.de/sk-sigma-olmutz/kader/verein/2311/saison_id/2026/plus/1
CZE1,FK Pardubice,1496,32,CAPTURED,https://www.transfermarkt.de/fk-pardubice/kader/verein/1496/saison_id/2026/plus/1
CZE1,Bohemians Prag 1905,715,30,CAPTURED,https://www.transfermarkt.de/bohemians-prag-1905/kader/verein/715/saison_id/2026/plus/1
CZE1,FK Teplice,814,32,CAPTURED,https://www.transfermarkt.de/fk-teplice/kader/verein/814/saison_id/2026/plus/1
CZE1,FC Zlin,5545,33,CAPTURED,https://www.transfermarkt.de/fc-zlin/kader/verein/5545/saison_id/2026/plus/1
CZE1,FK Mlada Boleslav,5546,30,CAPTURED,https://www.transfermarkt.de/fk-mlada-boleslav/kader/verein/5546/saison_id/2026/plus/1
CZE1,1.FC Slovacko,5544,30,CAPTURED,https://www.transfermarkt.de/1-fc-slovacko/kader/verein/5544/saison_id/2026/plus/1
CZE1,FC Banik Ostrau,377,26,CAPTURED,https://www.transfermarkt.de/fc-banik-ostrau/kader/verein/377/saison_id/2026/plus/1
CZE1,FC Zbrojovka Brünn,5225,31,CAPTURED,https://www.transfermarkt.de/fc-zbrojovka-brunn/kader/verein/5225/saison_id/2026/plus/1
CZE1,SK Artis Brünn,24325,34,CAPTURED,https://www.transfermarkt.de/sk-artis-brunn/kader/verein/24325/saison_id/2026/plus/1
ESP1,FC Barcelona,131,27,CAPTURED,https://www.transfermarkt.de/fc-barcelona/kader/verein/131/saison_id/2026/plus/1
ESP1,Real Madrid,418,27,CAPTURED,https://www.transfermarkt.de/real-madrid/kader/verein/418/saison_id/2026/plus/1
ESP1,FC Villarreal,1050,24,CAPTURED,https://www.transfermarkt.de/fc-villarreal/kader/verein/1050/saison_id/2026/plus/1
ESP1,Atlético Madrid,13,25,CAPTURED,https://www.transfermarkt.de/atletico-madrid/kader/verein/13/saison_id/2026/plus/1
ESP1,Real Betis Sevilla,150,25,CAPTURED,https://www.transfermarkt.de/real-betis-sevilla/kader/verein/150/saison_id/2026/plus/1
ESP1,Celta Vigo,940,25,CAPTURED,https://www.transfermarkt.de/celta-vigo/kader/verein/940/saison_id/2026/plus/1
ESP1,FC Getafe,3709,23,CAPTURED,https://www.transfermarkt.de/fc-getafe/kader/verein/3709/saison_id/2026/plus/1
ESP1,Rayo Vallecano,367,27,CAPTURED,https://www.transfermarkt.de/rayo-vallecano/kader/verein/367/saison_id/2026/plus/1
ESP1,FC Valencia,1049,27,CAPTURED,https://www.transfermarkt.de/fc-valencia/kader/verein/1049/saison_id/2026/plus/1
ESP1,Real Sociedad San Sebastián,681,24,CAPTURED,https://www.transfermarkt.de/real-sociedad-san-sebastian/kader/verein/681/saison_id/2026/plus/1
ESP1,Espanyol Barcelona,714,25,CAPTURED,https://www.transfermarkt.de/espanyol-barcelona/kader/verein/714/saison_id/2026/plus/1
ESP1,Athletic Bilbao,621,26,CAPTURED,https://www.transfermarkt.de/athletic-bilbao/kader/verein/621/saison_id/2026/plus/1
