player_tm_id,source_nationalities,native_nationality_ids,native_position,status,notes
1510005,Elfenbeinküste,[108],CM,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
1555142,Ghana,[117],ST,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
763090,Usbekistan,[191],RW,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
1473866,Senegal,[136],ST,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
1211302,Belgien,[7],AM,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
1492856,Senegal,[136],ST,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
1507561,Senegal,[136],CB,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
1318352,Belgien,[7],ST,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
839551,Tschechien,[12],DM,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
1153358,Japan,[163],ST,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
858324,Serbien,[51],CM,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
1467124,Elfenbeinküste,[108],ST,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
1013809,Tschechien,[12],AM,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
1381202,Nigeria,[133],ST,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
1052374,Ukraine,[49],CB,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
726014,Ukraine,[49],CB,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
1372149,Gambia,[116],CM,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
1237999,Ukraine,[49],CM,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
975321,Ägypten,[111],ST,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
175446,Spanien,[45],RB,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
639733,Spanien,[45],CF,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
1523861,Elfenbeinküste,[108],ST,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
272619,Frankreich,[18],GK,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
872171,Brasilien,[54],CB,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
669380,Griechenland,[22],CB,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
1078164,England Nigeria,"[14, 133]",CM,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
648541,Niederlande Italien,"[34, 27]",RB,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
810846,Deutschland Brasilien,"[21, 54]",GK,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
631404,Frankreich Haiti,"[18, 80]",CM,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
634430,Spanien,[45],ST,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
1077990,Portugal,[38],AM,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
1464920,Brasilien,[54],CB,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
537844,Ukraine,[49],GK,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
1534934,Portugal,[38],CM,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
567516,Portugal,[38],CM,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
1150372,Mexiko,[83],ST,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
724039,Griechenland,[22],ST,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
546186,Griechenland,[22],RB,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
211628,Marokko,[129],ST,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
584452,Griechenland,[22],CB,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
1154528,Südkorea,[167],LW,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
1582293,Portugal,[38],RW,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
1580906,Brasilien,[54],CB,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
811432,Martinique Frankreich,[18],ST,REVIEW_REQUIRED,Unsupported source nation: Martinique
1175619,Türkei,[48],GK,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
1577095,Elfenbeinküste,[108],AM,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
1303365,Türkei,[48],ST,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
1423296,Türkei,[48],GK,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
1438140,Türkei,[48],DM,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
662332,Brasilien,[54],ST,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
1304052,Türkei,[48],DM,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
1197999,Türkei,[48],GK,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
1581187,Türkei,[48],ST,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
1487376,Türkei,[48],CB,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
754037,Usbekistan,[191],RW,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
1178853,Türkei,[48],CB,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
1374186,Türkei,[48],RB,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
1414664,Senegal,[136],CB,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
1414677,Senegal,[136],ST,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
1489506,Guinea,[118],DM,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
191829,Griechenland,[22],CB,CONFIRMED,"Source order retained; native enum values, not serialized position codes."
