league,club_name,club_tm_id,player_tm_id,player,dob,nationality,native_country_id,position,club_id,contract_joined,contract_until,shirt_number,fifa_id,id_strategy,source_urls,source_hashes,confidence,zero_duplicate_proof,eligibility
BEL1,Royal Antwerpen FC,1096,1510005,Modibo Fofana,2007-11-03,Elfenbeinküste,,Mittelfeld - Zentrales Mittelfeld,458785,2026-07-01,2030-06-30,25,0,NATIVE_FIFA0_CREATE_AFTER_SOL_REVIEW,"[""https://www.transfermarkt.de/modibo-fofana/profil/spieler/1510005"", ""https://www.transfermarkt.de/royal-antwerpen-fc/kader/verein/1096/saison_id/2026/plus/1""]","[""aa3bdef89be8a8b2cb3d01eb14438b3570827c96f1309b1e1d66b3e829413c06"", ""eb2b5eea86d19deaf123189c966bf44bae4a2d94614134be4d229233c58d37aa""]",HIGH,"{""native_corpus"":""data/generated/native08-integrated-20260912-01-reread/native_players.csv"",""native_rows_searched"":266764,""exact_dob_name_candidates"":0,""duplicate_review_index_leads"":0,""fuzzy_candidates_threshold"":0.6,""fuzzy_candidates"":0,""names_searched"":[""Modibo Fofana""],""result"":""ZERO_DUPLICATE_CANDIDATES""}",ADULT_SCOPED_SQUAD_ZERO_DUPLICATE
BEL1,Royal Antwerpen FC,1096,1555142,Luis Narh,2007-12-25,Ghana,,Sturm - Mittelstürmer,458785,2026-07-01,2030-06-30,99,0,NATIVE_FIFA0_CREATE_AFTER_SOL_REVIEW,"[""https://www.transfermarkt.de/luis-narh/profil/spieler/1555142"", ""https://www.transfermarkt.de/royal-antwerpen-fc/kader/verein/1096/saison_id/2026/plus/1""]","[""9450cae04eacdbfe9b1b044bd585bbbee9f28605c86ad15f153d17d816675cbc"", ""eb2b5eea86d19deaf123189c966bf44bae4a2d94614134be4d229233c58d37aa""]",HIGH,"{""native_corpus"":""data/generated/native08-integrated-20260912-01-reread/native_players.csv"",""native_rows_searched"":266764,""exact_dob_name_candidates"":0,""duplicate_review_index_leads"":0,""fuzzy_candidates_threshold"":0.6,""fuzzy_candidates"":0,""names_searched"":[""Luis Narh""],""result"":""ZERO_DUPLICATE_CANDIDATES""}",ADULT_SCOPED_SQUAD_ZERO_DUPLICATE
BEL1,Royal Antwerpen FC,1096,763090,Муҳаммадали Бахтиёр ўғли Ўринбоев,2005-04-24,Usbekistan,,Sturm - Rechtsaußen,458785,2025-07-07,2029-06-30,19,0,NATIVE_FIFA0_CREATE_AFTER_SOL_REVIEW,"[""https://www.transfermarkt.de/mukhammadali-urinboev/profil/spieler/763090"", ""https://www.transfermarkt.de/royal-antwerpen-fc/kader/verein/1096/saison_id/2026/plus/1""]","[""f3cbeafaadb5d41bbb8fa837dccd3a2cd722f1be41afcfbfeb265266b343827f"", ""eb2b5eea86d19deaf123189c966bf44bae4a2d94614134be4d229233c58d37aa""]",HIGH,"{""native_corpus"":""data/generated/native08-integrated-20260912-01-reread/native_players.csv"",""native_rows_searched"":266764,""exact_dob_name_candidates"":0,""duplicate_review_index_leads"":0,""fuzzy_candidates_threshold"":0.6,""fuzzy_candidates"":0,""names_searched"":[""Mukhammadali Urinboev"",""Муҳаммадали Бахтиёр ўғли Ўринбоев""],""result"":""ZERO_DUPLICATE_CANDIDATES""}",ADULT_SCOPED_SQUAD_ZERO_DUPLICATE
BEL1,KAA Gent,157,1473866,Ibrahima Cissé,2007-09-24,Senegal,,Sturm - Mittelstürmer,458753,2026-07-01,2028-06-30,75,0,NATIVE_FIFA0_CREATE_AFTER_SOL_REVIEW,"[""https://www.transfermarkt.de/ibrahima-cisse/profil/spieler/1473866"", ""https://www.transfermarkt.de/kaa-gent/kader/verein/157/saison_id/2026/plus/1""]","[""962f8763e7843d37a826b84277a931df3b074eedeb4dc3750fb4d3cb7d1fe5a5"", ""a5b71d08783f71f42f77878fb8e7c874a9219213a9eb349e06a527ae5323fbd1""]",HIGH,"{""native_corpus"":""data/generated/native08-integrated-20260912-01-reread/native_players.csv"",""native_rows_searched"":266764,""exact_dob_name_candidates"":0,""duplicate_review_index_leads"":0,""fuzzy_candidates_threshold"":0.6,""fuzzy_candidates"":0,""names_searched"":[""Ibrahima Cissé""],""result"":""ZERO_DUPLICATE_CANDIDATES""}",ADULT_SCOPED_SQUAD_ZERO_DUPLICATE
BEL1,Oud-Heverlee Leuven,2727,1211302,Matteo Heremans,2006-01-08,Belgien,,Mittelfeld - Offensives Mittelfeld,458775,2026-07-01,2027-06-30,80,0,NATIVE_FIFA0_CREATE_AFTER_SOL_REVIEW,"[""https://www.transfermarkt.de/matteo-heremans/profil/spieler/1211302"", ""https://www.transfermarkt.de/oud-heverlee-leuven/kader/verein/2727/saison_id/2026/plus/1""]","[""992d51f9e5521fa8a0ad096d973e2ae9eb52d600a8ad4e951d93ce82ca4dd650"", ""13369b1472ae4137934608499f3a290781d8b7a96223b8e0488ea6f56621495e""]",HIGH,"{""native_corpus"":""data/generated/native08-integrated-20260912-01-reread/native_players.csv"",""native_rows_searched"":266764,""exact_dob_name_candidates"":0,""duplicate_review_index_leads"":0,""fuzzy_candidates_threshold"":0.6,""fuzzy_candidates"":0,""names_searched"":[""Matteo Heremans""],""result"":""ZERO_DUPLICATE_CANDIDATES""}",ADULT_SCOPED_SQUAD_ZERO_DUPLICATE
BEL1,SK Beveren,28643,1492856,Raymond Junior Devis Diouf,2007-08-16,Senegal,,Sturm - Mittelstürmer,458788,2026-02-26,2028-06-30,11,0,NATIVE_FIFA0_CREATE_AFTER_SOL_REVIEW,"[""https://www.transfermarkt.de/junior-diouf/profil/spieler/1492856"", ""https://www.transfermarkt.de/sk-beveren/kader/verein/28643/saison_id/2026/plus/1""]","[""ee8768f4049a7eab2621a80f0b7e50dd4ee882eeae447cbd3f43d0458f1ab5d7"", ""7bd09a7ce8449fd8a09e77af941f3d0069233ed39a454f5073c6ab7bfe083ae7""]",HIGH,"{""native_corpus"":""data/generated/native08-integrated-20260912-01-reread/native_players.csv"",""native_rows_searched"":266764,""exact_dob_name_candidates"":0,""duplicate_review_index_leads"":0,""fuzzy_candidates_threshold"":0.6,""fuzzy_candidates"":0,""names_searched"":[""Junior Diouf"",""Raymond Junior Devis Diouf""],""result"":""ZERO_DUPLICATE_CANDIDATES""}",ADULT_SCOPED_SQUAD_ZERO_DUPLICATE
BEL1,Zulte Waregem,3508,1507561,Mouhamadou Yoro Sall,2007-10-21,Senegal,,Abwehr - Innenverteidiger,458782,2026-01-27,2028-06-30,24,0,NATIVE_FIFA0_CREATE_AFTER_SOL_REVIEW,"[""https://www.transfermarkt.de/mouhamadou-sall/profil/spieler/1507561"", ""https://www.transfermarkt.de/zulte-waregem/kader/verein/3508/saison_id/2026/plus/1""]","[""475f80c7ffb6b3c585765053fd43b35bbad380e1d60831782067a08b7f0740db"", ""0acbb0eca1723445958969f80be44f59778e527ba0095de244c35e56e3b9068e""]",HIGH,"{""native_corpus"":""data/generated/native08-integrated-20260912-01-reread/native_players.csv"",""native_rows_searched"":266764,""exact_dob_name_candidates"":0,""duplicate_review_index_leads"":0,""fuzzy_candidates_threshold"":0.6,""fuzzy_candidates"":0,""names_searched"":[""Mouhamadou Sall"",""Mouhamadou Yoro Sall""],""result"":""ZERO_DUPLICATE_CANDIDATES""}",ADULT_SCOPED_SQUAD_ZERO_DUPLICATE
BEL1,KV Mechelen,354,1318352,Malcolm Bendele Lohunanu-Mbasi,2008-05-11,Belgien,,Sturm - Mittelstürmer,458787,2026-07-01,2028-06-30,19,0,NATIVE_FIFA0_CREATE_AFTER_SOL_REVIEW,"[""https://www.transfermarkt.de/malcolm-lohunanu-mbasi/profil/spieler/1318352"", ""https://www.transfermarkt.de/kv-mechelen/kader/verein/354/saison_id/2026/plus/1""]","[""7fa78f1dbc32d0d993fd650d90615a86dcc0e0c822ed09f35739f840b995e4e2"", ""def54d86d9d3b7a97807ef82c6b867bdf78c5b32694c9ea844fc271b85c916a5""]",HIGH,"{""native_corpus"":""data/generated/native08-integrated-20260912-01-reread/native_players.csv"",""native_rows_searched"":266764,""exact_dob_name_candidates"":0,""duplicate_review_index_leads"":0,""fuzzy_candidates_threshold"":0.6,""fuzzy_candidates"":0,""names_searched"":[""Malcolm Lohunanu-Mbasi"",""Malcolm Bendele Lohunanu-Mbasi""],""result"":""ZERO_DUPLICATE_CANDIDATES""}",ADULT_SCOPED_SQUAD_ZERO_DUPLICATE
BEL1,Union Saint-Gilloise,3948,839551,Ondřej Kričfaluši,2004-03-09,Tschechien,,Mittelfeld - Defensives Mittelfeld,458780,2026-07-01,2030-06-30,80,0,NATIVE_FIFA0_CREATE_AFTER_SOL_REVIEW,"[""https://www.transfermarkt.de/ondrej-kricfalusi/profil/spieler/839551"", ""https://www.transfermarkt.de/union-saint-gilloise/kader/verein/3948/saison_id/2026/plus/1""]","[""ddff822ca38b5b072162f8b442ad5ae213100c1ecb6d17b00bcdc2c284d04d99"", ""6678f90f37564c9f8683b893f1bf4bed395816093e2ee4489ebbda3dc900e98e""]",HIGH,"{""native_corpus"":""data/generated/native08-integrated-20260912-01-reread/native_players.csv"",""native_rows_searched"":266764,""exact_dob_name_candidates"":0,""duplicate_review_index_leads"":0,""fuzzy_candidates_threshold"":0.6,""fuzzy_candidates"":0,""names_searched"":[""Ondrej Kricfalusi"",""Ondřej Kričfaluši""],""result"":""ZERO_DUPLICATE_CANDIDATES""}",ADULT_SCOPED_SQUAD_ZERO_DUPLICATE
BEL1,VV St. Truiden,475,1153358,新川 志音,2007-08-06,Japan,,Sturm - Mittelstürmer,458759,2026-01-16,2029-06-30,99,0,NATIVE_FIFA0_CREATE_AFTER_SOL_REVIEW,"[""https://www.transfermarkt.de/shion-shinkawa/profil/spieler/1153358"", ""https://www.transfermarkt.de/vv-st-truiden/kader/verein/475/saison_id/2026/plus/1""]","[""bc580aeb52c778092300ea46eab8670e423ce11176b3684fe88417c19157910f"", ""c0e976a963b2c1507ec52e39bab62ae405f89e7c2149e5b8ecc88e56b4f6ff7a""]",HIGH,"{""native_corpus"":""data/generated/native08-integrated-20260912-01-reread/native_players.csv"",""native_rows_searched"":266764,""exact_dob_name_candidates"":0,""duplicate_review_index_leads"":0,""fuzzy_candidates_threshold"":0.6,""fuzzy_candidates"":0,""names_searched"":[""Shion Shinkawa"",""新川 志音""],""result"":""ZERO_DUPLICATE_CANDIDATES""}",ADULT_SCOPED_SQUAD_ZERO_DUPLICATE
