league,club,player_tm_id,source_player_name,dob,native_fm_id,native_fifa_id,native_name,native_dob,native_club_id,target_club_id,status,identity_method,source_url,source_sha256,queue_source,queue_source_sha256,provenance
BEL1,KVC Westerlo,124182,Sergiy Sydorchuk,1991-05-02,235622,220948,Serhiy Sydorchuk,1991-05-02,458763,458763,CONFIRMED,EXISTING_OVERRIDE_FIFA_DOB,https://www.transfermarkt.de/sergiy-sydorchuk/profil/spieler/124182,25c262ed0f35ff0b4d7a14c09436ea19beedd0bd09c5d2f85b8e8bbcb6779a08,https://www.transfermarkt.de/kvc-westerlo/kader/verein/968/saison_id/2026/plus/1,4b321535def794641a57896ea3b395b11fb16964a25bb51fab6f75bf5e2a3382,Fresh profile https://www.transfermarkt.de/sergiy-sydorchuk/profil/spieler/124182 sha256=25c262ed0f35ff0b4d7a14c09436ea19beedd0bd09c5d2f85b8e8bbcb6779a08; Native08 reread current FIFA+DOB/name bridge via EXISTING_OVERRIDE_FIFA_DOB; no FM-only bridge.
FRA1,AS Monaco,263918,Aleksandr Golovin,1996-05-30,284473,225663,Alexandr Golovin,1996-05-30,1179655,1179655,CONFIRMED,EXISTING_OVERRIDE_FIFA_DOB,https://www.transfermarkt.de/aleksandr-golovin/profil/spieler/263918,21e5278d681e3983c591ac61a436f49029d542ba13ac9f753ec45cb56bc99dd7,https://www.transfermarkt.de/as-monaco/kader/verein/162/saison_id/2026/plus/1,817e580f3e85d6c1f9a5e667dc7e20a43281747a6e7686ccc15a288667f05712,Fresh profile https://www.transfermarkt.de/aleksandr-golovin/profil/spieler/263918 sha256=21e5278d681e3983c591ac61a436f49029d542ba13ac9f753ec45cb56bc99dd7; Native08 reread current FIFA+DOB/name bridge via EXISTING_OVERRIDE_FIFA_DOB; no FM-only bridge.
ITA1,SSC Neapel,354361,Frank Anguissa,1995-11-16,281880,227236,André-Franck Anguissa,1995-11-16,1769517,1769517,CONFIRMED,EXISTING_OVERRIDE_FIFA_DOB,https://www.transfermarkt.de/frank-anguissa/profil/spieler/354361,9af496f58d98055ac5d93f02f0999e51acc9a3e96a669bb69a6133d0fddeb573,https://www.transfermarkt.de/ssc-neapel/kader/verein/6195/saison_id/2026/plus/1,b2cda600bc2f672ad88ae2275b431e7265880decd3175ca6d6b680cc4e2bb742,Fresh profile https://www.transfermarkt.de/frank-anguissa/profil/spieler/354361 sha256=9af496f58d98055ac5d93f02f0999e51acc9a3e96a669bb69a6133d0fddeb573; Native08 reread current FIFA+DOB/name bridge via EXISTING_OVERRIDE_FIFA_DOB; no FM-only bridge.
CZE1,AC Sparta Prag,430310,Andrew Irving,2000-05-13,263498,242271,Andy Irving,2000-05-13,786442,786442,CONFIRMED,EXISTING_OVERRIDE_FIFA_DOB,https://www.transfermarkt.de/andrew-irving/profil/spieler/430310,0f93a702253caef6b4ae28dcc27574bb617b109aab5c8f16199494cb4e73231a,https://www.transfermarkt.de/ac-sparta-prag/kader/verein/197/saison_id/2026/plus/1,6b74c895ae1857517e5325904312eb2643155a1ddb4be2ba7e884a9840dcea35,Fresh profile https://www.transfermarkt.de/andrew-irving/profil/spieler/430310 sha256=0f93a702253caef6b4ae28dcc27574bb617b109aab5c8f16199494cb4e73231a; Native08 reread current FIFA+DOB/name bridge via EXISTING_OVERRIDE_FIFA_DOB; no FM-only bridge.
FRA1,FC Toulouse,467632,Cristian Cásseres Jr.,2000-01-20,291078,242534,Cristian Cásseres,2000-01-20,1179657,1179657,CONFIRMED,CONTROLLED_NAME_VARIANT,https://www.transfermarkt.de/cristian-casseres-jr-/profil/spieler/467632,9711887d5dfb4b2ceba3234519a7af878ce5e4f416eddcc748a16f773094d1e9,https://www.transfermarkt.de/fc-toulouse/kader/verein/415/saison_id/2026/plus/1,d434d63fc06ac1f14a7f835fa1f97d5282df684c350fe0b4b6cc6270c93f45a3,Fresh profile https://www.transfermarkt.de/cristian-casseres-jr-/profil/spieler/467632 sha256=9711887d5dfb4b2ceba3234519a7af878ce5e4f416eddcc748a16f773094d1e9; Native08 reread current FIFA+DOB/name bridge via CONTROLLED_NAME_VARIANT; no FM-only bridge.
ESP1,FC Getafe,559979,Abdel Abqar,1999-03-10,282853,245628,Abdelkabir Abqar,1999-03-10,2949126,2949126,CONFIRMED,EXISTING_OVERRIDE_FIFA_DOB,https://www.transfermarkt.de/abdel-abqar/profil/spieler/559979,5c5494e3e2cd87c09cac1a039838bb0dc87fd97e7543d40ba74e611dfdc087d0,https://www.transfermarkt.de/fc-getafe/kader/verein/3709/saison_id/2026/plus/1,733081d02db38585b58208fae5214e80f1ffeb79b42abc55fef628b12ddbbcfa,Fresh profile https://www.transfermarkt.de/abdel-abqar/profil/spieler/559979 sha256=5c5494e3e2cd87c09cac1a039838bb0dc87fd97e7543d40ba74e611dfdc087d0; Native08 reread current FIFA+DOB/name bridge via EXISTING_OVERRIDE_FIFA_DOB; no FM-only bridge.
ITA1,US Sassuolo,646747,Rafa Obrador,2004-02-24,288134,258507,Rafael Obrador,2004-02-24,1769542,1769542,CONFIRMED,EXISTING_OVERRIDE_FIFA_DOB,https://www.transfermarkt.de/rafa-obrador/profil/spieler/646747,9c5601247840f733b2ae3830abd99283c4b9c90a99f0b08f2daf54e62acf59fe,https://www.transfermarkt.de/us-sassuolo/kader/verein/6574/saison_id/2026/plus/1,686b0eaeb9362b4d66f8cc3a3779bc587286eed50ca422d498380ecfd974ed38,Fresh profile https://www.transfermarkt.de/rafa-obrador/profil/spieler/646747 sha256=9c5601247840f733b2ae3830abd99283c4b9c90a99f0b08f2daf54e62acf59fe; Native08 reread current FIFA+DOB/name bridge via EXISTING_OVERRIDE_FIFA_DOB; no FM-only bridge.
FRA1,Paris Saint-Germain,659089,Ilya Zabarnyi,2002-09-01,283458,258781,Illia Zabarnyi,2002-09-01,1179663,1179663,CONFIRMED,EXISTING_OVERRIDE_FIFA_DOB,https://www.transfermarkt.de/ilya-zabarnyi/profil/spieler/659089,dd782adc5f5886841580b61dec484070fcb6846c2304b2373fb41ec33e86b024,https://www.transfermarkt.de/paris-saint-germain/kader/verein/583/saison_id/2026/plus/1,2452d2a339d5db63bfbc01cd73c713435dedf75dc1ae9d023fcd82491e789d9d,Fresh profile https://www.transfermarkt.de/ilya-zabarnyi/profil/spieler/659089 sha256=dd782adc5f5886841580b61dec484070fcb6846c2304b2373fb41ec33e86b024; Native08 reread current FIFA+DOB/name bridge via EXISTING_OVERRIDE_FIFA_DOB; no FM-only bridge.
POR1,Vitória Guimarães SC,666539,Beni Mukendi,2002-05-21,286629,273840,Benedito Mukendi,2002-05-21,2490397,2490397,CONFIRMED,EXISTING_OVERRIDE_FIFA_DOB,https://www.transfermarkt.de/beni-mukendi/profil/spieler/666539,2af1a70d4257929c27316391678c13a76fbaf27c0774a4aaafcd97422fca2d7f,https://www.transfermarkt.de/vitoria-guimaraes-sc/kader/verein/2420/saison_id/2026/plus/1,d099b13b522be7fac0425b4aea5d56eb91b99f04255377a276820a33f184d54a,Fresh profile https://www.transfermarkt.de/beni-mukendi/profil/spieler/666539 sha256=2af1a70d4257929c27316391678c13a76fbaf27c0774a4aaafcd97422fca2d7f; Native08 reread current FIFA+DOB/name bridge via EXISTING_OVERRIDE_FIFA_DOB; no FM-only bridge.
TUR1,Galatasaray,720286,Aleksey Batrakov,2005-06-09,171071,0,Alexey Batrakov,2005-06-09,3145825,3145825,CONFIRMED,EXISTING_OVERRIDE_NAME_DOB,https://www.transfermarkt.de/aleksey-batrakov/profil/spieler/720286,9a90d99057eef48c23cb16cc0c3f9c4207cb2710f709eef35489bb0a117f80bf,https://www.transfermarkt.de/galatasaray/kader/verein/141/saison_id/2026/plus/1,66f1195fdd6d32bc947bb726ca4925adf5e39b928cebbb291569108f880a8f16,Fresh profile https://www.transfermarkt.de/aleksey-batrakov/profil/spieler/720286 sha256=9a90d99057eef48c23cb16cc0c3f9c4207cb2710f709eef35489bb0a117f80bf; Native08 reread current FIFA+DOB/name bridge via EXISTING_OVERRIDE_NAME_DOB; no FM-only bridge.
POR1,CD Nacional,746358,Daniel Jr,2002-05-09,286838,80885,Daniel Júnior,2002-05-09,2490378,2490378,CONFIRMED,CONTROLLED_NAME_VARIANT,https://www.transfermarkt.de/daniel-jr/profil/spieler/746358,77e1076ae4b957be2ee46748279e81e70c08a84bbb417c5cabda93a5f363f946,https://www.transfermarkt.de/cd-nacional/kader/verein/982/saison_id/2026/plus/1,85c1a326ea7d9109ff431c2a95c9c0488100e0183b1e7c799d926c40ecb8dba6,Fresh profile https://www.transfermarkt.de/daniel-jr/profil/spieler/746358 sha256=77e1076ae4b957be2ee46748279e81e70c08a84bbb417c5cabda93a5f363f946; Native08 reread current FIFA+DOB/name bridge via CONTROLLED_NAME_VARIANT; no FM-only bridge.
