league,club,club_tm_id,player_tm_id,source_player_name,profile_name,dob,native_fm_id,native_fifa_id,native_name,native_dob,native_club_id,target_club_id,status,identity_method,attempts,escalation,source_url,source_sha256,queue_source,queue_source_sha256,profile_retrieved_at,snapshot_date,provenance,candidate_fm_id,candidate_fifa_id,candidate_name,candidate_club_id
BEL1,Cercle Brügge,520,1086381,Erick Nunes,Erick Nunes,2004-02-29,,,,,,458755,REVIEW_REQUIRED,REVIEW_REQUIRED_AFTER_TWO_ATTEMPTS,fresh_profile_capture:NO_MATCH;native08_bridge:NO_UNIQUE_MATCH,Sol,https://www.transfermarkt.de/erick-nunes/profil/spieler/1086381,652cb2588f81bafc1d6ec1b37e98d4be542542a9ac03a88da6fe325742373258,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12T20:10:35.506342+00:00,2026-09-12,Transfermarkt profile https://www.transfermarkt.de/erick-nunes/profil/spieler/1086381 sha256=652cb2588f81bafc1d6ec1b37e98d4be542542a9ac03a88da6fe325742373258; Native08 reread C:/FM27CommunityOverhaul/data/generated/native08-integrated-20260912-01-reread/native_players.csv produced no safe unique identity,236115,70115,Erick,458755
BEL1,Cercle Brügge,520,923838,Steve Ngoura,Steve Eyrolle Ngoura,2005-02-22,,,,,,458755,REVIEW_REQUIRED,REVIEW_REQUIRED_AFTER_TWO_ATTEMPTS,fresh_profile_capture:NO_MATCH;native08_bridge:NO_UNIQUE_MATCH,Sol,https://www.transfermarkt.de/steve-ngoura/profil/spieler/923838,801a7ec45ce0cebb70424af894a35433f00cd03a0c5f894a1aaee91470792df6,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12T20:30:25.243250+00:00,2026-09-12,Transfermarkt profile https://www.transfermarkt.de/steve-ngoura/profil/spieler/923838 sha256=801a7ec45ce0cebb70424af894a35433f00cd03a0c5f894a1aaee91470792df6; Native08 reread C:/FM27CommunityOverhaul/data/generated/native08-integrated-20260912-01-reread/native_players.csv produced no safe unique identity,236110,271256,Steve N'Goura,458755
BEL1,Cercle Brügge,520,993333,Bas Langenbick,Bas Langenbick,2003-06-16,,,,,,458755,REVIEW_REQUIRED,REVIEW_REQUIRED_AFTER_TWO_ATTEMPTS,fresh_profile_capture:NO_MATCH;native08_bridge:NO_UNIQUE_MATCH,Sol,https://www.transfermarkt.de/bas-langenbick/profil/spieler/993333,ebc502a2296e4beff2a886c4df64de3fa45df382e2cbff13fa91e1ed1bb56bd6,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12T20:09:58.489014+00:00,2026-09-12,Transfermarkt profile https://www.transfermarkt.de/bas-langenbick/profil/spieler/993333 sha256=ebc502a2296e4beff2a886c4df64de3fa45df382e2cbff13fa91e1ed1bb56bd6; Native08 reread C:/FM27CommunityOverhaul/data/generated/native08-integrated-20260912-01-reread/native_players.csv produced no safe unique identity,,,,
BEL1,Club Brügge,2282,1334900,Gianluca Okon-Engstler,Gianluca Tommaso	Okon-Engstler,2009-01-24,,,,,,458756,REVIEW_REQUIRED,REVIEW_REQUIRED_AFTER_TWO_ATTEMPTS,fresh_profile_capture:NO_MATCH;native08_bridge:NO_UNIQUE_MATCH,Sol,https://www.transfermarkt.de/gianluca-okon-engstler/profil/spieler/1334900,592070b80740a38e8dd277f3221f628d581b2e70eb4467c7ceff9818b0879393,https://www.transfermarkt.de/club-brugge/kader/verein/2282/saison_id/2026/plus/1,1fee205997362283be46f8cb9c009c85aa038ae7b79a372e8ad66b82b032cebd,2026-09-12T20:30:53.802626+00:00,2026-09-12,Transfermarkt profile https://www.transfermarkt.de/gianluca-okon-engstler/profil/spieler/1334900 sha256=592070b80740a38e8dd277f3221f628d581b2e70eb4467c7ceff9818b0879393; Native08 reread C:/FM27CommunityOverhaul/data/generated/native08-integrated-20260912-01-reread/native_players.csv produced no safe unique identity,235097,0,Gianluca Okon,458756
BEL1,KAA Gent,157,1473866,Ibrahima Cissé,Ibrahima Cissé,2007-09-24,,,,,,458753,REVIEW_REQUIRED,REVIEW_REQUIRED_AFTER_TWO_ATTEMPTS,fresh_profile_capture:NO_MATCH;native08_bridge:NO_UNIQUE_MATCH,Sol,https://www.transfermarkt.de/ibrahima-cisse/profil/spieler/1473866,962f8763e7843d37a826b84277a931df3b074eedeb4dc3750fb4d3cb7d1fe5a5,https://www.transfermarkt.de/kaa-gent/kader/verein/157/saison_id/2026/plus/1,a5b71d08783f71f42f77878fb8e7c874a9219213a9eb349e06a527ae5323fbd1,2026-09-12T20:12:59.310209+00:00,2026-09-12,Transfermarkt profile https://www.transfermarkt.de/ibrahima-cisse/profil/spieler/1473866 sha256=962f8763e7843d37a826b84277a931df3b074eedeb4dc3750fb4d3cb7d1fe5a5; Native08 reread C:/FM27CommunityOverhaul/data/generated/native08-integrated-20260912-01-reread/native_players.csv produced no safe unique identity,,,,
BEL1,KRC Genk,1184,1232104,Elie Mbavu,Elie Mbavu,2009-10-20,,,,,,458768,REVIEW_REQUIRED,REVIEW_REQUIRED_AFTER_TWO_ATTEMPTS,fresh_profile_capture:NO_MATCH;native08_bridge:NO_UNIQUE_MATCH,Sol,https://www.transfermarkt.de/elie-mbavu/profil/spieler/1232104,73559f6d1b60ecfdb1269a8ebd0bba8189aabb781ddc5a37a45044cc5d0d26a9,https://www.transfermarkt.de/krc-genk/kader/verein/1184/saison_id/2026/plus/1,85979abe0c47d79971cc0cee642e1248d1cad9da00ea0a7a7add7591bfc915c0,2026-09-12T20:11:41.187786+00:00,2026-09-12,Transfermarkt profile https://www.transfermarkt.de/elie-mbavu/profil/spieler/1232104 sha256=73559f6d1b60ecfdb1269a8ebd0bba8189aabb781ddc5a37a45044cc5d0d26a9; Native08 reread C:/FM27CommunityOverhaul/data/generated/native08-integrated-20260912-01-reread/native_players.csv produced no safe unique identity,,,,
BEL1,KV Kortrijk,601,1456177,Guust Lamerand,Guust Lamerand,2008-03-21,,,,,,458781,REVIEW_REQUIRED,REVIEW_REQUIRED_AFTER_TWO_ATTEMPTS,fresh_profile_capture:NO_MATCH;native08_bridge:NO_UNIQUE_MATCH,Sol,https://www.transfermarkt.de/guust-lamerand/profil/spieler/1456177,1d53ef1f742dc0e44b3ff979f5c6eca8281bf96698ac9afbe16eee7471f4eda9,https://www.transfermarkt.de/kv-kortrijk/kader/verein/601/saison_id/2026/plus/1,a4999f54d8da64602d94dda7998adfe30af76e24e0c684550e581e845d6cfc0c,2026-09-12T20:12:54.378028+00:00,2026-09-12,Transfermarkt profile https://www.transfermarkt.de/guust-lamerand/profil/spieler/1456177 sha256=1d53ef1f742dc0e44b3ff979f5c6eca8281bf96698ac9afbe16eee7471f4eda9; Native08 reread C:/FM27CommunityOverhaul/data/generated/native08-integrated-20260912-01-reread/native_players.csv produced no safe unique identity,,,,
BEL1,KV Mechelen,354,1192697,Axel Willockx,Axel Willockx,2007-02-07,,,,,,458787,REVIEW_REQUIRED,REVIEW_REQUIRED_AFTER_TWO_ATTEMPTS,fresh_profile_capture:NO_MATCH;native08_bridge:NO_UNIQUE_MATCH,Sol,https://www.transfermarkt.de/axel-willockx/profil/spieler/1192697,090df29cf949afbe408214080197a126c937135e21e8de5d55f5bf2e0745f6f2,https://www.transfermarkt.de/kv-mechelen/kader/verein/354/saison_id/2026/plus/1,def54d86d9d3b7a97807ef82c6b867bdf78c5b32694c9ea844fc271b85c916a5,2026-09-12T20:11:28.568339+00:00,2026-09-12,Transfermarkt profile https://www.transfermarkt.de/axel-willockx/profil/spieler/1192697 sha256=090df29cf949afbe408214080197a126c937135e21e8de5d55f5bf2e0745f6f2; Native08 reread C:/FM27CommunityOverhaul/data/generated/native08-integrated-20260912-01-reread/native_players.csv produced no safe unique identity,,,,
BEL1,KV Mechelen,354,1269453,Amine Ouahabi,أمين الوهابي,2008-07-04,,,,,,458787,REVIEW_REQUIRED,REVIEW_REQUIRED_AFTER_TWO_ATTEMPTS,fresh_profile_capture:NO_MATCH;native08_bridge:NO_UNIQUE_MATCH,Sol,https://www.transfermarkt.de/amine-ouahabi/profil/spieler/1269453,08ef3ae9993ac946d25bb8e6f9224a8aa2c2c509ff326ea21d17d7b0fe0af80f,https://www.transfermarkt.de/kv-mechelen/kader/verein/354/saison_id/2026/plus/1,def54d86d9d3b7a97807ef82c6b867bdf78c5b32694c9ea844fc271b85c916a5,2026-09-12T20:11:53.652606+00:00,2026-09-12,Transfermarkt profile https://www.transfermarkt.de/amine-ouahabi/profil/spieler/1269453 sha256=08ef3ae9993ac946d25bb8e6f9224a8aa2c2c509ff326ea21d17d7b0fe0af80f; Native08 reread C:/FM27CommunityOverhaul/data/generated/native08-integrated-20260912-01-reread/native_players.csv produced no safe unique identity,,,,
BEL1,KV Mechelen,354,1318352,Malcolm Lohunanu-Mbasi,Malcolm Bendele Lohunanu-Mbasi,2008-05-11,,,,,,458787,REVIEW_REQUIRED,REVIEW_REQUIRED_AFTER_TWO_ATTEMPTS,fresh_profile_capture:NO_MATCH;native08_bridge:NO_UNIQUE_MATCH,Sol,https://www.transfermarkt.de/malcolm-lohunanu-mbasi/profil/spieler/1318352,7fa78f1dbc32d0d993fd650d90615a86dcc0e0c822ed09f35739f840b995e4e2,https://www.transfermarkt.de/kv-mechelen/kader/verein/354/saison_id/2026/plus/1,def54d86d9d3b7a97807ef82c6b867bdf78c5b32694c9ea844fc271b85c916a5,2026-09-12T20:30:52.747151+00:00,2026-09-12,Transfermarkt profile https://www.transfermarkt.de/malcolm-lohunanu-mbasi/profil/spieler/1318352 sha256=7fa78f1dbc32d0d993fd650d90615a86dcc0e0c822ed09f35739f840b995e4e2; Native08 reread C:/FM27CommunityOverhaul/data/generated/native08-integrated-20260912-01-reread/native_players.csv produced no safe unique identity,235965,0,Malcolm,458787
