league,club,player,player_tm_id,status,issues,roster_club_tm_id,profile_club_tm_id,full_name,dob,nationality,loan_owner_tm_id,owner_contract_until,profile_source,profile_sha256,roster_source,roster_sha256,snapshot_date
BEL1,Royal Antwerpen FC,Lowie Piselé,1191562,HIGH_CONFIDENCE,,1096,1096,Lowie Peter Piselé,2009-09-17,Belgien,,,https://www.transfermarkt.de/lowie-pisele/profil/spieler/1191562,b2a88fc3a528fdb750d898cf8a4726a743277e1d3845733c771b3b4486622c04,https://www.transfermarkt.de/royal-antwerpen-fc/kader/verein/1096/saison_id/2026/plus/1,eb2b5eea86d19deaf123189c966bf44bae4a2d94614134be4d229233c58d37aa,2026-09-12
BEL1,Royal Antwerpen FC,Luca Schelfhout,1318279,HIGH_CONFIDENCE,,1096,1096,,2007-09-17,Belgien,,,https://www.transfermarkt.de/luca-schelfhout/profil/spieler/1318279,68859ad378bc71a1de2ffe6c9f12e09a49c7f21e410babd622a254f9c74c1770,https://www.transfermarkt.de/royal-antwerpen-fc/kader/verein/1096/saison_id/2026/plus/1,eb2b5eea86d19deaf123189c966bf44bae4a2d94614134be4d229233c58d37aa,2026-09-12
BEL1,Royal Antwerpen FC,Aaron Ibrahim,1135426,HIGH_CONFIDENCE,,1096,1096,,2008-08-02,Belgien,,,https://www.transfermarkt.de/aaron-ibrahim/profil/spieler/1135426,2f56bd0a66c27be6f823d7fa5276cde70c4a482124b93a326392e0af56db2e2a,https://www.transfermarkt.de/royal-antwerpen-fc/kader/verein/1096/saison_id/2026/plus/1,eb2b5eea86d19deaf123189c966bf44bae4a2d94614134be4d229233c58d37aa,2026-09-12
BEL1,Royal Antwerpen FC,Bahmed Deuff,1176215,HIGH_CONFIDENCE,,1096,1096,باهمد دوف,2006-03-10,Mauretanien Frankreich,995,2029-06-30,https://www.transfermarkt.de/bahmed-deuff/profil/spieler/1176215,d421cc6e77c640123f07acd9c9c7513a060f62af3f0e541dda75829945e79e84,https://www.transfermarkt.de/royal-antwerpen-fc/kader/verein/1096/saison_id/2026/plus/1,eb2b5eea86d19deaf123189c966bf44bae4a2d94614134be4d229233c58d37aa,2026-09-12
BEL1,Royal Antwerpen FC,Modibo Fofana,1510005,HIGH_CONFIDENCE,,1096,1096,,2007-11-03,Elfenbeinküste,,,https://www.transfermarkt.de/modibo-fofana/profil/spieler/1510005,aa3bdef89be8a8b2cb3d01eb14438b3570827c96f1309b1e1d66b3e829413c06,https://www.transfermarkt.de/royal-antwerpen-fc/kader/verein/1096/saison_id/2026/plus/1,eb2b5eea86d19deaf123189c966bf44bae4a2d94614134be4d229233c58d37aa,2026-09-12
BEL1,Royal Antwerpen FC,Farouck Adekami,1293796,HIGH_CONFIDENCE,,1096,1096,Muhammed Farouck Adekami,2006-08-07,Elfenbeinküste,,,https://www.transfermarkt.de/farouck-adekami/profil/spieler/1293796,5db1d224c0af63d206a51643605a1b2c27a05cf96223e684ae16619d5c8c07d2,https://www.transfermarkt.de/royal-antwerpen-fc/kader/verein/1096/saison_id/2026/plus/1,eb2b5eea86d19deaf123189c966bf44bae4a2d94614134be4d229233c58d37aa,2026-09-12
BEL1,Royal Antwerpen FC,Luis Narh,1555142,HIGH_CONFIDENCE,,1096,1096,,2007-12-25,Ghana,,,https://www.transfermarkt.de/luis-narh/profil/spieler/1555142,9450cae04eacdbfe9b1b044bd585bbbee9f28605c86ad15f153d17d816675cbc,https://www.transfermarkt.de/royal-antwerpen-fc/kader/verein/1096/saison_id/2026/plus/1,eb2b5eea86d19deaf123189c966bf44bae4a2d94614134be4d229233c58d37aa,2026-09-12
BEL1,Royal Antwerpen FC,Jeff Godelaine,1184725,HIGH_CONFIDENCE,,1096,1096,,2007-04-26,Belgien,,,https://www.transfermarkt.de/jeff-godelaine/profil/spieler/1184725,36b4cde7a71e4e61720dfa32270d82b1d068451509154698d243ba0adfda6b84,https://www.transfermarkt.de/royal-antwerpen-fc/kader/verein/1096/saison_id/2026/plus/1,eb2b5eea86d19deaf123189c966bf44bae4a2d94614134be4d229233c58d37aa,2026-09-12
BEL1,SK Beveren,Cheick Oumar Konaté,1108145,HIGH_CONFIDENCE,,28643,28643,,2004-04-02,Mali,,,https://www.transfermarkt.de/cheick-oumar-konate/profil/spieler/1108145,50c969c8fe96a5914d724d67a4ad681d401e88dd35e442fa3cfd680845e3e98b,https://www.transfermarkt.de/sk-beveren/kader/verein/28643/saison_id/2026/plus/1,7bd09a7ce8449fd8a09e77af941f3d0069233ed39a454f5073c6ab7bfe083ae7,2026-09-12
BEL1,SK Beveren,Arno Verschueren,250591,HIGH_CONFIDENCE,,28643,28643,,1997-04-08,Belgien,,,https://www.transfermarkt.de/arno-verschueren/profil/spieler/250591,7078864e5021e0850aeda883986c7137af10be571299d7cca444be18682fd165,https://www.transfermarkt.de/sk-beveren/kader/verein/28643/saison_id/2026/plus/1,7bd09a7ce8449fd8a09e77af941f3d0069233ed39a454f5073c6ab7bfe083ae7,2026-09-12
BEL1,SK Beveren,Junior Diouf,1492856,HIGH_CONFIDENCE,,28643,28643,Raymond Junior Devis Diouf,2007-08-16,Senegal,,,https://www.transfermarkt.de/junior-diouf/profil/spieler/1492856,ee8768f4049a7eab2621a80f0b7e50dd4ee882eeae447cbd3f43d0458f1ab5d7,https://www.transfermarkt.de/sk-beveren/kader/verein/28643/saison_id/2026/plus/1,7bd09a7ce8449fd8a09e77af941f3d0069233ed39a454f5073c6ab7bfe083ae7,2026-09-12
BEL1,Cercle Brügge,Bas Langenbick,993333,HIGH_CONFIDENCE,,520,520,,2003-06-16,Belgien,,,https://www.transfermarkt.de/bas-langenbick/profil/spieler/993333,ebc502a2296e4beff2a886c4df64de3fa45df382e2cbff13fa91e1ed1bb56bd6,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12
BEL1,Cercle Brügge,Tiemen De Bel,1178478,HIGH_CONFIDENCE,,520,520,Tiemen Jens De Bel,2006-10-31,Belgien,,,https://www.transfermarkt.de/tiemen-de-bel/profil/spieler/1178478,5f1a0b6bbce0afedafc5b8c59fd3485dcf57a7d5a104692cc1c49b60e643835b,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12
BEL1,Cercle Brügge,Sebbe Gheerardyns,1137815,HIGH_CONFIDENCE,,520,520,,2005-01-11,Belgien,,,https://www.transfermarkt.de/sebbe-gheerardyns/profil/spieler/1137815,ef239788eca827eea14457a55b5ef573375822456a7e3d36f26a47883629418e,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12
BEL1,Cercle Brügge,Luke Le Roux,467616,HIGH_CONFIDENCE,,520,520,Luke Gareth Le Roux,2000-03-10,Südafrika,,,https://www.transfermarkt.de/luke-le-roux/profil/spieler/467616,8d67a157eebd79eaefd4fe7f79d147b789cb57ee9ea2e59ad125defe6842991a,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12
BEL1,Cercle Brügge,Erick Nunes,1086381,HIGH_CONFIDENCE,,520,520,,2004-02-29,Brasilien,,,https://www.transfermarkt.de/erick-nunes/profil/spieler/1086381,652cb2588f81bafc1d6ec1b37e98d4be542542a9ac03a88da6fe325742373258,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12
BEL1,Royal Charleroi SC,Naël Piron,1318685,HIGH_CONFIDENCE,,172,172,Naël Lucas Piron,2008-09-28,Belgien,,,https://www.transfermarkt.de/nael-piron/profil/spieler/1318685,9cbca79ada9327192440a7582ea9727a07810617bb9e30459b31beead8ff4a38,https://www.transfermarkt.de/royal-charleroi-sc/kader/verein/172/saison_id/2026/plus/1,be345af7e14ab40246420c64e873b34283e56e8aafa6f5b344acf44cf11dfec1,2026-09-12
BEL1,Royal Charleroi SC,Rafaël Teugels,1084207,HIGH_CONFIDENCE,,172,172,,2006-06-07,Belgien,,,https://www.transfermarkt.de/rafael-teugels/profil/spieler/1084207,f9d49f02d120165427d66d51e8c96c4a80c87575f62f3dc656764a1a478ede1b,https://www.transfermarkt.de/royal-charleroi-sc/kader/verein/172/saison_id/2026/plus/1,be345af7e14ab40246420c64e873b34283e56e8aafa6f5b344acf44cf11dfec1,2026-09-12
BEL1,Royal Charleroi SC,Mory Kera,1308524,HIGH_CONFIDENCE,,172,172,,2008-06-26,Belgien,,,https://www.transfermarkt.de/mory-kera/profil/spieler/1308524,c606a5fdcc353cb09fd14eee8bf22c16de37edc9bd0fb8156620d53399d69231,https://www.transfermarkt.de/royal-charleroi-sc/kader/verein/172/saison_id/2026/plus/1,be345af7e14ab40246420c64e873b34283e56e8aafa6f5b344acf44cf11dfec1,2026-09-12
