player_tm_id,player,full_name,dob,club_tm_id,club,shirt_number,joined,contract_until,position,foot,height,nationality_text,loan_owner_tm_id,loan_owner,owner_contract_until,profile_notes,source_status,source,source_sha256,retrieved_at,snapshot_date,imported_at
79573,Sergio Padt,Sergio Vincenzo Roberto Padt,1990-06-06,200,FC Utrecht,22,2026-09-11,2028-06-30,Torwart,rechts,"1,92 m",Niederlande Italien,,,,"Name im Heimatland: Sergio Vincenzo Roberto Padt Geb./Alter: 06.06.1990 (36) Geburtsort: Amsterdam Größe: 1,92 m Staatsbürgerschaft: Niederlande Italien Position: Torwart Fuß: rechts Spielerberater: Muy Manero Aktueller Verein: FC Utrecht Im Team seit: 11.09.2026 Vertrag bis: 30.06.2028 Ausrüster: adidas Social Media:",CONFIRMED,https://www.transfermarkt.de/sergio-padt/profil/spieler/79573,069b287429c39b2e82aa96c3e32f4067dd0c59d02be14f90124bb40de453a984,2026-09-12T20:07:52.646514+00:00,2026-09-12,2026-09-12T20:15:01.423070+00:00
107665,Filip Novak,Filip Novák,1990-06-26,1322,FK Jablonec,57,2025-02-21,2027-06-30,Abwehr - Linker Verteidiger,links,"1,84 m",Tschechien,,,,"Name im Heimatland: Filip Novák Geb./Alter: 26.06.1990 (36) Geburtsort: Přerov Größe: 1,84 m Staatsbürgerschaft: Tschechien Position: Abwehr - Linker Verteidiger Fuß: links Spielerberater: SPORT INVEST Aktueller Verein: FK Jablonec Im Team seit: 21.02.2025 Vertrag bis: 30.06.2027 Ausrüster: Nike Social Media:",CONFIRMED,https://www.transfermarkt.de/filip-novak/profil/spieler/107665,c69c0dc8911eca0531b72da5db0cca21a191d6ff15952655509f2fd81b99b8ba,2026-09-12T20:07:53.779933+00:00,2026-09-12,2026-09-12T20:15:01.651483+00:00
137326,Hendrik Van Crombrugge,,1993-04-30,1184,KRC Genk,,2023-07-18,2027-06-30,Torwart,links,"1,89 m",Belgien,,,,"Geb./Alter: 30.04.1993 (33) Geburtsort: Leuven Größe: 1,89 m Staatsbürgerschaft: Belgien Position: Torwart Fuß: links Spielerberater: Stirr Associates Aktueller Verein: KRC Genk Im Team seit: 18.07.2023 Vertrag bis: 30.06.2027 Vertragsoption: vereinsseitig 1 Jahr Letzte Verlängerung: 03.12.2024 Social Media:",CONFIRMED,https://www.transfermarkt.de/hendrik-van-crombrugge/profil/spieler/137326,887d4eb1c734fae4cc0ff9bb8c1fa8f97974c92cac7d2a0bcb85eb1db858f608,2026-09-12T20:07:54.673677+00:00,2026-09-12,2026-09-12T20:15:01.860530+00:00
211628,Mohamed Bouldini,محمد بولديني,1995-11-27,7788,Académico Viseu FC,9,2026-08-05,2027-06-30,Sturm - Mittelstürmer,rechts,"1,87 m",Marokko,,,,"Name im Heimatland: محمد بولديني Geb./Alter: 27.11.1995 (30) Geburtsort: Casablanca Größe: 1,87 m Staatsbürgerschaft: Marokko Position: Sturm - Mittelstürmer Fuß: rechts Spielerberater: MRH Football Agency Aktueller Verein: Académico Viseu FC Im Team seit: 05.08.2026 Vertrag bis: 30.06.2027",CONFIRMED,https://www.transfermarkt.de/mohamed-bouldini/profil/spieler/211628,2e794db9c874f662a1b1740acaa0f324fb151e8512818b398c9a21f289d3556e,2026-09-12T20:07:55.768680+00:00,2026-09-12,2026-09-12T20:15:02.073600+00:00
250591,Arno Verschueren,,1997-04-08,28643,SK Beveren,24,2026-09-01,2029-06-30,Mittelfeld - Offensives Mittelfeld,rechts,"1,85 m",Belgien,,,,"Geb./Alter: 08.04.1997 (29) Geburtsort: Lier Größe: 1,85 m Staatsbürgerschaft: Belgien Position: Mittelfeld - Offensives Mittelfeld Fuß: rechts Spielerberater: Stirr Associates Aktueller Verein: SK Beveren Im Team seit: 01.09.2026 Vertrag bis: 30.06.2029 Social Media:",CONFIRMED,https://www.transfermarkt.de/arno-verschueren/profil/spieler/250591,7078864e5021e0850aeda883986c7137af10be571299d7cca444be18682fd165,2026-09-12T20:07:56.787881+00:00,2026-09-12,2026-09-12T20:15:02.281637+00:00
251878,Aarón Martín,Aarón Martín Caricol,1997-04-22,630,Racing Santander,3,2026-09-01,2027-06-30,Abwehr - Linker Verteidiger,links,"1,78 m",Spanien,,,,"Name im Heimatland: Aarón Martín Caricol Geb./Alter: 22.04.1997 (29) Geburtsort: Montmeló Größe: 1,78 m Staatsbürgerschaft: Spanien Position: Abwehr - Linker Verteidiger Fuß: links Spielerberater: PlayOn Aktueller Verein: Racing Santander Im Team seit: 01.09.2026 Vertrag bis: 30.06.2027 Vertragsoption: ein weiteres Jahr",CONFIRMED,https://www.transfermarkt.de/aaron-martin/profil/spieler/251878,ead1253cf35a7d20bf56286ea58488bdf222c68d055b67feb0b4a6131278d2ca,2026-09-12T20:07:57.651997+00:00,2026-09-12,2026-09-12T20:15:02.535793+00:00
255508,Iñaki Williams,Iñaki Williams Arthuer,1994-06-15,621,Athletic Bilbao,9,2015-07-01,2028-06-30,Sturm - Mittelstürmer,rechts,"1,86 m",Ghana Spanien,,,,"Name im Heimatland: Iñaki Williams Arthuer Geb./Alter: 15.06.1994 (32) Geburtsort: Bilbao Größe: 1,86 m Staatsbürgerschaft: Ghana Spanien Position: Sturm - Mittelstürmer Fuß: rechts Aktueller Verein: Athletic Bilbao Im Team seit: 01.07.2015 Vertrag bis: 30.06.2028 Letzte Verlängerung: 12.08.2019 Ausrüster: Nike Social Media:",CONFIRMED,https://www.transfermarkt.de/inaki-williams/profil/spieler/255508,b709c23edd9e1033bcb4e33c08125f9951acbc3766cc809f40ca322888b4c8d6,2026-09-12T20:07:58.613060+00:00,2026-09-12,2026-09-12T20:15:02.799982+00:00
258015,Diogo Gonçalves,Diogo António Cupido Gonçalves,1997-02-06,2293,Konyaspor,7,2026-02-05,2028-06-30,Mittelfeld - Offensives Mittelfeld,rechts,"1,78 m",Portugal,,,,"Name im Heimatland: Diogo António Cupido Gonçalves Geb./Alter: 06.02.1997 (29) Geburtsort: Almodôvar Größe: 1,78 m Staatsbürgerschaft: Portugal Position: Mittelfeld - Offensives Mittelfeld Fuß: rechts Spielerberater: Traquifoot Aktueller Verein: Konyaspor Im Team seit: 05.02.2026 Vertrag bis: 30.06.2028 Social Media:",CONFIRMED,https://www.transfermarkt.de/diogo-goncalves/profil/spieler/258015,26f5151ad0ec112365aff4efc6692e459b3b36ba443f847c7fc291300968267e,2026-09-12T20:07:59.552940+00:00,2026-09-12,2026-09-12T20:15:03.023107+00:00
261927,Ricardo Horta,Ricardo Jorge da Luz Horta,1994-09-15,1075,SC Braga,21,2017-07-18,2028-06-30,Mittelfeld - Offensives Mittelfeld,rechts,"1,73 m",Portugal,,,,"Name im Heimatland: Ricardo Jorge da Luz Horta Geb./Alter: 15.09.1994 (31) Geburtsort: Almada Größe: 1,73 m Staatsbürgerschaft: Portugal Position: Mittelfeld - Offensives Mittelfeld Fuß: rechts Spielerberater: Proeleven S.A. Aktueller Verein: SC Braga Im Team seit: 18.07.2017 Vertrag bis: 30.06.2028 Letzte Verlängerung: 05.04.2023 Social Media:",CONFIRMED,https://www.transfermarkt.de/ricardo-horta/profil/spieler/261927,e06aa235cfe31c3df1e6d13b73f65d306ebae96c9693d26cbbeaa95c732be260,2026-09-12T20:08:00.511573+00:00,2026-09-12,2026-09-12T20:15:03.246335+00:00
272619,Romain Cagnon,,1997-05-12,3911,Stade Brest 29,49,2026-08-19,2027-06-30,Torwart,rechts,"1,90 m",Frankreich,,,,"Geb./Alter: 12.05.1997 (29) Geburtsort: Angers Größe: 1,90 m Staatsbürgerschaft: Frankreich Position: Torwart Fuß: rechts Spielerberater: M.Y Management & ... Aktueller Verein: Stade Brest 29 Im Team seit: 19.08.2026 Vertrag bis: 30.06.2027 Social Media:",CONFIRMED,https://www.transfermarkt.de/romain-cagnon/profil/spieler/272619,dd5a290c2ea07eebda93410295d4966a56c232a72a55a3218f14ee4b4ef3b29e,2026-09-12T20:08:01.708481+00:00,2026-09-12,2026-09-12T20:15:03.497237+00:00
