league,club,club_tm_id,player,player_tm_id,classification,fields,before,after,source,previous_source_sha256,current_source_sha256,confidence,note
ITA1,US Lecce,1005,Joël Monteiro,410787,SOURCE_FIELDS_CHANGED,"[""position""]","{""position"": ""Linkes Mittelfeld""}","{""position"": ""Linksaußen""}",https://www.transfermarkt.de/us-lecce/kader/verein/1005/saison_id/2026/plus/1,78122fd569fd5c6be9df37c45eb933462fe1c2a0edeeb9b0575889235479781a,f70b73ab0beef18f4707e1b846172f928bd484c8e6abc3aab35570487739b4bc,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
ITA1,US Lecce,1005,Alexandru Borbei,667640,SOURCE_FIELDS_CHANGED,"[""shirt_number""]","{""shirt_number"": ""-""}","{""shirt_number"": ""32""}",https://www.transfermarkt.de/us-lecce/kader/verein/1005/saison_id/2026/plus/1,78122fd569fd5c6be9df37c45eb933462fe1c2a0edeeb9b0575889235479781a,f70b73ab0beef18f4707e1b846172f928bd484c8e6abc3aab35570487739b4bc,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
ITA1,US Lecce,1005,Niko Kovač,866607,SOURCE_FIELDS_CHANGED,"[""shirt_number""]","{""shirt_number"": ""-""}","{""shirt_number"": ""80""}",https://www.transfermarkt.de/us-lecce/kader/verein/1005/saison_id/2026/plus/1,78122fd569fd5c6be9df37c45eb933462fe1c2a0edeeb9b0575889235479781a,f70b73ab0beef18f4707e1b846172f928bd484c8e6abc3aab35570487739b4bc,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
ITA1,FC Bologna,1025,Marco Libra,1311378,NEW_SOURCE_ROW,"[""player"", ""dob"", ""position"", ""shirt_number"", ""joined"", ""contract_until"", ""change_notes""]","{""player"": """", ""dob"": """", ""position"": """", ""shirt_number"": """", ""joined"": """", ""contract_until"": """", ""change_notes"": """"}","{""player"": ""Marco Libra"", ""dob"": ""2008-03-21"", ""position"": ""Zentrales Mittelfeld"", ""shirt_number"": ""18"", ""joined"": ""2026-09-01"", ""contract_until"": """", ""change_notes"": ""[\""Interner Wechsel: FC Bologna U20; Datum: 01.09.2026\""]""}",https://www.transfermarkt.de/fc-bologna/kader/verein/1025/saison_id/2026/plus/1,,0110cf99718c64dae936d9a4905057d288279fe8328651a47c3a519a8bb10c74,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
ITA1,FC Bologna,1025,Jesper Karlsson,367992,ABSENT_FROM_NEW_SOURCE,"[""player"", ""dob"", ""position"", ""shirt_number"", ""joined"", ""contract_until"", ""change_notes""]","{""player"": ""Jesper Karlsson"", ""dob"": ""1998-07-25"", ""position"": ""Linksaußen"", ""shirt_number"": ""-"", ""joined"": ""2023-08-23"", ""contract_until"": ""2028-06-30"", ""change_notes"": ""[\""Rückkehr nach Leihe von: FC Utrecht; Datum: 30.06.2026; Ablöse: Leih-Ende\""]""}","{""player"": """", ""dob"": """", ""position"": """", ""shirt_number"": """", ""joined"": """", ""contract_until"": """", ""change_notes"": """"}",https://www.transfermarkt.de/fc-bologna/kader/verein/1025/saison_id/2026/plus/1,569cd89ed6495a573fa4bc81516c1e2747adbb413280d100875b1753fe95b6f3,,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
ESP1,FC Valencia,1049,Diego López,617081,SOURCE_FIELDS_CHANGED,"[""shirt_number""]","{""shirt_number"": ""16""}","{""shirt_number"": ""-""}",https://www.transfermarkt.de/fc-valencia/kader/verein/1049/saison_id/2026/plus/1,7394c9fde9720a48f223877f9b4883b8ba75195a3c2a4e72da00b167152359bd,5de2e980893b594e24db008458062bfc00ba2b8df17a120bf432b038f984588c,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
POR1,SC Braga,1075,Jonatás Noro,1061378,ABSENT_FROM_NEW_SOURCE,"[""player"", ""dob"", ""position"", ""shirt_number"", ""joined"", ""contract_until"", ""change_notes""]","{""player"": ""Jonatás Noro"", ""dob"": ""2005-07-09"", ""position"": ""Innenverteidiger"", ""shirt_number"": ""53"", ""joined"": ""2026-07-01"", ""contract_until"": ""2027-06-30"", ""change_notes"": ""[\""Interner Wechsel: SC Braga B; Datum: 01.07.2026\""]""}","{""player"": """", ""dob"": """", ""position"": """", ""shirt_number"": """", ""joined"": """", ""contract_until"": """", ""change_notes"": """"}",https://www.transfermarkt.de/sc-braga/kader/verein/1075/saison_id/2026/plus/1,156364df6ce57b4f7d7a1498602c8bbe4d6bac3e21a3c7245a5b41d7f564209d,,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
POR1,SC Braga,1075,João Aragão,1075884,ABSENT_FROM_NEW_SOURCE,"[""player"", ""dob"", ""position"", ""shirt_number"", ""joined"", ""contract_until"", ""change_notes""]","{""player"": ""João Aragão"", ""dob"": ""2008-03-24"", ""position"": ""Rechtsaußen"", ""shirt_number"": ""72"", ""joined"": """", ""contract_until"": ""2027-06-30"", ""change_notes"": ""[]""}","{""player"": """", ""dob"": """", ""position"": """", ""shirt_number"": """", ""joined"": """", ""contract_until"": """", ""change_notes"": """"}",https://www.transfermarkt.de/sc-braga/kader/verein/1075/saison_id/2026/plus/1,156364df6ce57b4f7d7a1498602c8bbe4d6bac3e21a3c7245a5b41d7f564209d,,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
POR1,SC Braga,1075,Ricardo Horta,261927,SOURCE_FIELDS_CHANGED,"[""position""]","{""position"": ""Linksaußen""}","{""position"": ""Offensives Mittelfeld""}",https://www.transfermarkt.de/sc-braga/kader/verein/1075/saison_id/2026/plus/1,156364df6ce57b4f7d7a1498602c8bbe4d6bac3e21a3c7245a5b41d7f564209d,a179610f71e6ea7b41b62a1d2448a6aa9ceac20ea3d9356ad08e919d3506e2a7,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
POR1,SC Braga,1075,Sikou Niakaté,413118,SOURCE_FIELDS_CHANGED,"[""shirt_number"", ""contract_until""]","{""shirt_number"": ""-"", ""contract_until"": ""2028-06-30""}","{""shirt_number"": ""4"", ""contract_until"": ""2030-06-30""}",https://www.transfermarkt.de/sc-braga/kader/verein/1075/saison_id/2026/plus/1,156364df6ce57b4f7d7a1498602c8bbe4d6bac3e21a3c7245a5b41d7f564209d,a179610f71e6ea7b41b62a1d2448a6aa9ceac20ea3d9356ad08e919d3506e2a7,REVIEW_REQUIRED,Source comparison only; absence is not departure evidence.
