league,club,club_tm_id,player_tm_id,player,dob,fm_id,fifa_id,native_club_id,target_club_id,current_club_tm_id,current_club_name,current_profile_source,current_profile_sha256,transfer_event_id,event_date,transfer_type,old_club_tm_id,old_club_name,old_native_club_id,new_club_tm_id,new_club_name,new_native_club_id,transaction_owner_external_club_id,transaction_owner_native_club_id,loan_end,joined,contract_until,status,timeline_basis,attempts,escalation,event_source,event_source_sha256,roster_source,roster_source_sha256,history_event_ids,provenance
BEL1,KRC Genk,1184,787907,Benjamin Tahirović,2003-03-03,286280,272596,851977,458768,1184,KRC Genk,https://www.transfermarkt.de/benjamin-tahirovic/profil/spieler/787907,ac6400032dc75352f3b45e1eacfd3c1e919d713576b5751a954be95888290795,6547980,,LOAN,206,Bröndby IF,,1184,KRC Genk,458768,206,,2028-06-30,2026-08-30,2027-06-30,REVIEW_REQUIRED,TWO_ATTEMPTS_EXHAUSTED_LOAN_OWNER_END,transfer-event-capture;current-profile-crosscheck,Sol,https://www.transfermarkt.de/jupiler-pro-league/transfers/wettbewerb/BE1/saison_id/2026,b7bb2a6732c6fd36f5bc04c1a381201e6b000a9931eb01f1c8cd74786f19bd7c,https://www.transfermarkt.de/krc-genk/kader/verein/1184/saison_id/2026/plus/1,85979abe0c47d79971cc0cee642e1248d1cad9da00ea0a7a7add7591bfc915c0,6547980,"Queue https://www.transfermarkt.de/krc-genk/kader/verein/1184/saison_id/2026/plus/1 sha256=85979abe0c47d79971cc0cee642e1248d1cad9da00ea0a7a7add7591bfc915c0; transfer event 6547980 from https://www.transfermarkt.de/jupiler-pro-league/transfers/wettbewerb/BE1/saison_id/2026 sha256=b7bb2a6732c6fd36f5bc04c1a381201e6b000a9931eb01f1c8cd74786f19bd7c; profile https://www.transfermarkt.de/benjamin-tahirovic/profil/spieler/787907 sha256=ac6400032dc75352f3b45e1eacfd3c1e919d713576b5751a954be95888290795; effective date used only when explicit, otherwise current profile/joined and event endpoints; LOAN_OWNER_OR_RETURN_DATE_UNRESOLVED; no departure inferred from roster absence."
BEL1,Oud-Heverlee Leuven,2727,492730,Takuya Ogiwara,1999-11-23,55444,242061,10682378,458775,2727,Oud-Heverlee Leuven,https://www.transfermarkt.de/takuya-ogiwara/profil/spieler/492730,c3640a76eef8115755c09385a3a331607322cff3c2189fe4b9cef056aa800265,6432233,,LOAN,828,Urawa Red Diamonds,,2727,Oud-Heverlee Leuven,458775,828,,,2026-07-16,2027-06-30,REVIEW_REQUIRED,TWO_ATTEMPTS_EXHAUSTED_LOAN_OWNER_END,transfer-event-capture;current-profile-crosscheck,Sol,https://www.transfermarkt.de/jupiler-pro-league/transfers/wettbewerb/BE1/saison_id/2026,b7bb2a6732c6fd36f5bc04c1a381201e6b000a9931eb01f1c8cd74786f19bd7c,https://www.transfermarkt.de/oud-heverlee-leuven/kader/verein/2727/saison_id/2026/plus/1,13369b1472ae4137934608499f3a290781d8b7a96223b8e0488ea6f56621495e,6432233,"Queue https://www.transfermarkt.de/oud-heverlee-leuven/kader/verein/2727/saison_id/2026/plus/1 sha256=13369b1472ae4137934608499f3a290781d8b7a96223b8e0488ea6f56621495e; transfer event 6432233 from https://www.transfermarkt.de/jupiler-pro-league/transfers/wettbewerb/BE1/saison_id/2026 sha256=b7bb2a6732c6fd36f5bc04c1a381201e6b000a9931eb01f1c8cd74786f19bd7c; profile https://www.transfermarkt.de/takuya-ogiwara/profil/spieler/492730 sha256=c3640a76eef8115755c09385a3a331607322cff3c2189fe4b9cef056aa800265; effective date used only when explicit, otherwise current profile/joined and event endpoints; LOAN_OWNER_OR_RETURN_DATE_UNRESOLVED; no departure inferred from roster absence."
BEL1,SK Beveren,28643,1072185,Elohim Kaboré,2006-12-20,187821,76869,3014661,458788,28643,SK Beveren,https://www.transfermarkt.de/elohim-kabore/profil/spieler/1072185,55f8769ceef5b6f2ddc0ad15fc341c411ce4d98c8a90126a70b300e7fc9254cc,6497662,,LOAN,1059,Hammarby IF,,28643,SK Beveren,458788,1059,,2029-12-31,2026-08-12,2027-06-30,REVIEW_REQUIRED,TWO_ATTEMPTS_EXHAUSTED_LOAN_OWNER_END,transfer-event-capture;current-profile-crosscheck,Sol,https://www.transfermarkt.de/jupiler-pro-league/transfers/wettbewerb/BE1/saison_id/2026,b7bb2a6732c6fd36f5bc04c1a381201e6b000a9931eb01f1c8cd74786f19bd7c,https://www.transfermarkt.de/sk-beveren/kader/verein/28643/saison_id/2026/plus/1,7bd09a7ce8449fd8a09e77af941f3d0069233ed39a454f5073c6ab7bfe083ae7,6497662,"Queue https://www.transfermarkt.de/sk-beveren/kader/verein/28643/saison_id/2026/plus/1 sha256=7bd09a7ce8449fd8a09e77af941f3d0069233ed39a454f5073c6ab7bfe083ae7; transfer event 6497662 from https://www.transfermarkt.de/jupiler-pro-league/transfers/wettbewerb/BE1/saison_id/2026 sha256=b7bb2a6732c6fd36f5bc04c1a381201e6b000a9931eb01f1c8cd74786f19bd7c; profile https://www.transfermarkt.de/elohim-kabore/profil/spieler/1072185 sha256=55f8769ceef5b6f2ddc0ad15fc341c411ce4d98c8a90126a70b300e7fc9254cc; effective date used only when explicit, otherwise current profile/joined and event endpoints; LOAN_OWNER_OR_RETURN_DATE_UNRESOLVED; no departure inferred from roster absence."
BEL1,SK Beveren,28643,671675,Chris Lokesa,2004-11-07,136134,272977,2228242,458788,28643,SK Beveren,https://www.transfermarkt.de/chris-lokesa/profil/spieler/671675,8461a444c28584e18ddb358c34bbe5fd686052738e391fe7f4a2490fac031c53,,,,,,,,,,,,,2026-01-20,2028-06-30,REVIEW_REQUIRED,NO_CURRENT_DESTINATION_EVENT_NO_DEPARTURE_INFERRED,transfer-event-capture;current-profile-crosscheck,Sol,,,https://www.transfermarkt.de/sk-beveren/kader/verein/28643/saison_id/2026/plus/1,7bd09a7ce8449fd8a09e77af941f3d0069233ed39a454f5073c6ab7bfe083ae7,,"Queue https://www.transfermarkt.de/sk-beveren/kader/verein/28643/saison_id/2026/plus/1 sha256=7bd09a7ce8449fd8a09e77af941f3d0069233ed39a454f5073c6ab7bfe083ae7; transfer event none from  sha256=; profile https://www.transfermarkt.de/chris-lokesa/profil/spieler/671675 sha256=8461a444c28584e18ddb358c34bbe5fd686052738e391fe7f4a2490fac031c53; effective date used only when explicit, otherwise current profile/joined and event endpoints; NO_CURRENT_DESTINATION_EVENT; no departure inferred from roster absence."
BEL1,SK Beveren,28643,718032,Stephane Keller,2001-08-20,6440,0,720907,458788,28643,SK Beveren,https://www.transfermarkt.de/stephane-keller/profil/spieler/718032,12554d4a44d321b14d616ed62d331a9668f5108aab3a72481137bd0931e78de7,6565624,,LOAN,8023,Al-Ittihad Club,,28643,SK Beveren,458788,8023,,2029-06-30,2026-09-03,2027-06-30,REVIEW_REQUIRED,TWO_ATTEMPTS_EXHAUSTED_LOAN_OWNER_END,transfer-event-capture;current-profile-crosscheck,Sol,https://www.transfermarkt.de/jupiler-pro-league/transfers/wettbewerb/BE1/saison_id/2026,b7bb2a6732c6fd36f5bc04c1a381201e6b000a9931eb01f1c8cd74786f19bd7c,https://www.transfermarkt.de/sk-beveren/kader/verein/28643/saison_id/2026/plus/1,7bd09a7ce8449fd8a09e77af941f3d0069233ed39a454f5073c6ab7bfe083ae7,6565624,"Queue https://www.transfermarkt.de/sk-beveren/kader/verein/28643/saison_id/2026/plus/1 sha256=7bd09a7ce8449fd8a09e77af941f3d0069233ed39a454f5073c6ab7bfe083ae7; transfer event 6565624 from https://www.transfermarkt.de/jupiler-pro-league/transfers/wettbewerb/BE1/saison_id/2026 sha256=b7bb2a6732c6fd36f5bc04c1a381201e6b000a9931eb01f1c8cd74786f19bd7c; profile https://www.transfermarkt.de/stephane-keller/profil/spieler/718032 sha256=12554d4a44d321b14d616ed62d331a9668f5108aab3a72481137bd0931e78de7; effective date used only when explicit, otherwise current profile/joined and event endpoints; LOAN_OWNER_OR_RETURN_DATE_UNRESOLVED; no departure inferred from roster absence."
BEL1,Standard Lüttich,3057,483007,Belmin Dizdarevic,2001-08-09,243830,276704,528393,458760,3057,Standard Lüttich,https://www.transfermarkt.de/belmin-dizdarevic/profil/spieler/483007,3eb7833b8df855797cc1a0acfa42c1ed528235c2b1fcf3b46408e0a263d2d299,,,,,,,,,,,,,2026-01-30,2027-06-30,REVIEW_REQUIRED,NO_CURRENT_DESTINATION_EVENT_NO_DEPARTURE_INFERRED,transfer-event-capture;current-profile-crosscheck,Sol,,,https://www.transfermarkt.de/standard-luttich/kader/verein/3057/saison_id/2026/plus/1,35f665c792bd0def9bfa349286927e0ef54a862cb91b5e4ab6b8ec3356dfa834,,"Queue https://www.transfermarkt.de/standard-luttich/kader/verein/3057/saison_id/2026/plus/1 sha256=35f665c792bd0def9bfa349286927e0ef54a862cb91b5e4ab6b8ec3356dfa834; transfer event none from  sha256=; profile https://www.transfermarkt.de/belmin-dizdarevic/profil/spieler/483007 sha256=3eb7833b8df855797cc1a0acfa42c1ed528235c2b1fcf3b46408e0a263d2d299; effective date used only when explicit, otherwise current profile/joined and event endpoints; NO_CURRENT_DESTINATION_EVENT; no departure inferred from roster absence."
BEL1,Zulte Waregem,3508,1027444,Tristan Panduro,2008-01-10,286175,0,851972,458782,3508,Zulte Waregem,https://www.transfermarkt.de/tristan-panduro/profil/spieler/1027444,fc6bae5c4fc5c8fffcd3d479d721bca65052b85516c0b5915a493e16e6bac5ce,,,,,,,,,,,,,2026-01-10,2028-06-30,REVIEW_REQUIRED,NO_CURRENT_DESTINATION_EVENT_NO_DEPARTURE_INFERRED,transfer-event-capture;current-profile-crosscheck,Sol,,,https://www.transfermarkt.de/zulte-waregem/kader/verein/3508/saison_id/2026/plus/1,0acbb0eca1723445958969f80be44f59778e527ba0095de244c35e56e3b9068e,,"Queue https://www.transfermarkt.de/zulte-waregem/kader/verein/3508/saison_id/2026/plus/1 sha256=0acbb0eca1723445958969f80be44f59778e527ba0095de244c35e56e3b9068e; transfer event none from  sha256=; profile https://www.transfermarkt.de/tristan-panduro/profil/spieler/1027444 sha256=fc6bae5c4fc5c8fffcd3d479d721bca65052b85516c0b5915a493e16e6bac5ce; effective date used only when explicit, otherwise current profile/joined and event endpoints; NO_CURRENT_DESTINATION_EVENT; no departure inferred from roster absence."
BEL1,RAAL La Louvière,3901,1075575,Marius Courcoul,2007-01-01,290118,277484,1179782,471041,3901,RAAL La Louvière,https://www.transfermarkt.de/marius-courcoul/profil/spieler/1075575,0f4abe06847862237d6aa7e5103da348b18e9fd758ba36c89a6d2e2e46f9fac0,6505275,,LOAN,1420,Angers SCO,1179782,3901,RAAL La Louvière,471041,1420,1179782,,2026-08-14,2027-06-30,REVIEW_REQUIRED,TWO_ATTEMPTS_EXHAUSTED_LOAN_OWNER_END,transfer-event-capture;current-profile-crosscheck,Sol,https://www.transfermarkt.de/ligue-1/transfers/wettbewerb/FR1/saison_id/2026,d0bdedb0ffa3ae6d9bd09c12fb5a85d4118138f6388ab0440cf2ba38e857b62b,https://www.transfermarkt.de/raal-la-louviere/kader/verein/3901/saison_id/2026/plus/1,b03ed0837676e8c4516649bb0a99db01be8090988303411744be3df08ec3d3fe,6505275,"Queue https://www.transfermarkt.de/raal-la-louviere/kader/verein/3901/saison_id/2026/plus/1 sha256=b03ed0837676e8c4516649bb0a99db01be8090988303411744be3df08ec3d3fe; transfer event 6505275 from https://www.transfermarkt.de/ligue-1/transfers/wettbewerb/FR1/saison_id/2026 sha256=d0bdedb0ffa3ae6d9bd09c12fb5a85d4118138f6388ab0440cf2ba38e857b62b; profile https://www.transfermarkt.de/marius-courcoul/profil/spieler/1075575 sha256=0f4abe06847862237d6aa7e5103da348b18e9fd758ba36c89a6d2e2e46f9fac0; effective date used only when explicit, otherwise current profile/joined and event endpoints; LOAN_OWNER_OR_RETURN_DATE_UNRESOLVED; no departure inferred from roster absence."
BEL1,RAAL La Louvière,3901,644563,Bryan Soumaré,1999-02-11,1000013920,0,0,471041,3901,RAAL La Louvière,https://www.transfermarkt.de/bryan-soumare/profil/spieler/644563,e97d703b88e6166062a32fff0980d5debbb025960e45c1c880d195174de7c64b,,,,,,,,,,,,,2026-01-23,2027-06-30,REVIEW_REQUIRED,NO_CURRENT_DESTINATION_EVENT_NO_DEPARTURE_INFERRED,transfer-event-capture;current-profile-crosscheck,Sol,,,https://www.transfermarkt.de/raal-la-louviere/kader/verein/3901/saison_id/2026/plus/1,b03ed0837676e8c4516649bb0a99db01be8090988303411744be3df08ec3d3fe,,"Queue https://www.transfermarkt.de/raal-la-louviere/kader/verein/3901/saison_id/2026/plus/1 sha256=b03ed0837676e8c4516649bb0a99db01be8090988303411744be3df08ec3d3fe; transfer event none from  sha256=; profile https://www.transfermarkt.de/bryan-soumare/profil/spieler/644563 sha256=e97d703b88e6166062a32fff0980d5debbb025960e45c1c880d195174de7c64b; effective date used only when explicit, otherwise current profile/joined and event endpoints; NO_CURRENT_DESTINATION_EVENT; no departure inferred from roster absence."
BEL1,RAAL La Louvière,3901,926301,Tiago Pereira Cardoso,2006-04-07,279850,70904,1376263,471041,3901,RAAL La Louvière,https://www.transfermarkt.de/tiago-pereira-cardoso/profil/spieler/926301,29f054226547bf4fcaa670984ed7474a60d90f4ca3042bf778c0dc0fb9d3ebf2,6384856,,LOAN,18,Borussia Mönchengladbach,1376263,3901,RAAL La Louvière,471041,18,1376263,,2026-07-01,2027-06-30,REVIEW_REQUIRED,TWO_ATTEMPTS_EXHAUSTED_LOAN_OWNER_END,transfer-event-capture;current-profile-crosscheck,Sol,https://www.transfermarkt.de/bundesliga/transfers/wettbewerb/L1/saison_id/2026,c08e4b3a81f4ba445c4d8343c0dd6f9cfb1b5e5f12689978c0e5485f5030360a,https://www.transfermarkt.de/raal-la-louviere/kader/verein/3901/saison_id/2026/plus/1,b03ed0837676e8c4516649bb0a99db01be8090988303411744be3df08ec3d3fe,6384856,"Queue https://www.transfermarkt.de/raal-la-louviere/kader/verein/3901/saison_id/2026/plus/1 sha256=b03ed0837676e8c4516649bb0a99db01be8090988303411744be3df08ec3d3fe; transfer event 6384856 from https://www.transfermarkt.de/bundesliga/transfers/wettbewerb/L1/saison_id/2026 sha256=c08e4b3a81f4ba445c4d8343c0dd6f9cfb1b5e5f12689978c0e5485f5030360a; profile https://www.transfermarkt.de/tiago-pereira-cardoso/profil/spieler/926301 sha256=29f054226547bf4fcaa670984ed7474a60d90f4ca3042bf778c0dc0fb9d3ebf2; effective date used only when explicit, otherwise current profile/joined and event endpoints; LOAN_OWNER_OR_RETURN_DATE_UNRESOLVED; no departure inferred from roster absence."
