queue,league,club,club_tm_id,player,player_tm_id,dob,fm_id,fifa_id,native_club_id,target_club_id,identity_method,profile_present,current_employer_explicit,profile_current_employer_tm_id,profile_current_employer,profile_joined,profile_contract_until,loan_owner_tm_id,loan_owner,owner_contract_until,profile_source_url,profile_source_sha256,profile_source_status,event_count,event_ids,event_types,event_dates,event_old_clubs,event_new_clubs,event_source_urls,event_source_sha256s,event_source_statuses,event_evidence_status,source_fields_status,missing_fields,escalation,queue_source_url,queue_source_sha256,source_hash_validation,snapshot_date
TYPED_CONDITION,BEL1,Cercle Brügge,520,Yago Lincoln,1095336,2003-01-30,224467,0,3543078,458755,DOB_NAME,YES,YES,520,Cercle Brügge,2026-09-02,2030-06-30,,,,https://www.transfermarkt.de/yago-lincoln/profil/spieler/1095336,f861822bb2af5e3b5e5cf2b20a02bc646165279f19854818deed5f1475905a9a,CONFIRMED,1,6561254,PERMANENT,,Londrina EC (PR),Cercle Brügge,https://www.transfermarkt.de/jupiler-pro-league/transfers/wettbewerb/BE1/saison_id/2026,b7bb2a6732c6fd36f5bc04c1a381201e6b000a9931eb01f1c8cd74786f19bd7c,CONFIRMED,AVAILABLE,MISSING_FIELDS,loan_owner_tm_id | owner_contract_until,Sol,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03:CACHED_BYTES_MATCH | f861822bb2af5e3b5e5cf2b20a02bc646165279f19854818deed5f1475905a9a:CACHED_BYTES_MATCH | b7bb2a6732c6fd36f5bc04c1a381201e6b000a9931eb01f1c8cd74786f19bd7c:CACHED_BYTES_MATCH,2026-09-12
TYPED_CONDITION,BEL1,RSC Anderlecht,58,Tawfik Bentayeb,667995,2002-01-14,280055,74618,1179683,458766,DOB_NAME,YES,YES,58,RSC Anderlecht,2026-08-21,2030-06-30,,,,https://www.transfermarkt.de/tawfik-bentayeb/profil/spieler/667995,af89ecb210ca7565e0159c62ed72741fc5524d170515e47f722c329edad2248a,CONFIRMED,2,5904128 | 6524595,LOAN_RETURN | PERMANENT,2026-06-30,ESTAC Troyes | Union Touarga Sportif,Union Touarga Sportif | RSC Anderlecht,https://www.transfermarkt.de/ligue-1/transfers/wettbewerb/FR1/saison_id/2026 | https://www.transfermarkt.de/jupiler-pro-league/transfers/wettbewerb/BE1/saison_id/2026,d0bdedb0ffa3ae6d9bd09c12fb5a85d4118138f6388ab0440cf2ba38e857b62b | b7bb2a6732c6fd36f5bc04c1a381201e6b000a9931eb01f1c8cd74786f19bd7c,CONFIRMED,AVAILABLE,MISSING_FIELDS,loan_owner_tm_id | owner_contract_until,Sol,https://www.transfermarkt.de/rsc-anderlecht/kader/verein/58/saison_id/2026/plus/1,1bae85748ec613dde97bff957a3666e9048ed15fbdae72c2a5eb5d964e8fb10a,1bae85748ec613dde97bff957a3666e9048ed15fbdae72c2a5eb5d964e8fb10a:CACHED_BYTES_MATCH | af89ecb210ca7565e0159c62ed72741fc5524d170515e47f722c329edad2248a:CACHED_BYTES_MATCH | d0bdedb0ffa3ae6d9bd09c12fb5a85d4118138f6388ab0440cf2ba38e857b62b:CACHED_BYTES_MATCH | b7bb2a6732c6fd36f5bc04c1a381201e6b000a9931eb01f1c8cd74786f19bd7c:CACHED_BYTES_MATCH,2026-09-12
TYPED_CONDITION,BEL1,Royal Charleroi SC,172,Freddy Mbemba,983364,2002-12-16,280435,276029,1179674,458761,DOB_NAME,YES,YES,172,Royal Charleroi SC,2025-07-04,2028-06-30,,,,https://www.transfermarkt.de/freddy-mbemba/profil/spieler/983364,a24a7570b8faf8fc9545a18a507a45022de78255de9935879fe931311a62d409,CONFIRMED,1,5910663,LOAN_RETURN,2026-06-30,EA Guingamp,Royal Charleroi SC,https://www.transfermarkt.de/jupiler-pro-league/transfers/wettbewerb/BE1/saison_id/2026,b7bb2a6732c6fd36f5bc04c1a381201e6b000a9931eb01f1c8cd74786f19bd7c,CONFIRMED,AVAILABLE,MISSING_FIELDS,loan_owner_tm_id | owner_contract_until,Sol,https://www.transfermarkt.de/royal-charleroi-sc/kader/verein/172/saison_id/2026/plus/1,be345af7e14ab40246420c64e873b34283e56e8aafa6f5b344acf44cf11dfec1,be345af7e14ab40246420c64e873b34283e56e8aafa6f5b344acf44cf11dfec1:CACHED_BYTES_MATCH | a24a7570b8faf8fc9545a18a507a45022de78255de9935879fe931311a62d409:CACHED_BYTES_MATCH | b7bb2a6732c6fd36f5bc04c1a381201e6b000a9931eb01f1c8cd74786f19bd7c:CACHED_BYTES_MATCH,2026-09-12
TYPED_CONDITION,BEL1,Royal Charleroi SC,172,Triston Rowe,984593,2006-10-02,280015,78113,1193182,458761,DOB_NAME,YES,YES,172,Royal Charleroi SC,2026-09-01,2027-06-30,12124,Aston Villa U21,,https://www.transfermarkt.de/triston-rowe/profil/spieler/984593,b31f2c201126df608b635e98783cf4fdef8ae0085b709db84bdd008b5dce87c2,CONFIRMED,1,6557450,LOAN,,Aston Villa U21,Royal Charleroi SC,https://www.transfermarkt.de/jupiler-pro-league/transfers/wettbewerb/BE1/saison_id/2026,b7bb2a6732c6fd36f5bc04c1a381201e6b000a9931eb01f1c8cd74786f19bd7c,CONFIRMED,AVAILABLE,MISSING_FIELDS,owner_contract_until,Sol,https://www.transfermarkt.de/royal-charleroi-sc/kader/verein/172/saison_id/2026/plus/1,be345af7e14ab40246420c64e873b34283e56e8aafa6f5b344acf44cf11dfec1,be345af7e14ab40246420c64e873b34283e56e8aafa6f5b344acf44cf11dfec1:CACHED_BYTES_MATCH | b31f2c201126df608b635e98783cf4fdef8ae0085b709db84bdd008b5dce87c2:CACHED_BYTES_MATCH | b7bb2a6732c6fd36f5bc04c1a381201e6b000a9931eb01f1c8cd74786f19bd7c:CACHED_BYTES_MATCH,2026-09-12
TYPED_CONDITION,CZE1,1.FC Slovacko,5544,Alexandr Urban,935842,2004-04-20,178085,0,2830366,786461,DOB_NAME,YES,YES,5544,1.FC Slovacko,2026-01-01,2027-06-30,,,,https://www.transfermarkt.de/alexandr-urban/profil/spieler/935842,6cb55b42d00b103bc20759f7edebc51c9c76862c9584785512c4e3d2959bb83b,CONFIRMED,0,,,,,,,,,NO_MATCHING_TRANSFER_EVENT,MISSING_FIELDS,loan_owner_tm_id | owner_contract_until,Sol,https://www.transfermarkt.de/1-fc-slovacko/kader/verein/5544/saison_id/2026/plus/1,42dab36a10cfd13d442ece1bb7499f652fac54d38b8eba2248452673a53bcacf,42dab36a10cfd13d442ece1bb7499f652fac54d38b8eba2248452673a53bcacf:CACHED_BYTES_MATCH | 6cb55b42d00b103bc20759f7edebc51c9c76862c9584785512c4e3d2959bb83b:CACHED_BYTES_MATCH,2026-09-12
TYPED_CONDITION,CZE1,1.FC Slovacko,5544,Jan Fiala,723528,2001-05-04,11263,0,790540,786461,DOB_NAME,YES,YES,5544,1.FC Slovacko,2026-09-08,2027-06-30,2311,SK Sigma Olmütz,2028-06-30,https://www.transfermarkt.de/jan-fiala/profil/spieler/723528,d36be9b18dc42167edc6eac16e965b0a5024f35e8c2d2d6c330be139deecbdc6,CONFIRMED,3,5927823 | 6575746,LOAN_RETURN | LOAN,2026-06-30,MFK Karvina | SK Sigma Olmütz,SK Sigma Olmütz | 1.FC Slovacko,https://www.transfermarkt.de/chance-liga/transfers/wettbewerb/TS1/saison_id/2026,4eb600e7a8e262f0b3e2e95a268a14ae8f515e096d539a31c9981af247ff5f63,CONFIRMED,AVAILABLE,SUFFICIENT_OWNER_AND_CHRONOLOGY,,,https://www.transfermarkt.de/1-fc-slovacko/kader/verein/5544/saison_id/2026/plus/1,42dab36a10cfd13d442ece1bb7499f652fac54d38b8eba2248452673a53bcacf,42dab36a10cfd13d442ece1bb7499f652fac54d38b8eba2248452673a53bcacf:CACHED_BYTES_MATCH | d36be9b18dc42167edc6eac16e965b0a5024f35e8c2d2d6c330be139deecbdc6:CACHED_BYTES_MATCH | 4eb600e7a8e262f0b3e2e95a268a14ae8f515e096d539a31c9981af247ff5f63:CACHED_BYTES_MATCH,2026-09-12
TYPED_CONDITION,CZE1,FC Banik Ostrau,377,Filip Sancl,1045167,2005-06-23,11574,0,790538,786446,DOB_NAME,YES,YES,377,FC Banik Ostrau,2026-01-16,2029-06-30,,,,https://www.transfermarkt.de/filip-sancl/profil/spieler/1045167,47e3471f397d9a3003cad87258342277e3834b6048f846473a745791ea852021,CONFIRMED,0,,,,,,,,,NO_MATCHING_TRANSFER_EVENT,MISSING_FIELDS,loan_owner_tm_id | owner_contract_until,Sol,https://www.transfermarkt.de/fc-banik-ostrau/kader/verein/377/saison_id/2026/plus/1,3717000ca143110b9cff7bc66843b5e54104cdaa75d0e196220c4e77c8b4d611,3717000ca143110b9cff7bc66843b5e54104cdaa75d0e196220c4e77c8b4d611:CACHED_BYTES_MATCH | 47e3471f397d9a3003cad87258342277e3834b6048f846473a745791ea852021:CACHED_BYTES_MATCH,2026-09-12
TYPED_CONDITION,CZE1,FC Slovan Liberec,697,Milan Lexa,1100641,2004-08-21,11577,0,790538,786438,DOB_NAME,YES,YES,697,FC Slovan Liberec,2023-07-01,2029-06-30,,,,https://www.transfermarkt.de/milan-lexa/profil/spieler/1100641,97dd083257341becac1228f8268329fac711ffe5ff0f177588889eab08df687e,CONFIRMED,0,,,,,,,,,NO_MATCHING_TRANSFER_EVENT,MISSING_FIELDS,loan_owner_tm_id | owner_contract_until,Sol,https://www.transfermarkt.de/fc-slovan-liberec/kader/verein/697/saison_id/2026/plus/1,6aba2d7156fcbb82e5f0f245492c388de338ad498bd8ff4bd953a9b7fb194317,6aba2d7156fcbb82e5f0f245492c388de338ad498bd8ff4bd953a9b7fb194317:CACHED_BYTES_MATCH | 97dd083257341becac1228f8268329fac711ffe5ff0f177588889eab08df687e:CACHED_BYTES_MATCH,2026-09-12
TYPED_CONDITION,CZE1,FC Viktoria Pilsen,941,Filip Prebsl,728635,2003-03-04,11320,73579,786434,786450,DOB_NAME,YES,YES,941,FC Viktoria Pilsen,2026-07-03,2030-06-30,,,,https://www.transfermarkt.de/filip-prebsl/profil/spieler/728635,ae35241551f15a1fe18280d24ae8541bc456594d6c3751176403996bcd0202a7,CONFIRMED,1,6400903,PERMANENT,,MFK Karvina,FC Viktoria Pilsen,https://www.transfermarkt.de/chance-liga/transfers/wettbewerb/TS1/saison_id/2026,4eb600e7a8e262f0b3e2e95a268a14ae8f515e096d539a31c9981af247ff5f63,CONFIRMED,AVAILABLE,MISSING_FIELDS,loan_owner_tm_id | owner_contract_until,Sol,https://www.transfermarkt.de/fc-viktoria-pilsen/kader/verein/941/saison_id/2026/plus/1,996e90d35b62a49d97cf67985e3302e6eb90152f4e1be1f533a26fcd90f8e7ac,996e90d35b62a49d97cf67985e3302e6eb90152f4e1be1f533a26fcd90f8e7ac:CACHED_BYTES_MATCH | ae35241551f15a1fe18280d24ae8541bc456594d6c3751176403996bcd0202a7:CACHED_BYTES_MATCH | 4eb600e7a8e262f0b3e2e95a268a14ae8f515e096d539a31c9981af247ff5f63:CACHED_BYTES_MATCH,2026-09-12
TYPED_CONDITION,CZE1,FC Viktoria Pilsen,941,Viktor Baier,947524,2005-01-16,268785,278965,262169,786450,DOB_NAME,YES,YES,941,FC Viktoria Pilsen,2023-10-20,2029-06-30,,,,https://www.transfermarkt.de/viktor-baier/profil/spieler/947524,ae2cf7afc4db57c57039dc11d56fad8c5d2adeb5cfa02d64b0ee64675e5da4f8,CONFIRMED,0,,,,,,,,,NO_MATCHING_TRANSFER_EVENT,MISSING_FIELDS,loan_owner_tm_id | owner_contract_until,Sol,https://www.transfermarkt.de/fc-viktoria-pilsen/kader/verein/941/saison_id/2026/plus/1,996e90d35b62a49d97cf67985e3302e6eb90152f4e1be1f533a26fcd90f8e7ac,996e90d35b62a49d97cf67985e3302e6eb90152f4e1be1f533a26fcd90f8e7ac:CACHED_BYTES_MATCH | ae2cf7afc4db57c57039dc11d56fad8c5d2adeb5cfa02d64b0ee64675e5da4f8:CACHED_BYTES_MATCH,2026-09-12
