club_tm_id,club_id,team_type,reason,source,date,author
1114,11993090,FIRST,Al-Hilal SFC is the Saudi club in Riyadh; installed Saudi Football Club FIFA team 605; excludes homonymous clubs in other countries,https://alhilal.com/en/news/english-striker-ollie-watkins-joins-al-hilal-for-three-years,2026-09-08,Codex
3684,917609,FIRST,FC Stevenage resolves to installed English Stevenage FIFA team 361; country and unique club name verified,https://www.transfermarkt.de/tommy-setford/profil/spieler/848753,2026-09-08,Codex
180,917536,FIRST,FC Southampton resolves to English Southampton FIFA team 17; excludes Southampton Rangers in Bermuda,https://www.transfermarkt.de/lewis-dobbin/profil/spieler/627248,2026-09-08,Codex
683,1441800,FIRST,Olympiakos Piraeus resolves to Greek Olympiacos SF Piraeus FIFA team 280; excludes Nicosia and Volou,https://www.transfermarkt.de/leon-bailey/profil/spieler/387626,2026-09-08,Codex
1429,1769514,FIRST,Cesena FC and Cesena F.C. are the same uniquely named Italian club; punctuation difference,https://www.transfermarkt.de/riccardo-pagano/profil/spieler/659415,2026-09-08,Codex
237,2949130,FIRST,RCD Mallorca and R.C.D. Mallorca are the same Spanish club; abbreviation punctuation,https://www.transfermarkt.de/alberto-moreno/profil/spieler/207917,2026-09-08,Codex
276,1769496,FIRST,Hellas Verona resolves to Italian Hellas Verona F.C.; unique geographic and club identity,https://www.transfermarkt.de/andrea-le-borgne/profil/spieler/1204163,2026-09-08,Codex
2331,1769518,FIRST,US Avellino 1912 matches Italian U.S. Avellino 1912; punctuation difference,https://www.transfermarkt.de/walid-cheddira/profil/spieler/521407,2026-09-08,Codex
4554,1769586,FIRST,FC Sudtirol matches Italian F.C. Sudtirol; punctuation difference,https://www.transfermarkt.de/fabio-rispoli/profil/spieler/981136,2026-09-08,Codex
1010,917534,FIRST,FC Watford resolves to English Watford; source language adds club prefix,https://www.transfermarkt.de/federico-ravaglia/profil/spieler/390304,2026-09-08,Codex
641,917522,FIRST,FC Middlesbrough resolves to English Middlesbrough; source language adds club prefix,https://www.transfermarkt.de/jeremy-sarmiento/profil/spieler/568005,2026-09-08,Codex
458,1769491,FIRST,Palermo FC matches Italian Palermo F.C.; punctuation difference,https://www.transfermarkt.de/tommaso-cassandro/profil/spieler/412649,2026-09-08,Codex
1244,2949167,FIRST,CD Leganes matches Spanish C.D. Leganes; abbreviation punctuation,https://www.transfermarkt.de/alvaro-morata/profil/spieler/128223,2026-09-08,Codex
1627,1769508,FIRST,Catania FC matches Italian Catania F.C.; punctuation difference,https://www.transfermarkt.de/fabrizio-caligara/profil/spieler/386574,2026-09-08,Codex
1385,1769497,FIRST,Modena FC resolves to Italian Modena F.C. 2018; full legal suffix in installed database,https://www.transfermarkt.de/wisdom-acquah/profil/spieler/1056746,2026-09-08,Codex
34,1376266,RESERVE,FC Schalke 04 II is the reserve team of installed FC Schalke 04; explicitly preserve reserve membership,https://www.transfermarkt.de/anton-donkor/profil/spieler/280553,2026-09-08,Codex
1038,1769485,FIRST,Sampdoria Genua is the German geographic label for Italian U.C. Sampdoria,https://www.transfermarkt.de/tjas-begic/profil/spieler/708186,2026-09-08,Codex
2687,2949144,FIRST,FC Cadiz resolves to Spanish Cadiz C.F. FIFA team 1968; prefix ordering differs,https://www.transfermarkt.de/gonzalo-petit/profil/spieler/997814,2026-09-08,Codex
2432,2494477,FIRST,SC Uniao Torreense expands to Sport Clube Uniao Torreense in Portugal,https://www.transfermarkt.de/hugo-perez/profil/spieler/718027,2026-09-08,Codex
124,2752517,FIRST,Glasgow Rangers resolves to Scottish Rangers FIFA team 86; excludes Cove and Brora and Berwick,https://www.transfermarkt.de/kosta-nedeljkovic/profil/spieler/848682,2026-09-08,Codex
1132,917526,FIRST,FC Burnley resolves to English Burnley; German source adds club prefix,https://www.transfermarkt.de/largie-ramazani/profil/spieler/518644,2026-09-08,Codex
366,2949154,FIRST,Real Valladolid resolves to Spanish Real Valladolid C.F.; full club suffix,https://www.transfermarkt.de/miguel-rubio/profil/spieler/583510,2026-09-08,Codex
110302,2504148,FIRST,Avs Futebol is Portuguese AVS Futebol SAD; exact distinctive name and country,https://www.transfermarkt.de/diogo-brasido/profil/spieler/1044429,2026-09-08,Codex
