league,club,player,player_tm_id,fm_id,native_club_id,target_club_id,native_loan_enabled,native_loan_owner_club_id,native_loan_start,native_loan_end,protected_conditions_sha256,future_conditions_sha256,profile_joined,profile_contract_until,profile_loan_owner_tm_id,profile_owner_contract_until,event_types,event_dates,blocker_category,disposition,source,source_sha256,snapshot_date
GER3,TSV Alemannia Aachen,Manuel Riemann,40792,1000013211,0,1376276,0,0,,,0ba17782700c82fd4c43eb6b87844d7dfeb90678849ce5fc116bde64ba5b973d,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,2026-01-27,2027-06-30,,,,,NATIVE_CONDITION_TYPE_NOT_EXPORTED,HOLD_NO_SAFE_NATIVE_MUTATION,https://www.transfermarkt.de/manuel-riemann/profil/spieler/40792,64ec8ae87cddee1bd401d26b3e91f9940c7e58cd00c4d553049bdf5bf99402d6,2026-09-12
ENG1,Hull City,Paddy McNair,167268,301431,6239520,917532,0,0,,,3595a162eb03a4b5d8ebee7fcc83b14ac4958c89a1c5a6a6b581063fc3401728,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,2026-01-28,2027-06-30,,,,,NATIVE_CONDITION_TYPE_NOT_EXPORTED,HOLD_NO_SAFE_NATIVE_MUTATION,https://www.transfermarkt.de/paddy-mcnair/profil/spieler/167268,31f360a6a55387b2ac1af2d05c3b2b589e19342c14111afa0500c6fb1f44179d,2026-09-12
CZE1,FK Pardubice,Ales Mandous,240536,11317,786434,790538,1,786441,01.07.2025,30.06.2026,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,2026-01-16,2028-06-30,,,,,CURRENT_OWNER_OR_TERMINAL_EVENT_UNPROVEN,HOLD_NO_SAFE_NATIVE_MUTATION,https://www.transfermarkt.de/ales-mandous/profil/spieler/240536,ed20207d928a06467da493040037d035177a66bab035d5fb7d1c73b966a5c5c2,2026-09-12
ENG1,Aston Villa,Tammy Abraham,331726,199880,3145824,917506,1,1769476,01.07.2025,30.06.2026,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,2026-01-27,2030-06-30,,,,,CURRENT_OWNER_OR_TERMINAL_EVENT_UNPROVEN,HOLD_NO_SAFE_NATIVE_MUTATION,https://www.transfermarkt.de/tammy-abraham/profil/spieler/331726,691c21ed3a6a5093b16a62d2fc509bb81ca4246efaa9812bc259a9f099d6aa9d,2026-09-12
TUR1,Samsunspor,Elayis Tavsan,462086,292895,1769569,3145745,1,1769496,01.07.2025,30.06.2026,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,2026-01-16,2030-06-30,,,,,CURRENT_OWNER_OR_TERMINAL_EVENT_UNPROVEN,HOLD_NO_SAFE_NATIVE_MUTATION,https://www.transfermarkt.de/elayis-tavsan/profil/spieler/462086,41ad95983aab8f243ba758159e6002768c55d5c04d21407e3e25a934d73c5097,2026-09-12
CZE1,SK Slavia Prag,David Jurásek,500054,199892,3145824,786441,1,2490372,01.07.2025,30.06.2026,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,2026-01-16,2029-06-30,,,,,CURRENT_OWNER_OR_TERMINAL_EVENT_UNPROVEN,HOLD_NO_SAFE_NATIVE_MUTATION,https://www.transfermarkt.de/david-jurasek/profil/spieler/500054,abc054d845ddcbd2d2735c773da363c61359c7dce6e9f0d8d22855a4551d6a33,2026-09-12
ENG1,Tottenham Hotspur,Mykhaylo Mudryk,537860,23316,917513,917514,0,0,,,41d6131b4c079318a09c83e77725906c64c8431b2bffba92e27630b5e6093eae,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,2026-09-01,2027-06-30,631,2031-06-30,LOAN,,NATIVE_CONDITION_TYPE_NOT_EXPORTED,HOLD_NO_SAFE_NATIVE_MUTATION,https://www.transfermarkt.de/mykhaylo-mudryk/profil/spieler/537860,0b2b72c6b009136d2ed50d6cbf01e436297919590047c6bb538c772b68ebbf07,2026-09-12
NED1,Willem II Tilburg,Amine Et-Taïbi,565401,136794,2228251,2228239,1,458787,01.07.2025,30.06.2026,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,2026-01-21,2028-06-30,,,,,CURRENT_OWNER_OR_TERMINAL_EVENT_UNPROVEN,HOLD_NO_SAFE_NATIVE_MUTATION,https://www.transfermarkt.de/amine-et-taibi/profil/spieler/565401,7d684a590b64cfff202c962e122520a4581881eecc652b51526e840310805e15,2026-09-12
GER1,FC Schalke 04,Adil Aouchiche,569385,289289,2752524,1376266,1,917524,01.07.2025,30.06.2026,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,2026-02-02,2030-06-30,,,,,CURRENT_OWNER_OR_TERMINAL_EVENT_UNPROVEN,HOLD_NO_SAFE_NATIVE_MUTATION,https://www.transfermarkt.de/adil-aouchiche/profil/spieler/569385,27e6b486a95b46c36d377e74292b14236abfbfa94fa39686024c9882d33b2b43,2026-09-12
NED1,Fortuna Sittard,Shiloh 't Zand,595247,294619,2228232,2228247,0,0,,,6339826bb66fcc7c993e7b23b859e93ab38c97bda50bf7ebbc652781947e69e6,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,2026-07-16,2027-06-30,24366,2028-06-30,LOAN,,NATIVE_CONDITION_TYPE_NOT_EXPORTED,HOLD_NO_SAFE_NATIVE_MUTATION,https://www.transfermarkt.de/shiloh-t-zand/profil/spieler/595247,673d256c71796598dd5bae0a7fceab9788bc86e2d6448cdb316b160469dac010,2026-09-12
