league,player,player_tm_id,fm_id,fifa_id,dob,old_native_club_id,new_native_club_id,current_club,current_club_tm_id,known_join,public_contract_end,old_native_contract_end,event_id,event_date,event_old_club_tm_id,event_new_club_tm_id,roster_profile_agree,identity_method,source_confidence,primary_source,primary_source_sha256,roster_source,roster_source_sha256,profile_source,profile_source_sha256,event_source,event_source_sha256,snapshot_date,status,policy_reason
BEL1,Arthur Cremer,548619,237880,0,2000-08-18,458772,458761,Royal Charleroi SC,172,2026-07-12,,2026-06-30,6421825,,1199,172,YES,DOB_NAME,SECONDARY_ROSTER_PROFILE_PERMANENT_EVENT_END_UNDISCLOSED,,,https://www.transfermarkt.de/royal-charleroi-sc/kader/verein/172/saison_id/2026/plus/1,be345af7e14ab40246420c64e873b34283e56e8aafa6f5b344acf44cf11dfec1,https://www.transfermarkt.de/arthur-cremer/profil/spieler/548619,a85abe597cca4c9d6a2f5a6b5cd41900a79b5db095c1f82c3d02c51d8a9dd97c,https://www.transfermarkt.de/jupiler-pro-league/transfers/wettbewerb/BE1/saison_id/2026,b7bb2a6732c6fd36f5bc04c1a381201e6b000a9931eb01f1c8cd74786f19bd7c,2026-09-12,POLICY_EXCEPTION_REQUIRED,"Current permanent membership and join are confirmed, but no evidenced future contract end exists and the Native08 end is expired"
BEL1,Boubakar Dembaga,1173870,284502,0,2006-06-07,1179655,458761,Royal Charleroi SC,172,2026-07-15,,2026-06-30,6428939,,9668,172,YES,DOB_NAME,PRIMARY_PERMANENT_END_UNDISCLOSED,https://www.sporting-charleroi.be/news/boubakar-dembaga-rejoint-le-sporting-de-charleroi/,331cfa1ea7ae771b83c19c5617b79315e2bf026c37c3f6c6587b33de4e31db5c,https://www.transfermarkt.de/royal-charleroi-sc/kader/verein/172/saison_id/2026/plus/1,be345af7e14ab40246420c64e873b34283e56e8aafa6f5b344acf44cf11dfec1,https://www.transfermarkt.de/boubakar-dembaga/profil/spieler/1173870,dccf3a4475669d76f6de20b969b3c426861d0da9ef85bd7b338a07e71cae0768,https://www.transfermarkt.de/jupiler-pro-league/transfers/wettbewerb/BE1/saison_id/2026,b7bb2a6732c6fd36f5bc04c1a381201e6b000a9931eb01f1c8cd74786f19bd7c,2026-09-12,POLICY_EXCEPTION_REQUIRED,"Current permanent membership and join are confirmed, but no evidenced future contract end exists and the Native08 end is expired"
BEL1,Isaac Cissé,1145004,36543,0,2006-10-10,9175042,458761,Royal Charleroi SC,172,2026-07-29,,2026-06-30,6468900,,7011,172,YES,DOB_NAME,SECONDARY_ROSTER_PROFILE_PERMANENT_EVENT_END_UNDISCLOSED,,,https://www.transfermarkt.de/royal-charleroi-sc/kader/verein/172/saison_id/2026/plus/1,be345af7e14ab40246420c64e873b34283e56e8aafa6f5b344acf44cf11dfec1,https://www.transfermarkt.de/isaac-cisse/profil/spieler/1145004,05148ddacd34bf00aab36f755747cb77783b510f45b2dd7be6c56a001715ca04,https://www.transfermarkt.de/jupiler-pro-league/transfers/wettbewerb/BE1/saison_id/2026,b7bb2a6732c6fd36f5bc04c1a381201e6b000a9931eb01f1c8cd74786f19bd7c,2026-09-12,POLICY_EXCEPTION_REQUIRED,"Current permanent membership and join are confirmed, but no evidenced future contract end exists and the Native08 end is expired"
BEL1,Ahmad Abu Rasen,1159156,76846,277063,2003-11-02,11993090,458759,VV St. Truiden,475,2026-08-17,,2026-06-30,6512013,,1114,475,YES,FIFA_ID,SECONDARY_ROSTER_PROFILE_PERMANENT_EVENT_END_UNDISCLOSED,,,https://www.transfermarkt.de/vv-st-truiden/kader/verein/475/saison_id/2026/plus/1,c0e976a963b2c1507ec52e39bab62ae405f89e7c2149e5b8ecc88e56b4f6ff7a,https://www.transfermarkt.de/ahmad-abu-rasen/profil/spieler/1159156,cd3095717a4e261e11fc421c93aa85901a7595d3ede91fba44d2d8e8605c1003,https://www.transfermarkt.de/jupiler-pro-league/transfers/wettbewerb/BE1/saison_id/2026,b7bb2a6732c6fd36f5bc04c1a381201e6b000a9931eb01f1c8cd74786f19bd7c,2026-09-12,POLICY_EXCEPTION_REQUIRED,"Current permanent membership and join are confirmed, but no evidenced future contract end exists and the Native08 end is expired"
BEL1,Ryotaro Araki,566011,307148,255438,2002-01-29,10682372,458759,VV St. Truiden,475,2026-07-20,,2026-06-30,6440753,,2241,475,YES,FIFA_ID,PRIMARY_PERMANENT_END_UNDISCLOSED,https://stvv.com/nl/nieuws/artikel/stvv-neemt-ryotaro-araki-over-van-kashima-antlers,cc2ec99ca0e9d90e03fa1607e48e9c41871c7c6797cb35265556d1483ae397fb,https://www.transfermarkt.de/vv-st-truiden/kader/verein/475/saison_id/2026/plus/1,c0e976a963b2c1507ec52e39bab62ae405f89e7c2149e5b8ecc88e56b4f6ff7a,https://www.transfermarkt.de/ryotaro-araki/profil/spieler/566011,6ff520c96cdf4a924844d3bc400fc05fcea5782caaa1b155ce5e92918b210c7e,https://www.transfermarkt.de/jupiler-pro-league/transfers/wettbewerb/BE1/saison_id/2026,b7bb2a6732c6fd36f5bc04c1a381201e6b000a9931eb01f1c8cd74786f19bd7c,2026-09-12,POLICY_EXCEPTION_REQUIRED,"Current permanent membership and join are confirmed, but no evidenced future contract end exists and the Native08 end is expired"
CZE1,Leos Prior,1120141,11498,0,2005-01-04,790532,786461,1.FC Slovacko,5544,2026-07-08,,2026-06-30,6412462,,27118,5544,YES,DOB_NAME,SECONDARY_ROSTER_PROFILE_PERMANENT_EVENT_END_UNDISCLOSED,,,https://www.transfermarkt.de/1-fc-slovacko/kader/verein/5544/saison_id/2026/plus/1,42dab36a10cfd13d442ece1bb7499f652fac54d38b8eba2248452673a53bcacf,https://www.transfermarkt.de/leos-prior/profil/spieler/1120141,02703b625240e7d51dabcf4edd9145693b325770d6cd7d79ec3a05227c8441fe,https://www.transfermarkt.de/chance-liga/transfers/wettbewerb/TS1/saison_id/2026,4eb600e7a8e262f0b3e2e95a268a14ae8f515e096d539a31c9981af247ff5f63,2026-09-12,POLICY_EXCEPTION_REQUIRED,"Current permanent membership and join are confirmed, but no evidenced future contract end exists and the Native08 end is expired"
CZE1,Ki-Jana Hoever,485583,23756,246763,2002-01-18,917547,786442,AC Sparta Prag,197,2026-08-25,,2026-06-30,6534818,,543,197,YES,FIFA_ID,SECONDARY_ROSTER_PROFILE_PERMANENT_EVENT_END_UNDISCLOSED,,,https://www.transfermarkt.de/ac-sparta-prag/kader/verein/197/saison_id/2026/plus/1,6b74c895ae1857517e5325904312eb2643155a1ddb4be2ba7e884a9840dcea35,https://www.transfermarkt.de/ki-jana-hoever/profil/spieler/485583,9c3bd4678a37695ca2160875ae4107d651e38e6c4c34482f9903f34e0ba65c1b,https://www.transfermarkt.de/chance-liga/transfers/wettbewerb/TS1/saison_id/2026,4eb600e7a8e262f0b3e2e95a268a14ae8f515e096d539a31c9981af247ff5f63,2026-09-12,POLICY_EXCEPTION_REQUIRED,"Current permanent membership and join are confirmed, but no evidenced future contract end exists and the Native08 end is expired"
CZE1,Loïc Mbe Soh,463610,236433,248603,2001-06-13,458802,786442,AC Sparta Prag,197,2026-08-25,,2026-06-30,6532133,,475,197,YES,FIFA_ID,SECONDARY_ROSTER_PROFILE_PERMANENT_EVENT_END_UNDISCLOSED,,,https://www.transfermarkt.de/ac-sparta-prag/kader/verein/197/saison_id/2026/plus/1,6b74c895ae1857517e5325904312eb2643155a1ddb4be2ba7e884a9840dcea35,https://www.transfermarkt.de/loic-mbe-soh/profil/spieler/463610,77b20bb6f61b99c6f7c63dd7530f84ddaf799edf9c2795b0f350977fa9d87235,https://www.transfermarkt.de/chance-liga/transfers/wettbewerb/TS1/saison_id/2026,4eb600e7a8e262f0b3e2e95a268a14ae8f515e096d539a31c9981af247ff5f63,2026-09-12,POLICY_EXCEPTION_REQUIRED,"Current permanent membership and join are confirmed, but no evidenced future contract end exists and the Native08 end is expired"
CZE1,Roman Macek,256085,11318,237317,1997-04-18,786434,786442,AC Sparta Prag,197,2026-08-01,,2026-06-30,6474124,,5546,197,YES,FIFA_ID,SECONDARY_ROSTER_PROFILE_PERMANENT_EVENT_END_UNDISCLOSED,,,https://www.transfermarkt.de/ac-sparta-prag/kader/verein/197/saison_id/2026/plus/1,6b74c895ae1857517e5325904312eb2643155a1ddb4be2ba7e884a9840dcea35,https://www.transfermarkt.de/roman-macek/profil/spieler/256085,30c170ee12b7cdb911440fadd00d9849604120e10c4f6931054dc20790a4cc99,https://www.transfermarkt.de/chance-liga/transfers/wettbewerb/TS1/saison_id/2026,4eb600e7a8e262f0b3e2e95a268a14ae8f515e096d539a31c9981af247ff5f63,2026-09-12,POLICY_EXCEPTION_REQUIRED,"Current permanent membership and join are confirmed, but no evidenced future contract end exists and the Native08 end is expired"
CZE1,Viktor Vitályos,1161671,107480,0,2007-07-18,1507331,786442,AC Sparta Prag,197,2026-07-01,,2026-06-30,6194721,,634,197,YES,DOB_NAME,SECONDARY_ROSTER_PROFILE_PERMANENT_EVENT_END_UNDISCLOSED,,,https://www.transfermarkt.de/ac-sparta-prag/kader/verein/197/saison_id/2026/plus/1,6b74c895ae1857517e5325904312eb2643155a1ddb4be2ba7e884a9840dcea35,https://www.transfermarkt.de/viktor-vitalyos/profil/spieler/1161671,c2e298c1bed64f421ec2ddaddbdef039bb7480cdc1b236e0b1f5b7297125e4d9,https://www.transfermarkt.de/chance-liga/transfers/wettbewerb/TS1/saison_id/2026,4eb600e7a8e262f0b3e2e95a268a14ae8f515e096d539a31c9981af247ff5f63,2026-09-12,POLICY_EXCEPTION_REQUIRED,"Current permanent membership and join are confirmed, but no evidenced future contract end exists and the Native08 end is expired"
