row_id,decision,technical_action,implementation_status,native_fm_id,detail
FM27-005289484b479f43cfdff503,NONBLOCKING,,RESOLVED_NO_CHANGE,296603,RESOLVED
FM27-0059c4cbd441b01d52a4dd1c,NONBLOCKING,,RESOLVED_NO_CHANGE,,RESOLVED
FM27-00c9a7c35e46f7b95415101a,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,277082,MOVE_PRESERVE_METADATA
FM27-00f7e3d9a098f725ba6fa942,NONBLOCKING,,RESOLVED_NO_CHANGE,200980,RESOLVED
FM27-0115ab060749c1fa615ff6b1,KEEP_EXISTING,NO_CHANGE_KEEP_EXISTING,RESOLVED_NO_CHANGE,276348,EXTERNALLY_RESOLVED_NO_CHANGE
FM27-012fbfd6533d583b98a5ae84,NONBLOCKING,,RESOLVED_NO_CHANGE,,RESOLVED
FM27-01fb8bf6e8f629c843ccd45b,NONBLOCKING,,RESOLVED_NO_CHANGE,,RESOLVED
FM27-023d44c7d114fdd3cd23c287,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,100534,MOVE_PRESERVE_METADATA
FM27-03351a546ebd75805fd49cc5,KEEP_EXISTING,NO_CHANGE_KEEP_EXISTING,RESOLVED_NO_CHANGE,275441,EXTERNALLY_RESOLVED_NO_CHANGE
FM27-03a2b311b314bc308f74ac3c,NONBLOCKING,,RESOLVED_NO_CHANGE,,RESOLVED
FM27-03cc6c66c7bd23bec44ca9eb,KEEP_EXISTING,NO_CHANGE_KEEP_EXISTING,RESOLVED_NO_CHANGE,277290,EXTERNALLY_RESOLVED_NO_CHANGE
FM27-0455f5d8f00ac5f775a4456b,ESCALATE_TECHNICAL,CREATE_OR_BRIDGE_IDENTITY,RESOLVED_IDENTITY_BRIDGE_NO_STATE_CHANGE,23903,Reinildo Mandava
FM27-04b1dafba4d53c26ccd1838d,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,276599,MOVE_PRESERVE_METADATA
FM27-05686f0480329515e73f5ac4,KEEP_EXISTING,NO_CHANGE_KEEP_EXISTING,RESOLVED_NO_CHANGE,275511,EXTERNALLY_RESOLVED_NO_CHANGE
FM27-05813e06b47cb25056dd599a,NONBLOCKING,,RESOLVED_NO_CHANGE,,RESOLVED
FM27-0597f7475e2376d8b33a7839,NONBLOCKING,,RESOLVED_NO_CHANGE,266804,RESOLVED
FM27-05e6e6d32ab5c410b8add184,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,272755,RESOLVE_EXPIRED_LOAN
FM27-066e05b6c4579bb77c55e279,ESCALATE_TECHNICAL,SET_CURRENT_LOAN,TECHNICAL_BLOCKER,277861,"Native owner contract ends 2026-06-30, before resolved loan end 2027-06-30; no replacement contract date supplied."
FM27-06766128cb14870417ad61dc,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,255346,MOVE_PRESERVE_METADATA
FM27-06a2f7bfb1bbabf2ea1d5df2,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,1000013989,MOVE_PRESERVE_METADATA
FM27-06a3877101dd8e195b453def,ESCALATE_TECHNICAL,SET_CURRENT_LOAN,TECHNICAL_BLOCKER,11252,"Native owner contract ends 2026-06-30, before resolved loan end 2027-06-30; no replacement contract date supplied."
FM27-0750386296568c137a22392d,KEEP_EXISTING,NO_CHANGE_KEEP_EXISTING,RESOLVED_NO_CHANGE,268503,EXTERNALLY_RESOLVED_NO_CHANGE
FM27-078e966810d9ce430c7898b4,NONBLOCKING,,RESOLVED_NO_CHANGE,,RESOLVED
FM27-07a12857a5061420f9ba526c,NONBLOCKING,,RESOLVED_NO_CHANGE,,RESOLVED
FM27-07f244c71b4ddabc8a1b6fc8,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,231683,MOVE_PRESERVE_METADATA
FM27-080deb419d6cdd8625a7000a,KEEP_EXISTING,NO_CHANGE_KEEP_EXISTING,RESOLVED_NO_CHANGE,286744,EXTERNALLY_RESOLVED_NO_CHANGE
FM27-0810a84eafa1e4b9cb14a258,ESCALATE_TECHNICAL,CREATE_OR_BRIDGE_IDENTITY,RESOLVED_IDENTITY_BRIDGE_NO_STATE_CHANGE,269703,Samuel Moïse Althaus
FM27-083a0c7851e413f26c2b1b4e,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,291000,RESOLVE_EXPIRED_LOAN
FM27-084c912823490b04f59a66b7,KEEP_EXISTING,NO_CHANGE_KEEP_EXISTING,RESOLVED_NO_CHANGE,11841,EXTERNALLY_RESOLVED_NO_CHANGE
FM27-08770b4612b1a0e439ae632c,KEEP_EXISTING,NO_CHANGE_KEEP_EXISTING,RESOLVED_NO_CHANGE,296758,EXTERNALLY_RESOLVED_NO_CHANGE
FM27-0905a02028eb5af3825d1582,KEEP_EXISTING,NO_CHANGE_KEEP_EXISTING,RESOLVED_NO_CHANGE,275699,EXTERNALLY_RESOLVED_NO_CHANGE
FM27-0935ae4e6f49177f34f25bd1,ESCALATE_TECHNICAL,MOVE_TO_TARGET_PRESERVE_METADATA,STAGED_TECHNICAL,187814,MOVE_PRESERVE_METADATA
