league,club_name,external_club_id,native_club_id,membership_source_status,roster_observations,resolved_observations,review_rows,source_coverage,native_membership_coverage,native_league_status
BEL1,Cercle Brügge,520,458755,CONFIRMED,29,27,5,PASS,APPLIED_NATIVE08,DIFF
BEL1,Club Brügge,2282,458756,CONFIRMED,28,27,1,PASS,APPLIED_NATIVE08,DIFF
BEL1,KAA Gent,157,458753,CONFIRMED,33,32,2,PASS,APPLIED_NATIVE08,DIFF
BEL1,KRC Genk,1184,458768,CONFIRMED,31,30,2,PASS,APPLIED_NATIVE08,DIFF
BEL1,KV Kortrijk,601,458781,CONFIRMED,30,29,2,PASS,PENDING_NATIVE_MEMBERSHIP,DIFF
BEL1,KV Mechelen,354,458787,CONFIRMED,34,32,3,PASS,APPLIED_NATIVE08,DIFF
BEL1,KVC Westerlo,968,458763,CONFIRMED,31,29,6,PASS,APPLIED_NATIVE08,DIFF
BEL1,Lommel SK,5026,458783,CONFIRMED,29,27,5,PASS,PENDING_NATIVE_MEMBERSHIP,DIFF
BEL1,Oud-Heverlee Leuven,2727,458775,CONFIRMED,34,34,5,PASS,APPLIED_NATIVE08,DIFF
BEL1,RAAL La Louvière,3901,471041,CONFIRMED,28,28,3,PASS,APPLIED_NATIVE08,DIFF
BEL1,RSC Anderlecht,58,458766,CONFIRMED,33,33,0,PASS,APPLIED_NATIVE08,DIFF
BEL1,Royal Antwerpen FC,1096,458785,CONFIRMED,31,28,8,PASS,APPLIED_NATIVE08,DIFF
BEL1,Royal Charleroi SC,172,458761,CONFIRMED,25,22,8,PASS,APPLIED_NATIVE08,DIFF
BEL1,SK Beveren,28643,458788,CONFIRMED,29,28,5,PASS,PENDING_NATIVE_MEMBERSHIP,DIFF
BEL1,Standard Lüttich,3057,458760,CONFIRMED,27,27,1,PASS,APPLIED_NATIVE08,DIFF
BEL1,Union Saint-Gilloise,3948,458780,CONFIRMED,26,26,2,PASS,APPLIED_NATIVE08,DIFF
BEL1,VV St. Truiden,475,458759,CONFIRMED,27,26,5,PASS,APPLIED_NATIVE08,DIFF
BEL1,Zulte Waregem,3508,458782,CONFIRMED,27,27,3,PASS,APPLIED_NATIVE08,DIFF
CZE1,1.FC Slovacko,5544,786461,CONFIRMED,30,29,4,PASS,APPLIED_NATIVE08,MATCH
CZE1,AC Sparta Prag,197,786442,CONFIRMED,30,28,11,PASS,APPLIED_NATIVE08,MATCH
CZE1,Bohemians Prag 1905,715,786453,CONFIRMED,30,30,5,PASS,APPLIED_NATIVE08,MATCH
CZE1,FC Banik Ostrau,377,786446,CONFIRMED,26,25,7,PASS,APPLIED_NATIVE08,MATCH
CZE1,FC Hradec Kralove,1897,790530,CONFIRMED,27,27,4,PASS,APPLIED_NATIVE08,MATCH
CZE1,FC Slovan Liberec,697,786438,CONFIRMED,31,31,2,PASS,APPLIED_NATIVE08,MATCH
CZE1,FC Viktoria Pilsen,941,786450,CONFIRMED,29,29,2,PASS,APPLIED_NATIVE08,MATCH
CZE1,FC Zbrojovka Brünn,5225,786447,CONFIRMED,31,30,10,PASS,APPLIED_NATIVE08,MATCH
CZE1,FC Zlin,5545,786445,CONFIRMED,33,32,4,PASS,APPLIED_NATIVE08,MATCH
CZE1,FK Jablonec,1322,786437,CONFIRMED,29,29,7,PASS,APPLIED_NATIVE08,MATCH
CZE1,FK Mlada Boleslav,5546,786434,CONFIRMED,30,27,14,PASS,APPLIED_NATIVE08,MATCH
CZE1,FK Pardubice,1496,790538,CONFIRMED,32,30,12,PASS,APPLIED_NATIVE08,MATCH
CZE1,FK Teplice,814,786443,CONFIRMED,32,32,7,PASS,APPLIED_NATIVE08,MATCH
CZE1,SK Artis Brünn,24325,790564,CONFIRMED,34,33,12,PASS,APPLIED_NATIVE08,MATCH
CZE1,SK Sigma Olmütz,2311,786439,CONFIRMED,32,31,7,PASS,APPLIED_NATIVE08,MATCH
CZE1,SK Slavia Prag,62,786441,CONFIRMED,29,29,5,PASS,APPLIED_NATIVE08,MATCH
ENG1,AFC Bournemouth,989,917553,CONFIRMED,29,29,3,PASS,APPLIED_NATIVE08,MATCH
ENG1,AFC Sunderland,289,917524,CONFIRMED,29,29,2,PASS,APPLIED_NATIVE08,MATCH
ENG1,Aston Villa,405,917506,CONFIRMED,28,27,4,PASS,APPLIED_NATIVE08,MATCH
ENG1,Brighton & Hove Albion,1237,917529,CONFIRMED,30,30,0,PASS,APPLIED_NATIVE08,MATCH
ENG1,Coventry City,990,917530,CONFIRMED,29,29,2,PASS,APPLIED_NATIVE08,MATCH
ENG1,Crystal Palace,873,917535,CONFIRMED,28,28,2,PASS,APPLIED_NATIVE08,MATCH
ENG1,FC Arsenal,11,917505,CONFIRMED,24,24,1,PASS,APPLIED_NATIVE08,MATCH
ENG1,FC Brentford,1148,917569,CONFIRMED,29,28,1,PASS,APPLIED_NATIVE08,MATCH
ENG1,FC Chelsea,631,917513,CONFIRMED,27,26,1,PASS,APPLIED_NATIVE08,MATCH
ENG1,FC Everton,29,917517,CONFIRMED,21,21,0,PASS,APPLIED_NATIVE08,MATCH
ENG1,FC Fulham,931,917521,CONFIRMED,26,26,0,PASS,APPLIED_NATIVE08,MATCH
ENG1,FC Liverpool,31,917509,CONFIRMED,27,26,1,PASS,APPLIED_NATIVE08,MATCH
ENG1,Hull City,3008,917532,CONFIRMED,33,32,6,PASS,APPLIED_NATIVE08,MATCH
ENG1,Ipswich Town,677,917538,CONFIRMED,28,28,1,PASS,APPLIED_NATIVE08,MATCH
ENG1,Leeds United,399,917545,CONFIRMED,24,24,0,PASS,APPLIED_NATIVE08,MATCH
ENG1,Manchester City,281,917518,CONFIRMED,25,25,1,PASS,APPLIED_NATIVE08,MATCH
ENG1,Manchester United,985,917519,CONFIRMED,30,30,0,PASS,APPLIED_NATIVE08,MATCH
ENG1,Newcastle United,762,917523,CONFIRMED,25,25,0,PASS,APPLIED_NATIVE08,MATCH
ENG1,Nottingham Forest,703,917549,CONFIRMED,24,24,0,PASS,APPLIED_NATIVE08,MATCH
ENG1,Tottenham Hotspur,148,917514,CONFIRMED,28,27,2,PASS,APPLIED_NATIVE08,MATCH
ESP1,Athletic Bilbao,621,2949121,CONFIRMED,26,26,0,PASS,APPLIED_NATIVE08,MATCH
ESP1,Atlético Madrid,13,2949122,CONFIRMED,25,24,1,PASS,APPLIED_NATIVE08,MATCH
ESP1,CA Osasuna,331,2949132,CONFIRMED,23,23,0,PASS,APPLIED_NATIVE08,MATCH
ESP1,Celta Vigo,940,2949159,CONFIRMED,25,24,1,PASS,APPLIED_NATIVE08,MATCH
ESP1,Deportivo A Coruña,897,2949127,CONFIRMED,28,28,3,PASS,APPLIED_NATIVE08,MATCH
ESP1,Deportivo Alavés,1108,2949141,CONFIRMED,24,23,2,PASS,APPLIED_NATIVE08,MATCH
ESP1,Espanyol Barcelona,714,2949125,CONFIRMED,25,25,1,PASS,APPLIED_NATIVE08,MATCH
ESP1,FC Barcelona,131,2949124,CONFIRMED,27,27,0,PASS,APPLIED_NATIVE08,MATCH
ESP1,FC Elche,1531,2949148,CONFIRMED,28,28,1,PASS,APPLIED_NATIVE08,MATCH
ESP1,FC Getafe,3709,2949126,CONFIRMED,23,22,1,PASS,APPLIED_NATIVE08,MATCH
ESP1,FC Málaga,1084,2949129,CONFIRMED,28,28,1,PASS,APPLIED_NATIVE08,MATCH
ESP1,FC Sevilla,368,2949138,CONFIRMED,26,24,3,PASS,APPLIED_NATIVE08,MATCH
ESP1,FC Valencia,1049,2949139,CONFIRMED,27,27,1,PASS,APPLIED_NATIVE08,MATCH
ESP1,FC Villarreal,1050,2949140,CONFIRMED,24,24,0,PASS,APPLIED_NATIVE08,MATCH
ESP1,Racing Santander,630,2949137,CONFIRMED,24,24,4,PASS,APPLIED_NATIVE08,MATCH
ESP1,Rayo Vallecano,367,2949171,CONFIRMED,27,27,0,PASS,APPLIED_NATIVE08,MATCH
ESP1,Real Betis Sevilla,150,2949133,CONFIRMED,25,24,2,PASS,APPLIED_NATIVE08,MATCH
ESP1,Real Madrid,418,2949134,CONFIRMED,27,27,0,PASS,APPLIED_NATIVE08,MATCH
ESP1,Real Sociedad San Sebastián,681,2949135,CONFIRMED,24,24,0,PASS,APPLIED_NATIVE08,MATCH
ESP1,UD Levante,3368,2949128,CONFIRMED,25,22,5,PASS,APPLIED_NATIVE08,MATCH
FRA1,AJ Auxerre,290,1179654,CONFIRMED,32,31,3,PASS,APPLIED_NATIVE08,MATCH
FRA1,AS Monaco,162,1179655,CONFIRMED,26,25,1,PASS,APPLIED_NATIVE08,MATCH
FRA1,Angers SCO,1420,1179782,CONFIRMED,22,22,0,PASS,APPLIED_NATIVE08,MATCH
FRA1,ESTAC Troyes,1095,1179683,CONFIRMED,28,28,2,PASS,APPLIED_NATIVE08,MATCH
FRA1,FC Le Mans,1164,1179682,CONFIRMED,29,29,3,PASS,APPLIED_NATIVE08,MATCH
FRA1,FC Lorient,1158,1179673,CONFIRMED,25,25,2,PASS,APPLIED_NATIVE08,MATCH
FRA1,FC Stade Rennes,273,1179656,CONFIRMED,26,24,2,PASS,APPLIED_NATIVE08,MATCH
FRA1,FC Toulouse,415,1179657,CONFIRMED,24,23,1,PASS,APPLIED_NATIVE08,MATCH
FRA1,LOSC Lille,1082,1179665,CONFIRMED,27,27,0,PASS,APPLIED_NATIVE08,MATCH
FRA1,Le Havre AC,738,1179681,CONFIRMED,26,25,3,PASS,APPLIED_NATIVE08,MATCH
