league,expected_clubs,observed_clubs,clubs_with_minimum_squad,missing_clubs,thin_club_ids,expected_source,status
ENG1,20,20,20,0,,MEMBERSHIP,PASS
ITA1,20,20,20,0,,MEMBERSHIP,PASS
ESP1,20,20,20,0,,MEMBERSHIP,PASS
GER1,18,18,18,0,,MEMBERSHIP,PASS
FRA1,18,18,18,0,,MEMBERSHIP,PASS
POR1,18,18,18,0,,MEMBERSHIP,PASS
NED1,18,18,18,0,,MEMBERSHIP,PASS
BEL1,18,18,18,0,,MEMBERSHIP,PASS
TUR1,18,18,18,0,,MEMBERSHIP,PASS
CZE1,16,16,16,0,,MEMBERSHIP,PASS
GER2,18,18,18,0,,MEMBERSHIP,PASS
GER3,20,20,20,0,,MEMBERSHIP,PASS
