player_tm_id,creation_fm_id,creation_name,dob,creation_nationality1,creation_nationality2,creation_club_id,profile_full_name,profile_club_tm_id,loan_owner_tm_id,owner_contract_until,loan_end,candidate_fm_id,candidate_fifa_id,candidate_name,candidate_common_name,candidate_nationality,candidate_club_id,name_similarity,surname_similarity,decision,reason,source,source_sha256,snapshot_date
107665,1000024821,Filip Novak,1990-06-26,12,0,786437,Filip Novák,1322,,,,,,,,,,0.0000,0.0000,CREATE_CLEAR,No plausible Native08 DOB/name/nationality candidate and no sourced current loan,https://www.transfermarkt.de/fk-jablonec/kader/verein/1322/saison_id/2026/plus/1,fa6bc207fa67c20e0cd9ca574d81e19d3d8b6b77840b71993b1620a5a4b28b21,2026-09-12
175446,1000024822,Jonny Otto,1994-03-03,45,0,2949141,Jonathan Castro Otto,1108,,,,283825,210455,Jonathan Castro,Jonny,45,2949141,0.7143,0.2222,HOLD_NATIVE08_IDENTITY_CANDIDATE,Same DOB and nationality with plausible surname/full-name alias; creation prohibited pending identity adjudication,https://www.transfermarkt.de/jonny-otto/profil/spieler/175446,8167a0072d69e483a108dfab62f9863d488149abcac44f5f6687ae4234f949e4,2026-09-12
187203,1000024823,Eric Verstappen,1994-05-19,34,0,1376282,,,,,,,,,,,,0.0000,0.0000,CREATE_CLEAR,No plausible Native08 DOB/name/nationality candidate and no sourced current loan,https://www.transfermarkt.de/eric-verstappen/profil/spieler/187203,f725240eef1536865fb62a0ad9a6a0d8b45745ec73772fcb06bb0cfb7bdbd2db,2026-09-12
191829,1000024824,Dimitrios Goutas,1994-04-04,22,0,3145836,Δημήτριος Γούτας,820,,,,200401,229703,Dimitris Goutas,,22,3145836,0.9655,1.0000,BRIDGE_EXISTING_NATIVE08,Draft04 exact string-id collision proves alias of existing Native08 identity,https://www.transfermarkt.de/dimitrios-goutas/profil/spieler/191829,fe2be9c537825fe64b369b25a5c7aac2d3c8a9098f306bc44241d234dba680b3,2026-09-12
211628,1000024825,Mohamed Bouldini,1995-11-27,129,0,2494468,محمد بولديني,7788,,,,285154,262744,Mohammed Bouldini,M. Bouldini,129,2949245,0.7500,1.0000,BRIDGE_EXISTING_NATIVE08,Draft04 exact string-id collision proves alias of existing Native08 identity,https://www.transfermarkt.de/mohamed-bouldini/profil/spieler/211628,2e794db9c874f662a1b1740acaa0f324fb151e8512818b398c9a21f289d3556e,2026-09-12
272619,1000024826,Romain Cagnon,1997-05-12,18,0,1179685,,3911,,,,,,,,,,0.0000,0.0000,CREATE_CLEAR,No plausible Native08 DOB/name/nationality candidate and no sourced current loan,https://www.transfermarkt.de/romain-cagnon/profil/spieler/272619,dd5a290c2ea07eebda93410295d4966a56c232a72a55a3218f14ee4b4ef3b29e,2026-09-12
453704,1000024827,Álvaro Ferllo,1998-04-13,45,0,2949127,Álvaro Fernández Llorente,897,,,,,,,,,,0.0000,0.0000,CREATE_CLEAR,No plausible Native08 DOB/name/nationality candidate and no sourced current loan,https://www.transfermarkt.de/deportivo-a-coruna/kader/verein/897/saison_id/2026/plus/1,7550b0f31442bf21d6149b2642a4ee1c6a58307c97068ea0c26d45e205ddb6c5,2026-09-12
482386,1000024828,Qëndrim Zyba,2001-02-03,207,0,786438,,697,,,,,,,,,,0.0000,0.0000,CREATE_CLEAR,No plausible Native08 DOB/name/nationality candidate and no sourced current loan,https://www.transfermarkt.de/fc-slovan-liberec/kader/verein/697/saison_id/2026/plus/1,6aba2d7156fcbb82e5f0f245492c388de338ad498bd8ff4bd953a9b7fb194317,2026-09-12
486031,1000024829,Nico González,1998-04-06,52,27,1769482,Nicolás Iván Gonzalez,506,,,,284973,240690,Nicolás González,N. Gonzalez,52,2949122,0.8571,1.0000,BRIDGE_EXISTING_NATIVE08,Draft04 exact string-id collision proves alias of existing Native08 identity,https://www.transfermarkt.de/juventus-turin/kader/verein/506/saison_id/2026/plus/1,0009d8e86a1fcff175fb368bcdc9cac816372b11375dc9917e504e11cc3f9b54,2026-09-12
528222,1000024830,Lorenz Ender,2001-01-06,21,0,1376306,,,,,,,,,,,,0.0000,0.0000,CREATE_CLEAR,No plausible Native08 DOB/name/nationality candidate and no sourced current loan,https://www.transfermarkt.de/lorenz-ender/profil/spieler/528222,819f85a5d1af3bde7298e3f9f736b55c2ce9207c82a31138f06d823082aa5b74,2026-09-12
537844,1000024831,Anatoliy Trubin,2001-08-01,49,0,2490372,Трубін Анатолій Володимирович,294,,,,288116,250753,Anatolii Trubin,Trubin,49,2490372,0.6000,1.0000,BRIDGE_EXISTING_NATIVE08,Draft04 exact string-id collision proves alias of existing Native08 identity,https://www.transfermarkt.de/anatoliy-trubin/profil/spieler/537844,f026c7abf7f57433572c38afd4cbf7924673c043ffc106ddd53f46bf38169590,2026-09-12
546186,1000024832,Georgios Vagiannidis,2001-09-12,22,0,2490382,Γεώργιος Βαγιαννίδης,336,,,,286426,255634,Giorgos Vagiannidis,Vagiannidis,22,2490382,0.7333,1.0000,HOLD_NATIVE08_IDENTITY_CANDIDATE,Same DOB and nationality with plausible surname/full-name alias; creation prohibited pending identity adjudication,https://www.transfermarkt.de/georgios-vagiannidis/profil/spieler/546186,1e5e07e8a94157bbe0e9fbda7b753e53c2edd5b87b17ea28693748c8f2f9a3ac,2026-09-12
567516,1000024833,Gabi,2000-04-18,38,0,2494469,,3268,,,,153208,0,Márcio Pereira,Gabi Pereira,38,2494490,0.5333,0.1818,HOLD_NATIVE08_IDENTITY_CANDIDATE,Same DOB and nationality with plausible surname/full-name alias; creation prohibited pending identity adjudication,https://www.transfermarkt.de/gabi/profil/spieler/567516,6ae77096870082b49cae73cbf2b2463e308c2703dd6e668927d87b5c282c62fd,2026-09-12
584452,1000024834,Nikolaos Michelis,2001-03-23,22,0,2494468,Νικόλαος Μιχελής,7788,,,,153244,263555,Nikos Michelis,Michelis,22,2494468,0.6667,1.0000,BRIDGE_EXISTING_NATIVE08,Draft04 exact string-id collision proves alias of existing Native08 identity,https://www.transfermarkt.de/nikolaos-michelis/profil/spieler/584452,6fe07221674555f4bfd05c719acbb657c2fee56d3bc0dbf0b0cc999bb3231f83,2026-09-12
631404,1000024835,Gorby,2002-07-25,18,80,2490374,,1075,,,,286885,264418,Jean-Baptiste Gorby,Gorby J. B.,18,2490374,0.8333,0.3333,HOLD_NATIVE08_IDENTITY_CANDIDATE,Same DOB and nationality with plausible surname/full-name alias; creation prohibited pending identity adjudication,https://www.transfermarkt.de/gorby/profil/spieler/631404,550374f0e65dd2749126401a811d82d2c82ed3ed4e2bc3e57ed2ba96f49dd9eb,2026-09-12
634430,1000024836,Israel Salazar,2003-05-10,45,0,2490386,Israel Salazar Píriz,1465,,,,180149,259424,Israel Salazar,Sala,45,2490386,0.4706,0.7273,HOLD_NATIVE08_IDENTITY_CANDIDATE,Same DOB and nationality with plausible surname/full-name alias; creation prohibited pending identity adjudication,https://www.transfermarkt.de/israel-salazar/profil/spieler/634430,899f34752b34ba5ece3535a1baeb89cf64f40beed85b54ee612462a2118243c9,2026-09-12
639733,1000024837,Peque Fernández,2002-10-04,45,0,2949138,Gerard Fernández Castellano,368,,,,281325,270301,Gerard Fernández,Peque,45,2949138,0.5263,0.2857,HOLD_NATIVE08_IDENTITY_CANDIDATE,Same DOB and nationality with plausible surname/full-name alias; creation prohibited pending identity adjudication,https://www.transfermarkt.de/peque-fernandez/profil/spieler/639733,513c83051ef53a9c560c9d798d0bb01638d70e40200239327d9a9c918c0461dc,2026-09-12
648541,1000024838,Gabi Caschili,2003-07-14,34,27,2228252,Gabrielle Caschili,1434,,,,,,,,,,0.0000,0.0000,CREATE_CLEAR,No plausible Native08 DOB/name/nationality candidate and no sourced current loan,https://www.transfermarkt.de/gabi-caschili/profil/spieler/648541,32aebda1d903bd78fe1ea2ee28c3b7ad20418b68617585cebd6a224544c0ee51,2026-09-12
662332,1000024839,Juan,2002-03-07,54,0,3145820,,1467,,,,200016,73864,Juan Santos da Silva,Juan Santos,54,3145820,0.5714,0.4000,HOLD_NATIVE08_IDENTITY_CANDIDATE,Same DOB and nationality with plausible surname/full-name alias; creation prohibited pending identity adjudication,https://www.transfermarkt.de/juan/profil/spieler/662332,9a7a5750e957c82c27c189f81a5f64f1f3f553a22b9c974558e5b199250b2fc0,2026-09-12
669380,1000024840,Konstantinos Koulierakis,2003-11-28,22,0,1769476,Κωνσταντίνος Κουλιεράκης,12,,,,99998,270077,Kostas Koulierakis,,22,1769476,0.8500,1.0000,BRIDGE_EXISTING_NATIVE08,Draft04 exact string-id collision proves alias of existing Native08 identity,https://www.transfermarkt.de/konstantinos-koulierakis/profil/spieler/669380,24b70e8cbf6f8eba06502e6c9f5dcafae2a2df99cc7e2d4ca2dc39d9c6feda87,2026-09-12
683571,1000024841,Tolu Arokodare,2000-11-23,133,0,2228227,Toluwalase Emmanuel Arokodare,610,543,2029-06-30,2027-06-30,23757,258911,Toluwalase Arokodare,Tolu,133,917547,0.4706,0.1538,BRIDGE_EXISTING_NATIVE08,Draft04 exact string-id collision proves alias of existing Native08 identity,https://www.transfermarkt.de/ajax-amsterdam/kader/verein/610/saison_id/2026/plus/1,f5e17e90fd0fa7a2962da880b80d3f5be8fc736c45ff9203a638be8e951725f8,2026-09-12
704456,1000024842,Nosa Edward Obaretin,2003-01-26,27,133,1179673,,1158,6195,,2027-06-30,290775,73296,Nosa Obaretin,,27,1769495,0.8000,1.0000,HOLD_NATIVE08_IDENTITY_CANDIDATE,Same DOB and nationality with plausible surname/full-name alias; creation prohibited pending identity adjudication,https://www.transfermarkt.de/fc-lorient/kader/verein/1158/saison_id/2026/plus/1,8985aded9368fca7ce5d7744ed4210e43a27554002fd29e32ed7f2454f7c3087,2026-09-12
724039,1000024843,Georgios Koutsias,2004-02-08,22,0,2490398,Γεώργιος Κούτσιας,3329,,,,193692,258834,Giorgos Koutsias,,22,3080210,0.9032,1.0000,HOLD_NATIVE08_IDENTITY_CANDIDATE,Same DOB and nationality with plausible surname/full-name alias; creation prohibited pending identity adjudication,https://www.transfermarkt.de/georgios-koutsias/profil/spieler/724039,9ffb9c24dd71b72b26eb8dbae77a8478ba39558e051c2de37e6b827f61f7d957,2026-09-12
726014,1000024844,Maksym Dyachuk,2003-07-21,49,0,786446,Дячук Максим Ростиславович,377,338,2028-06-30,2027-06-30,148921,274729,Maksym Diachuk,,49,2424864,0.9231,0.8571,HOLD_NATIVE08_IDENTITY_CANDIDATE,Same DOB and nationality with plausible surname/full-name alias; creation prohibited pending identity adjudication,https://www.transfermarkt.de/maksym-dyachuk/profil/spieler/726014,e9bd243126b449ba3bfe8a5dee044f51895766951da6d57cb53fedb88ec7e183,2026-09-12
747243,1000024845,Gyan de Regt,2003-08-18,34,0,1376418,,,,,,,,,,,,0.0000,0.0000,CREATE_CLEAR,No plausible Native08 DOB/name/nationality candidate and no sourced current loan,https://www.transfermarkt.de/gyan-de-regt/profil/spieler/747243,91f1001c00d18d82ae563dc905ff8a875c903688316fbc52345147eae39ff836,2026-09-12
754037,1000024846,Abbosbek Fayzullaev,2003-10-03,191,0,3145841,Файзуллаев Аббосбек Саиджон угли,6890,,,,199935,80304,Abbosbek Fayzullayev,,191,3145841,0.9730,0.9524,HOLD_NATIVE08_IDENTITY_CANDIDATE,Same DOB and nationality with plausible surname/full-name alias; creation prohibited pending identity adjudication,https://www.transfermarkt.de/abbosbek-fayzullaev/profil/spieler/754037,09938b09a05ff61f2d34b6e8c6c41a16ac30c2a63cb2a9ef8fc33c0cc08951ed,2026-09-12
763090,1000024847,Mukhammadali Urinboev,2005-04-24,191,0,458785,Муҳаммадали Бахтиёр ўғли Ўринбоев,1096,,,,235347,79458,Muhammadali O'rinboyev,,191,458785,0.9000,0.8750,HOLD_NATIVE08_IDENTITY_CANDIDATE,Same DOB and nationality with plausible surname/full-name alias; creation prohibited pending identity adjudication,https://www.transfermarkt.de/mukhammadali-urinboev/profil/spieler/763090,f3cbeafaadb5d41bbb8fa837dccd3a2cd722f1be41afcfbfeb265266b343827f,2026-09-12
768562,1000024848,Bénito,2003-08-21,18,107,2490394,,2431,,,,,,,,,,0.0000,0.0000,CREATE_CLEAR,No plausible Native08 DOB/name/nationality candidate and no sourced current loan,https://www.transfermarkt.de/cf-estrela-amadora/kader/verein/2431/saison_id/2026/plus/1,518e3a2e95f5774700d01db49dd50f80d4ccbc790493950412b68c785a7de654,2026-09-12
810846,1000024849,Kaylen,2004-04-05,21,54,2228247,,385,,,,,,,,,,0.0000,0.0000,CREATE_CLEAR,No plausible Native08 DOB/name/nationality candidate and no sourced current loan,https://www.transfermarkt.de/kaylen/profil/spieler/810846,b186e93809e1c410f1aea6a45ae06f6e55c4c824242dd5688e149df946158333,2026-09-12
839551,1000024850,Ondrej Kricfalusi,2004-03-09,12,0,458780,Ondřej Kričfaluši,3948,,,,,,,,,,0.0000,0.0000,CREATE_CLEAR,No plausible Native08 DOB/name/nationality candidate and no sourced current loan,https://www.transfermarkt.de/ondrej-kricfalusi/profil/spieler/839551,ddff822ca38b5b072162f8b442ad5ae213100c1ecb6d17b00bcdc2c284d04d99,2026-09-12
858324,1000024851,Djordje Gordic,2004-11-05,51,0,458783,Ђорђе Гордић,5026,,,,107669,0,Đorđe Gordić,,51,1507335,0.7500,1.0000,HOLD_NATIVE08_IDENTITY_CANDIDATE,Same DOB and nationality with plausible surname/full-name alias; creation prohibited pending identity adjudication,https://www.transfermarkt.de/djordje-gordic/profil/spieler/858324,45736d88af2b5f6c84b7fbbfaa86ea72f3533997b4d157708a9f14b8711f706f,2026-09-12
865793,1000024852,Nariman Akhundzada,2004-04-23,5,0,3145765,Nəriman Əhməd oğlu Axundzadə,39722,813,2029-06-30,2027-06-30,203162,72870,Nariman Axundzada,,5,327686,0.9091,0.8421,HOLD_NATIVE08_IDENTITY_CANDIDATE,Same DOB and nationality with plausible surname/full-name alias; creation prohibited pending identity adjudication,https://www.transfermarkt.de/erzurumspor-fk/kader/verein/39722/saison_id/2026/plus/1,aaa2316b00aefef231faf95d7f3e3871f7c712aaa423cb88c256177acd6d2902,2026-09-12
872171,1000024853,Lucas Beraldo,2003-11-24,54,0,1179663,Lucas Lopes Beraldo,583,,,,283460,279709,Lucas Lopes Beraldo,Beraldo,54,1179663,0.7368,1.0000,HOLD_NATIVE08_IDENTITY_CANDIDATE,Same DOB and nationality with plausible surname/full-name alias; creation prohibited pending identity adjudication,https://www.transfermarkt.de/lucas-beraldo/profil/spieler/872171,544f3ca55d752562651e7c5c96c52eb428b87d5bdc84fed376fc2a3ef5612928,2026-09-12
946964,1000024854,Viktor Damjanic,2005-11-03,10,0,458775,Viktor Damjanić,2727,,,,,,,,,,0.0000,0.0000,CREATE_CLEAR,No plausible Native08 DOB/name/nationality candidate and no sourced current loan,https://www.transfermarkt.de/oud-heverlee-leuven/kader/verein/2727/saison_id/2026/plus/1,13369b1472ae4137934608499f3a290781d8b7a96223b8e0488ea6f56621495e,2026-09-12
952093,1000024855,Burak Enes Yıkıcı,2004-03-29,48,0,3145773,,2832,,,,202076,0,Burak Yıkıcı,,48,3149837,0.8462,1.0000,HOLD_NATIVE08_IDENTITY_CANDIDATE,Same DOB and nationality with plausible surname/full-name alias; creation prohibited pending identity adjudication,https://www.transfermarkt.de/gaziantep-fk/kader/verein/2832/saison_id/2026/plus/1,81446f340c520f2c5aff4253c251edc727d259530fe5221a6b24ee6cfb9e01e1,2026-09-12
957822,1000024856,Eddy Kouadio,2006-05-03,27,108,1769533,Eddy Nda Konan Kouadio,2919,430,2030-06-30,2027-06-30,117314,0,Kouakou Kouadio,,108,1769742,0.5600,1.0000,HOLD_NATIVE08_IDENTITY_CANDIDATE,Same DOB and nationality with plausible surname/full-name alias; creation prohibited pending identity adjudication,https://www.transfermarkt.de/ac-monza/kader/verein/2919/saison_id/2026/plus/1,8f193279202724cc57a68a08441deb0fe889b73d8d97804595e81268516bfe10,2026-09-12
975321,1000024857,Mohamed Yasser,2001-05-05,111,0,786453,Mohamed Yasser Nour,715,,,,,,,,,,0.0000,0.0000,CREATE_CLEAR,No plausible Native08 DOB/name/nationality candidate and no sourced current loan,https://www.transfermarkt.de/mohamed-yasser/profil/spieler/975321,4fb4d574fb4d8a7bbb8eec8ade97b3788a0dfba9b105db2f8af4f0eac624fe80,2026-09-12
993333,1000024858,Bas Langenbick,2003-06-16,7,0,458755,,520,,,,,,,,,,0.0000,0.0000,CREATE_CLEAR,No plausible Native08 DOB/name/nationality candidate and no sourced current loan,https://www.transfermarkt.de/cercle-brugge/kader/verein/520/saison_id/2026/plus/1,7cdfb59fb0a1a9a437a93f97e502615933029fa25dc8530a34a7715ac5027f03,2026-09-12
1013809,1000024859,Jiri Zima,2007-12-21,12,0,790538,Jiří Zima,40315,,,,,,,,,,0.0000,0.0000,CREATE_CLEAR,No plausible Native08 DOB/name/nationality candidate and no sourced current loan,https://www.transfermarkt.de/jiri-zima/profil/spieler/1013809,1bad1aecc0f2c4585928e17be1969f2ca10fec44513a706a08f4f835fd501028,2026-09-12
1047424,1000024860,Jahnilo Wiegel-Triebel,2005-03-13,92,34,458763,Jahnilo Davon Jahzeël Wiegel-Triebel,968,,,,237699,0,Jahnilo Wiegel,,92,471346,0.7879,0.6154,HOLD_NATIVE08_IDENTITY_CANDIDATE,Same DOB and nationality with plausible surname/full-name alias; creation prohibited pending identity adjudication,https://www.transfermarkt.de/kvc-westerlo/kader/verein/968/saison_id/2026/plus/1,4b321535def794641a57896ea3b395b11fb16964a25bb51fab6f75bf5e2a3382,2026-09-12
1048119,1000024861,Taha Güneş,2006-01-01,48,0,3145773,Muhammet Taha Güneş,2832,,,,200297,0,Muhammet Güneş,,48,3145773,0.6364,1.0000,HOLD_NATIVE08_IDENTITY_CANDIDATE,Same DOB and nationality with plausible surname/full-name alias; creation prohibited pending identity adjudication,https://www.transfermarkt.de/gaziantep-fk/kader/verein/2832/saison_id/2026/plus/1,81446f340c520f2c5aff4253c251edc727d259530fe5221a6b24ee6cfb9e01e1,2026-09-12
1052374,1000024862,Yevgeniy Skyba,2003-03-25,49,0,786446,Скиба Євгеній Володимирович,377,,,,206551,0,Yevhen Skyba,,49,3211266,0.8333,1.0000,BRIDGE_EXISTING_NATIVE08,Draft04 exact string-id collision proves alias of existing Native08 identity,https://www.transfermarkt.de/yevgeniy-skyba/profil/spieler/1052374,e20940a39060e2fac9edd7d599a088d929316c07b6b416a655df17697a0d7d2e,2026-09-12
1057394,1000024863,Rafa Rodríguez,2003-07-10,45,0,2949129,Rafael Rodríguez Ruiz,1084,,,,289780,78193,Rafael Rodríguez,,45,2949129,0.9286,1.0000,BRIDGE_EXISTING_NATIVE08,Draft04 exact string-id collision proves alias of existing Native08 identity,https://www.transfermarkt.de/fc-malaga/kader/verein/1084/saison_id/2026/plus/1,010cc01e9ffddb589e8d4eee92742f40620b134f4175b7670f0053ce4e9c9309,2026-09-12
1072324,1000024864,Chipyoka Songa,2004-09-24,147,0,2490377,,979,,,,,,,,,,0.0000,0.0000,CREATE_CLEAR,No plausible Native08 DOB/name/nationality candidate and no sourced current loan,https://www.transfermarkt.de/moreirense-fc/kader/verein/979/saison_id/2026/plus/1,9aa16aff197b371e36892b5321c0c1db769f09802a8338c111eb56304e7798bc,2026-09-12
1077990,1000024865,Fredy,2006-05-25,38,0,2490388,,2423,,,,,,,,,,0.0000,0.0000,CREATE_CLEAR,No plausible Native08 DOB/name/nationality candidate and no sourced current loan,https://www.transfermarkt.de/fredy/profil/spieler/1077990,da9024c80085fc732ee5a11831a99c12db169a93dec2451dd467c6c8ea5a8fff,2026-09-12
1078164,1000024866,Demi Akarakiri,2007-09-29,14,133,1769480,Ademide Oreoluwa Abdulganiyu Ibuknoluwa Olamilekan Oluwajuedalo Ayomide Ishola Akarakiri,1390,,,,,,,,,,0.0000,0.0000,CREATE_CLEAR,No plausible Native08 DOB/name/nationality candidate and no sourced current loan,https://www.transfermarkt.de/demi-akarakiri/profil/spieler/1078164,7f01d1a4ae684ea32f49d96b1581eb93a87e86ea7d8504165781a066308336bd,2026-09-12
