string_id_key,keys_equal,existing_fm_id,existing_fifa_id,existing_name,existing_dob,existing_nationality,existing_club_id,creation_fm_id,creation_tm_id,creation_name,creation_dob,creation_nationality1,creation_club_id,collision_partner_is_new_creation,identity_conclusion,required_action,raw_existing_old_mEmpicsId,raw_existing_new_mEmpicsId,before_block_sha256,after_block_sha256,source,source_sha256
goutasdi04041994,YES,200401,229703,Dimitris Goutas,1994-04-04,22,3145836,1000024824,191829,Dimitrios Goutas,1994-04-04,22,3145836,YES,SAME_REAL_PLAYER_ALIAS_DUPLICATE,REMOVE_CREATION_AND_BIND_EXISTING_FM_ID,0,36057480,ddd089f0f07d1b9fb69d7be33b90e29a5c1694aec04308384f8053acb51619f5,97fdc8a37b15ae2e9b493bc8dd91fe37faf1acd44b4c2234d2d26dcb74a6ea01,https://www.transfermarkt.de/dimitrios-goutas/profil/spieler/191829,fe2be9c537825fe64b369b25a5c7aac2d3c8a9098f306bc44241d234dba680b3
bouldinimo27111995,YES,285154,262744,Mohammed Bouldini,1995-11-27,129,2949245,1000024825,211628,Mohamed Bouldini,1995-11-27,129,2494468,YES,SAME_REAL_PLAYER_ALIAS_DUPLICATE,REMOVE_CREATION_AND_BIND_EXISTING_FM_ID,0,13164765,fc7b1cf269016841fcb49e691bae8a8f06f7fed6f437051b5f18b1afcd8fad9a,83a7f737f04a2737d2216f84e07054239519b10acd32f94703343a0b9e29fa25,https://www.transfermarkt.de/mohamed-bouldini/profil/spieler/211628,2e794db9c874f662a1b1740acaa0f324fb151e8512818b398c9a21f289d3556e
gonzalezni06041998,YES,284973,240690,Nicolás González,1998-04-06,52,2949122,1000024829,486031,Nico González,1998-04-06,52,1769482,YES,SAME_REAL_PLAYER_ALIAS_DUPLICATE,REMOVE_CREATION_AND_BIND_EXISTING_FM_ID,0,14181375,5914809bbc1c00af23b16bb3e1870175169ad4425456abe961bfd72db654cdf6,e1801e862194ec4b43d6ecc2635f71c33b3f4933ec66ea79a4efff2585adc180,https://www.transfermarkt.de/juventus-turin/kader/verein/506/saison_id/2026/plus/1,0009d8e86a1fcff175fb368bcdc9cac816372b11375dc9917e504e11cc3f9b54
trubinan01082001,YES,288116,250753,Anatolii Trubin,2001-08-01,49,2490372,1000024831,537844,Anatoliy Trubin,2001-08-01,49,2490372,YES,SAME_REAL_PLAYER_ALIAS_DUPLICATE,REMOVE_CREATION_AND_BIND_EXISTING_FM_ID,0,71101334,2bfbf68b69167c1a653f8a3b3a0b6b4ddf59335b30d7cd136968cfe056fa0b18,b8813354b08501f76881460b7d85a32134166a825d04d17c1c4079e102046606,https://www.transfermarkt.de/anatoliy-trubin/profil/spieler/537844,f026c7abf7f57433572c38afd4cbf7924673c043ffc106ddd53f46bf38169590
michelisni23032001,YES,153244,263555,Nikos Michelis,2001-03-23,22,2494468,1000024834,584452,Nikolaos Michelis,2001-03-23,22,2494468,YES,SAME_REAL_PLAYER_ALIAS_DUPLICATE,REMOVE_CREATION_AND_BIND_EXISTING_FM_ID,0,36146763,80736b0dfa2e65662cc3f259fb37de2638211504f739662404318a36447e106a,c152bc1542cbca7435c46f84e4a56566510d2ae3037ad4e688cc702490eedb59,https://www.transfermarkt.de/nikolaos-michelis/profil/spieler/584452,6fe07221674555f4bfd05c719acbb657c2fee56d3bc0dbf0b0cc999bb3231f83
koulierakisko28112003,YES,99998,270077,Kostas Koulierakis,2003-11-28,22,1769476,1000024840,669380,Konstantinos Koulierakis,2003-11-28,22,1769476,YES,SAME_REAL_PLAYER_ALIAS_DUPLICATE,REMOVE_CREATION_AND_BIND_EXISTING_FM_ID,0,36159445,15a3d5a983c7575b6d866ee11c3018faf8d0d0e05422a6e662f1065fb82d1c4d,013fafaf4396b6bfc9d7b75cf17bc7c51d1aec842d21b982a3b30e61dd831aa1,https://www.transfermarkt.de/konstantinos-koulierakis/profil/spieler/669380,24b70e8cbf6f8eba06502e6c9f5dcafae2a2df99cc7e2d4ca2dc39d9c6feda87
arokodareto23112000,YES,23757,258911,Toluwalase Arokodare,2000-11-23,133,917547,1000024841,683571,Tolu Arokodare,2000-11-23,133,2228227,YES,SAME_REAL_PLAYER_ALIAS_DUPLICATE,REMOVE_CREATION_AND_BIND_EXISTING_FM_ID,0,47102376,479a6c15233974d4a89cfc67afe0253bd8bc0bb52cca3d1bc099d7f704d01b63,170c486e7ca2b7a97d9166aa0a5f374e1924810cfef426784ffd5150ac51d291,https://www.transfermarkt.de/ajax-amsterdam/kader/verein/610/saison_id/2026/plus/1,f5e17e90fd0fa7a2962da880b80d3f5be8fc736c45ff9203a638be8e951725f8
skybaye25032003,YES,206551,0,Yevhen Skyba,2003-03-25,49,3211266,1000024862,1052374,Yevgeniy Skyba,2003-03-25,49,786446,YES,SAME_REAL_PLAYER_ALIAS_DUPLICATE,REMOVE_CREATION_AND_BIND_EXISTING_FM_ID,0,2000055039,4250988231e087bb7021795684c46733cb3e2bb665bbecdccd07c5999e6c6073,94f13dd4092c3a634228559ac675eb0ccfed8ef0b7337b1155e7113afd0d89b6,https://www.transfermarkt.de/yevgeniy-skyba/profil/spieler/1052374,e20940a39060e2fac9edd7d599a088d929316c07b6b416a655df17697a0d7d2e
rodriguezra10072003,YES,289780,78193,Rafael Rodríguez,2003-07-10,45,2949129,1000024863,1057394,Rafa Rodríguez,2003-07-10,45,2949129,YES,SAME_REAL_PLAYER_ALIAS_DUPLICATE,REMOVE_CREATION_AND_BIND_EXISTING_FM_ID,0,2000138547,f27106972058b4bca50ca3a670392d5e2549fa443194f51fd78637a5adc90df1,427f25e5e5027782e1c1ac8d1a408a5ad3cee1dc2364899e673f2bb8f170b457,https://www.transfermarkt.de/fc-malaga/kader/verein/1084/saison_id/2026/plus/1,010cc01e9ffddb589e8d4eee92742f40620b134f4175b7670f0053ce4e9c9309
arizalaju10102005,YES,231683,275647,Juan David Arizala,2005-10-10,56,3670021,1000024870,1118347,Juan Arizala,2005-10-10,56,1769488,YES,SAME_REAL_PLAYER_ALIAS_DUPLICATE,REMOVE_CREATION_AND_BIND_EXISTING_FM_ID,0,2000241471,8dbefa22d8837b6af4e96f71237936a8896b84078e846125b726fc969b026400,91e3cd9fb099fd5e79704203c9e7210fe0d0e67f2478d687911ea4aab5e5c9db,https://www.transfermarkt.de/udinese-calcio/kader/verein/410/saison_id/2026/plus/1,7fdfe70ee199497c7c8bba7f008dea4b0f8e1ab4fec8c51d19f4eb9f681c5506
bauzara30012005,YES,284428,71972,Rafael Bauzà,2005-01-30,45,2949636,1000024877,1178721,Rafel Bauzà,2005-01-30,45,2949125,YES,SAME_REAL_PLAYER_ALIAS_DUPLICATE,REMOVE_CREATION_AND_BIND_EXISTING_FM_ID,0,2000303558,8ca5d1d0de5d2f00a22a454700bf725728538a684be257505a50d514c3e87f33,170b8e723d3519c35d504dfa4778ef42ed0ba42dd0053563ca1172565405f896,https://www.transfermarkt.de/espanyol-barcelona/kader/verein/714/saison_id/2026/plus/1,f5fd71d6b5ea7b87f29f37eb3da79bb27abc3bb54aefcdd2f5ded14c3919697d
