before_fm_id,after_fm_id,fifa_id,dob,name,before_file,after_file,raw_block_line,raw_field_index,raw_field_name,old_value,new_value,before_block_sha256,after_block_sha256,before_serialized_sha256,after_serialized_sha256,classification,status,creation_collision_tm_ids
23757,23757,258911,23.11.2000,Toluwalase Arokodare,data/CountryData14.sav,data/CountryData14.sav,15,1,mEmpicsId,0,47102376,479a6c15233974d4a89cfc67afe0253bd8bc0bb52cca3d1bc099d7f704d01b63,170c486e7ca2b7a97d9166aa0a5f374e1924810cfef426784ffd5150ac51d291,7d0ae7cbe803988c53b03b9b601bafe3fe3768a56a7f9d9ea39f8b06a61182a9,076850e3fa792de8e27c7934b64a65e99b7f62b6458b5e8d42f97f9eb496af5e,WRITEABLE_STRING_ID_COLLISION_EMPICS_DISAMBIGUATOR,REJECTED,683571
99998,99998,270077,28.11.2003,Kostas Koulierakis,data/CountryData27.sav,data/CountryData27.sav,15,1,mEmpicsId,0,36159445,15a3d5a983c7575b6d866ee11c3018faf8d0d0e05422a6e662f1065fb82d1c4d,013fafaf4396b6bfc9d7b75cf17bc7c51d1aec842d21b982a3b30e61dd831aa1,065a8d9ce786963a21236f4fd545a7043af0fd2fa4e28a7683a61c8322366044,d6ca3f2fa65b1362f747f84e2c5a973ccc8485bb3f45fa813de3cb699584da37,WRITEABLE_STRING_ID_COLLISION_EMPICS_DISAMBIGUATOR,REJECTED,669380
153244,153244,263555,23.03.2001,Nikos Michelis,data/CountryData38.sav,data/CountryData38.sav,15,1,mEmpicsId,0,36146763,80736b0dfa2e65662cc3f259fb37de2638211504f739662404318a36447e106a,c152bc1542cbca7435c46f84e4a56566510d2ae3037ad4e688cc702490eedb59,c70899addfecaa382d94b22dadc0c3a5472bfa35414c1565d358c32fd2a81301,0849af3e0d8cafed0664a548c7879a435de0c10089a411ee8413cd8758bb8020,WRITEABLE_STRING_ID_COLLISION_EMPICS_DISAMBIGUATOR,REJECTED,584452
200401,200401,229703,04.04.1994,Dimitris Goutas,data/CountryData48.sav,data/CountryData48.sav,15,1,mEmpicsId,0,36057480,ddd089f0f07d1b9fb69d7be33b90e29a5c1694aec04308384f8053acb51619f5,97fdc8a37b15ae2e9b493bc8dd91fe37faf1acd44b4c2234d2d26dcb74a6ea01,4c680395c8c2b2add4b88d29cb11f6f52dccd9d49d47351496b55304a6af7acc,2ba3b7945f6e67193ef0f4e64512da3efa1cf23415e947c7edaaf7c617c273a4,WRITEABLE_STRING_ID_COLLISION_EMPICS_DISAMBIGUATOR,REJECTED,191829
206551,206551,0,25.03.2003,Yevhen Skyba,data/CountryData49.sav,data/CountryData49.sav,15,1,mEmpicsId,0,2000055039,4250988231e087bb7021795684c46733cb3e2bb665bbecdccd07c5999e6c6073,94f13dd4092c3a634228559ac675eb0ccfed8ef0b7337b1155e7113afd0d89b6,673b474d91e2b66c97ac8ef7c8be9452d32644734a12fd53821adce947e336a7,b413e6793298651b760fd2d8883718fee1f4c2667f4f714a26f12b195fc221a9,WRITEABLE_STRING_ID_COLLISION_EMPICS_DISAMBIGUATOR,REJECTED,1052374
231683,231683,275647,10.10.2005,Juan David Arizala,data/CountryData56.sav,data/CountryData56.sav,15,1,mEmpicsId,0,2000241471,8dbefa22d8837b6af4e96f71237936a8896b84078e846125b726fc969b026400,91e3cd9fb099fd5e79704203c9e7210fe0d0e67f2478d687911ea4aab5e5c9db,5c8f85869285c48e1a0625f27bc89941d35aa6d760fd8bc34004bb3015f71d4f,dfdda11f5b9a6ec0fbb8973d82a3b98a0b6a4ed5bbfcaad5663eea5a3e32dabd,WRITEABLE_STRING_ID_COLLISION_EMPICS_DISAMBIGUATOR,REJECTED,1118347
284428,284428,71972,30.01.2005,Rafael Bauzà,data/CountryData45.sav,data/CountryData45.sav,15,1,mEmpicsId,0,2000303558,8ca5d1d0de5d2f00a22a454700bf725728538a684be257505a50d514c3e87f33,170b8e723d3519c35d504dfa4778ef42ed0ba42dd0053563ca1172565405f896,5cb2527707d78b48383547bb43b8e1836af5b0f8e0989f8b0fada2f541767a98,db792ffda671f20727f29bfedf2ba029b07e07e37305da45a7f5d9fd1306ad89,WRITEABLE_STRING_ID_COLLISION_EMPICS_DISAMBIGUATOR,REJECTED,1178721
284973,284973,240690,06.04.1998,Nicolás González,data/CountryData45.sav,data/CountryData45.sav,15,1,mEmpicsId,0,14181375,5914809bbc1c00af23b16bb3e1870175169ad4425456abe961bfd72db654cdf6,e1801e862194ec4b43d6ecc2635f71c33b3f4933ec66ea79a4efff2585adc180,3eece8f9b894a3712ea182247c864a66abda7d7175e7f90830c11a559dff527e,f630c547d3fc4c633db7676bd10e36dc53b43d56925b3d78e4a6eb52f693590a,WRITEABLE_STRING_ID_COLLISION_EMPICS_DISAMBIGUATOR,REJECTED,486031
285154,285154,262744,27.11.1995,Mohammed Bouldini,data/CountryData45.sav,data/CountryData45.sav,15,1,mEmpicsId,0,13164765,fc7b1cf269016841fcb49e691bae8a8f06f7fed6f437051b5f18b1afcd8fad9a,83a7f737f04a2737d2216f84e07054239519b10acd32f94703343a0b9e29fa25,18177a45dbc5e704db3e68474c63b6dc0120b71901bd25db61e15631e4107436,179b6ccf8d52640de690c51261429c1fb616cca310ca9dc0929e4699723805e4,WRITEABLE_STRING_ID_COLLISION_EMPICS_DISAMBIGUATOR,REJECTED,211628
288116,288116,250753,01.08.2001,Anatolii Trubin,data/CountryData38.sav,data/CountryData38.sav,15,1,mEmpicsId,0,71101334,2bfbf68b69167c1a653f8a3b3a0b6b4ddf59335b30d7cd136968cfe056fa0b18,b8813354b08501f76881460b7d85a32134166a825d04d17c1c4079e102046606,8a4cafa8155de483f79b2716ee6cacde0de1cbd533c119a9a7c31e1981a0ad7e,e6c01725a91d353ba473460efa3e67f82d44383ee0c358b607d61f053370e317,WRITEABLE_STRING_ID_COLLISION_EMPICS_DISAMBIGUATOR,REJECTED,537844
